module_id,step,step_option,step_option_component,sub_step,sub_step_option,sub_step_option_component,essential,identifier,notes,
X90001,1,1,1,1,1,1,1,K19971,substrate binding protein,
X90001,1,1,1,1,1,2,1,K19972,permease,
X90001,1,1,1,1,2,1,1,K19975,substrate binding protein,
X90001,1,1,1,1,2,2,1,K19976,permease,
X90001,1,1,1,1,3,1,1,K11601,substrate binding protein,
X90001,1,1,1,1,3,2,1,K11602,permease,
X90001,1,1,1,1,4,1,1,K11604,substrate binding protein,
X90001,1,1,1,1,4,2,1,K11605,permease,
X90001,1,1,1,1,4,2,1,K11606,permease,
X90001,1,1,1,1,5,1,1,K11704,substrate binding protein,
X90001,1,1,1,1,5,2,1,K11705,permease,
X90001,1,1,1,1,6,1,1,K11707,substrate binding protein,
X90001,1,1,1,1,6,2,1,K11708,permease,
X90001,1,1,1,1,6,2,1,K11709,permease,
X90001,1,1,1,1,8,1,1,K02012,substrate binding protein,
X90001,1,1,1,1,8,2,1,K02011,permease,
X90001,1,1,1,1,9,1,1,K02016,"substrate binding protein, iron complex",
X90001,1,1,1,1,9,2,1,K02015,"permease, iron complex",
X90001,1,1,1,1,10,2,1,K03322,permease,
X90001,1,1,1,1,11,2,1,K01992,aux permease,
X90001,1,1,1,1,12,2,1,K02004,aux permease,
X90001,1,1,2,1,1,1,1,K11924,transcriptional regulator,
X90001,1,1,2,1,2,1,1,K03709,transcriptional regulator,
X90001,1,2,1,1,1,1,1,K14709,"ZIP1/2/3, likely Zinc, but can move Mn",
X90001,1,2,1,1,2,1,1,K14710,ZIP4,
X90001,3,1,1,3,1,1,1,K14711,ZIP5,
X90001,1,2,1,1,4,1,1,K14712,"LIV1, ZIP6",
X90001,1,2,1,1,5,1,1,K14713,ZIP7,
X90001,1,2,1,1,6,1,1,K14714,"SLC39A8, Zip8, uptake of Mn into cells in normal pH",
X90001,1,2,1,1,7,1,1,K14715,ZIP9,
X90001,1,2,1,1,8,1,1,K14716,ZIP10,
X90001,1,2,1,1,9,1,1,K14717,ZIP11,
X90001,1,2,1,1,10,1,1,K14718,ZIP12,
X90001,1,2,1,1,11,1,1,K14719,ZIP13,
X90001,1,2,1,1,12,1,1,K14720,"SLC39A14, Zip14, uptake of Mn into cells in normal pH",normal pH uptake of Mn
X90001,1,2,1,1,13,1,1,K07238,broad range metal transport that can handle Mn,
X90001,1,2,1,1,14,1,1,K16267,broad range metal transport that can handle Mn,
X90001,1,2,1,1,15,1,1,K04850,"VDCC L type, secondary ""hitchhike with calcium"" option, bulk ion transport",
X90001,1,2,1,1,16,1,1,K04851,"VDCC L type, secondary ""hitchhike with calcium"" option, bulk ion transport",
X90001,1,2,1,1,17,1,1,K04853,"VDCC L type, secondary ""hitchhike with calcium"" option, bulk ion transport",
X90001,1,2,1,1,18,1,1,K04857,"VDCC L type, secondary ""hitchhike with calcium"" option, bulk ion transport",
X90001,2,1,1,1,1,1,1,K04564,MnSOD2,
X90001,2,1,2,1,1,1,1,K05657,"internal, mitochondrial health, ABCB10",
X90001,2,1,3,1,1,1,1,K05662,"internal, mitochondrial health, ABCB7",
X90001,2,1,4,1,1,1,1,K05661,may be functionally equivalent to ABCB7,
X90001,2,1,5,1,1,1,1,K05668,"communication, possibly signaling pathway for spitting out algae if too much nitric oxide",
X90001,3,1,1,1,1,1,1,K21398,"SLC11A2, acidic env uptake (may be symbiosome membrane), ""squeeze"" Mn out of the host's storage vesicles and into the space where the algae can grab it",
X90001,3,2,1,1,1,1,1,K05665,"bilateral transporter for glutathione-complexes, if Mn is working this should not work as hard",
X90001,3,3,1,1,1,1,1,K14697,"SLC30A10, Mn exporter, for small metal ions not macromolecules like ABC family efflux pumps",
X90001,3,4,1,1,1,1,1,K14685,"SLC40A1, iron exporter that also transports Mn",
X90001,3,5,1,1,1,1,1,K23242,"apical efflux pump, waste removal",
