genome_accession,run_protein_detection,use_ncbi_proteins
GCA_000507305.1,1,0
GCA_001896105.1,1,0
GCA_001939145.1,1,1
GCA_003297005.1,1,0
GCA_003297045.1,1,0
GCA_006542545.1,1,0
GCA_009731375.1,1,1
GCA_012267535.1,1,0
GCA_012269485.1,1,0
GCA_014633955.1,1,0
GCA_014633975.1,1,0
GCA_014634605.1,1,0
GCA_024195265.1,1,0
GCA_029204205.1,1,0
GCA_031213475.2,1,0
GCA_032359415.1,1,0
GCA_032361285.1,1,0
GCA_033675265.1,1,0
GCA_046269565.1,1,0
GCA_047495695.1,1,0
GCA_047906015.2,1,0
GCA_048937375.1,1,0
GCA_902702795.2,1,0
GCA_905221605.1,1,1
GCA_905231915.1,1,1
GCA_905237085.1,0,1
GCA_942486025.1,1,0
GCA_942486035.1,1,0
GCA_942486045.1,1,0
GCA_947184155.2,1,1
GCA_963969995.1,1,1
GCA_963970005.1,1,1
GCA_964199315.1,1,0
GCA_964200205.2,1,1
GCA_964200215.2,1,0
GCA_965279495.1,1,0
GCF_000001405.40,0,1
GCF_000001735.4,0,1
GCF_000005845.2,0,1
GCF_000091205.1,1,1
GCF_000146045.2,0,1
GCF_000149405.2,1,1
GCF_000209225.1,1,1
GCF_000222465.1,1,1
GCF_000341285.1,1,1
GCF_000350225.1,1,1
GCF_001417965.1,1,1
GCF_001583435.1,1,1
GCF_002042975.1,1,1
GCF_002571385.2,1,1
GCF_002864045.1,1,1
GCF_003704095.1,1,1
GCF_004143615.1,1,1
GCF_004324835.1,1,1
GCF_009602425.1,1,1
GCF_012270115.1,1,1
GCF_012270375.1,1,1
GCF_013076305.1,0,1
GCF_013753865.1,1,1
GCF_016699485.2,0,1
GCF_018143015.1,0,1
GCF_021976095.1,1,1
GCF_026151205.1,0,1
GCF_030620025.1,1,1
GCF_032118995.1,0,1
GCF_036669905.1,1,1
GCF_036669915.1,1,1
GCF_036669925.1,1,1
GCF_036669935.1,1,1
GCF_038396675.1,1,1
GCF_047335585.1,0,1
GCF_049306965.1,0,1
GCF_902459465.1,0,1
GCF_932526225.1,1,1
GCF_947623445.1,0,1
GCF_958299795.1,1,1
GCF_963422355.1,0,1
GCF_963675165.1,0,1
GCF_964019385.1,0,1
