Genome Accession	TaxID	Order	Class	Family	Genus	Species	Genome Name	Organism
GCA_000507305.1	1280413	Suessiales	Dinophyceae	Symbiodiniaceae	Breviolum	Breviolum minutum	ASM50730v1	Breviolum minutum Mf 1.05b.01 (dinoflagellates)
GCA_001896105.1	48498	Scleractinia	Anthozoa	Merulinidae	Orbicella	Orbicella faveolata	O_faveolata_v1	Orbicella faveolata (stony corals)
GCA_003297005.1	1563115	Suessiales	Dinophyceae	Symbiodiniaceae	Symbiodinium	Symbiodinium sp. clade A	SymA ver 1.0	Symbiodinium sp. clade A Y106 (dinoflagellates)
GCA_003297045.1	1563116	Suessiales	Dinophyceae	Symbiodiniaceae	Cladocopium	Cladocopium sp. clade C	SymC ver 1.0	Symbiodinium sp. clade C Y103 (dinoflagellates)
GCA_014633955.1	70783	Scleractinia	Anthozoa	Acroporidae	Acropora	Acropora tenuis	Aten_1.0	Acropora tenuis (purple tipped acropora)
GCA_014633975.1	367763	Scleractinia	Anthozoa	Acroporidae	Acropora	Acropora acuminata	Aacu_1.0	Acropora acuminata (stony corals)
GCA_014634605.1	70782	Scleractinia	Anthozoa	Acroporidae	Acropora	Acropora florida	Aflo_1.0	Acropora florida (stony corals)
GCA_024195265.1	1140371	Scleractinia	Anthozoa	Dendrophylliidae	Dendrophyllia	Dendrophyllia cribrosa	GRF_DCR_1.0	Dendrophyllia cribrosa (stony corals)
GCA_029204205.1	174260	Scleractinia	Anthozoa	Caryophylliidae	Desmophyllum	Desmophyllum pertusum	Loph_1.0	Desmophyllum pertusum (stony corals)
GCA_031213475.2	117523	Laminariales	Phaeophyceae	Laminariaceae	Nereocystis	Nereocystis luetkeana	uoNerLuet1.1	Nereocystis luetkeana (brown algae)
GCA_032359415.1	6130	Scleractinia	Anthozoa	Acroporidae	Acropora	Acropora cervicornis	NEU_Acer_K2	Acropora cervicornis (staghorn coral)
GCA_032361285.1	6100	Leptothecata	Hydrozoa	Aequoreidae	Aequorea	Aequorea victoria	ASM3236128v1	Aequorea victoria (hydrozoans)
GCA_033675265.1	3060491	Actiniaria	Anthozoa	Actinostolidae	Actinostola	Actinostola sp. cb2023	ASM3367526v1	Actinostola sp. cb2023 (sea anemones)
GCA_046269565.1	115959	Fucales	Phaeophyceae	Sargassaceae	Sargassum	Sargassum obtusifolium	ASM4626956v1	Sargassum obtusifolium (brown algae)
GCA_047495695.1	49265	Thalassiosirales	Coscinodiscophyceae	Thalassiosiraceae	Thalassiosira	Thalassiosira rotula	ASM4749569v1	Thalassiosira rotula (diatoms)
GCA_047906015.2	165419	Scleractinia	Anthozoa	Rhizangiidae	Astrangia	Astrangia poculata	PSU_Apoculata_full	Astrangia poculata (northern star coral)
