module_id,step,step_option,step_option_component,sub_step,sub_step_option,sub_step_option_component,sub_sub_step,sub_sub_step_option,sub_sub_step_option_component,essential,identifier
M00001,1,1,1,,,,,,,1,K00844
M00001,1,2,1,,,,,,,1,K12407
M00001,1,3,1,,,,,,,1,K00845
M00001,1,4,1,,,,,,,1,K25026
M00001,1,5,1,,,,,,,1,K00886
M00001,1,6,1,,,,,,,1,K08074
M00001,1,7,1,,,,,,,1,K00918
M00001,2,1,1,,,,,,,1,K01810
M00001,2,2,1,,,,,,,1,K06859
M00001,2,3,1,,,,,,,1,K13810
M00001,2,4,1,,,,,,,1,K15916
M00001,3,1,1,,,,,,,1,K00850
M00001,3,2,1,,,,,,,1,K16370
M00001,3,3,1,,,,,,,1,K21071
M00001,3,4,1,,,,,,,1,K24182
M00001,3,5,1,,,,,,,1,K00918
M00001,4,1,1,,,,,,,1,K01623
M00001,4,2,1,,,,,,,1,K01624
M00001,4,3,1,,,,,,,1,K11645
M00001,4,4,1,,,,,,,1,K16305
M00001,4,5,1,,,,,,,1,K16306
M00001,5,1,1,,,,,,,1,K01803
M00001,6,1,1,1,1,1,,,,1,K00134
M00001,6,1,1,1,2,1,,,,1,K00150
M00001,6,1,1,2,1,1,,,,1,K00927
M00001,6,1,1,2,2,1,,,,1,K11389
M00001,7,1,1,,,,,,,1,K01834
M00001,7,2,1,,,,,,,1,K15633
M00001,7,3,1,,,,,,,1,K15634
M00001,7,4,1,,,,,,,1,K15635
M00001,8,1,1,,,,,,,1,K01689
M00001,8,2,1,,,,,,,1,K27394
M00001,9,1,1,,,,,,,1,K00873
M00001,9,2,1,,,,,,,1,K12406
M00002,1,1,1,,,,,,,1,K01803
M00002,2,1,1,1,1,1,,,,1,K00134
M00002,2,1,1,1,2,1,,,,1,K00150
M00002,2,1,1,2,1,1,,,,1,K00927
M00002,2,1,1,2,2,1,,,,1,K11389
M00002,3,1,1,,,,,,,1,K01834
M00002,3,2,1,,,,,,,1,K15633
M00002,3,3,1,,,,,,,1,K15634
M00002,3,4,1,,,,,,,1,K15635
M00002,4,1,1,,,,,,,1,K01689
M00002,4,2,1,,,,,,,1,K27394
M00002,5,1,1,,,,,,,1,K00873
M00002,5,2,1,,,,,,,1,K12406
M00003,1,1,1,,,,,,,1,K01596
M00003,1,2,1,,,,,,,1,K01610
M00003,2,1,1,,,,,,,1,K01689
M00003,2,2,1,,,,,,,1,K27394
M00003,3,1,1,,,,,,,1,K01834
M00003,3,2,1,,,,,,,1,K15633
M00003,3,3,1,,,,,,,1,K15634
M00003,3,4,1,,,,,,,1,K15635
M00003,4,1,1,,,,,,,1,K00927
M00003,5,1,1,,,,,,,1,K00134
M00003,5,2,1,,,,,,,1,K00150
M00003,6,1,1,,,,,,,1,K01803
M00003,7,1,1,1,1,1,,,,1,K01623
M00003,7,1,1,1,2,1,,,,1,K01624
M00003,7,1,1,1,3,1,,,,1,K11645
M00003,7,1,1,2,1,1,1,1,1,1,K03841
M00003,7,1,1,2,1,1,1,2,1,1,K02446
M00003,7,1,1,2,1,1,1,3,1,1,K11532
M00003,7,1,1,2,1,1,1,4,1,1,K01086
M00003,7,1,1,2,1,1,1,5,1,1,K04041
M00003,7,1,1,2,2,1,,,,1,K01622
M00004,1,1,1,,,,,,,1,K13937
M00004,1,2,1,1,1,1,,,,1,K00036
M00004,1,2,1,1,2,1,,,,1,K19243
M00004,1,2,1,2,1,1,,,,1,K01057
M00004,1,2,1,2,2,1,,,,1,K07404
M00004,2,1,1,,,,,,,1,K00033
M00004,3,1,1,,,,,,,1,K01783
M00004,4,1,1,,,,,,,1,K01807
M00004,4,2,1,,,,,,,1,K01808
M00004,5,1,1,,,,,,,1,K00615
M00004,6,1,1,1,1,1,,,,1,K00616
M00004,6,1,1,2,1,1,,,,1,K01810
M00004,6,1,1,2,2,1,,,,1,K06859
M00004,6,1,1,2,3,1,,,,1,K15916
M00004,6,2,1,,,,,,,1,K13810
M00005,1,1,1,,,,,,,1,K00948
M00006,1,1,1,,,,,,,1,K13937
M00006,1,2,1,1,1,1,,,,1,K00036
M00006,1,2,1,1,2,1,,,,1,K19243
M00006,1,2,1,2,1,1,,,,1,K01057
M00006,1,2,1,2,2,1,,,,1,K07404
M00006,2,1,1,,,,,,,1,K00033
M00007,1,1,1,,,,,,,1,K00615
M00007,2,1,1,,,,,,,1,K00616
M00007,2,2,1,,,,,,,1,K13810
M00007,3,1,1,,,,,,,1,K01783
M00007,4,1,1,,,,,,,1,K01807
M00007,4,2,1,,,,,,,1,K01808
M00008,1,1,1,,,,,,,1,K00036
M00008,2,1,1,,,,,,,1,K01057
M00008,2,2,1,,,,,,,1,K07404
M00008,3,1,1,,,,,,,1,K01690
M00008,4,1,1,,,,,,,1,K01625
M00009,1,1,1,,,,,,,1,K01647
M00009,1,2,1,,,,,,,1,K05942
M00009,1,3,1,,,,,,,1,K01659
M00009,2,1,1,,,,,,,1,K01681
M00009,2,2,1,,,,,,,1,K27802
M00009,2,3,1,,,,,,,1,K01682
M00009,3,1,1,,,,,,,1,K00031
M00009,3,2,1,,,,,,,1,K00030
M00009,4,1,1,1,1,1,,,,1,K00164
M00009,4,1,1,1,1,2,,,,1,K00658
M00009,4,1,1,1,2,1,,,,1,K01616
M00009,4,1,2,,,,,,,1,K00382
M00009,4,2,1,,,,,,,1,K00174
M00009,4,2,2,,,,,,,1,K00175
M00009,4,2,3,,,,,,,0,K00177
M00009,4,2,4,,,,,,,0,K00176
M00009,5,1,1,,,,,,,1,K01902
M00009,5,1,2,,,,,,,1,K01903
M00009,5,2,1,,,,,,,1,K01899
M00009,5,2,2,,,,,,,1,K01900
M00009,5,3,1,,,,,,,1,K18118
M00009,6,1,1,,,,,,,1,K00234
M00009,6,1,2,,,,,,,1,K00235
M00009,6,1,3,,,,,,,1,K00236
M00009,6,1,4,1,1,1,,,,1,K00237
M00009,6,1,4,1,2,1,,,,1,K25801
M00009,6,2,1,,,,,,,1,K00239
M00009,6,2,2,,,,,,,1,K00240
M00009,6,2,3,,,,,,,1,K00241
M00009,6,2,4,1,1,1,,,,1,K00242
M00009,6,2,4,1,2,1,,,,1,K18859
M00009,6,2,4,1,3,1,,,,1,K18860
M00009,6,3,1,,,,,,,1,K00244
M00009,6,3,2,,,,,,,1,K00245
M00009,6,3,3,,,,,,,1,K00246
M00009,6,3,4,,,,,,,0,K00247
M00009,7,1,1,,,,,,,1,K01676
M00009,7,2,1,,,,,,,1,K01679
M00009,7,3,1,,,,,,,1,K01677
M00009,7,3,2,,,,,,,1,K01678
M00009,8,1,1,,,,,,,1,K00026
M00009,8,2,1,,,,,,,1,K00025
M00009,8,3,1,,,,,,,1,K00024
M00009,8,4,1,,,,,,,1,K00116
M00010,1,1,1,,,,,,,1,K01647
M00010,1,2,1,,,,,,,1,K05942
M00010,1,3,1,,,,,,,1,K01659
M00010,2,1,1,,,,,,,1,K01681
M00010,2,2,1,,,,,,,1,K27802
M00010,2,3,1,,,,,,,1,K01682
M00010,3,1,1,,,,,,,1,K00031
M00010,3,2,1,,,,,,,1,K00030
M00011,1,1,1,1,1,1,,,,1,K00164
M00011,1,1,1,1,1,2,,,,1,K00658
M00011,1,1,1,1,2,1,,,,1,K01616
M00011,1,1,2,,,,,,,1,K00382
M00011,1,2,1,,,,,,,1,K00174
M00011,1,2,2,,,,,,,1,K00175
