Protein,Timepoint,R mean,R std,S mean,S std,Log2FC,SSMD
lcl|c230398_g2_i8|m.15247,T1,13.33333333,31.21324505,0,0,-7.058893689,-1.687540785
lcl|c81884_g1_i1|m.32679,T1,9.166666667,13.93436998,1.666666667,1.966384161,-2.459431619,-1.331340764
lcl|c238399_g3_i2|m.24483,T1,10.5,17.1318417,1.833333333,4.490731195,-2.517848305,-1.174712336
lcl|c219759_g3_i3|m.6556,T1,4.5,2.258317958,1.166666667,0.9831920803,-1.94753258,-1.42350055
lcl|c240246_g6_i1|m.26956,T1,3.166666667,2.136976057,0,0,-4.984893108,-1.531748715
lcl|c238733_g2_i2|m.24867,T1,20.16666667,25.45126061,6.166666667,6.968978883,-1.709409872,-1.403730543
lcl|c233968_g6_i1|m.19272,T1,5.5,9.093954036,1.333333333,2.804757862,-2.044394119,-0.8162942997
lcl|c239376_g2_i9|m.25696,T1,2,4.898979486,0,0,-4.321928095,-0.6389431042
lcl|c233495_g1_i1|m.18614,T1,3.333333333,4.885352256,1,1.264911064,-1.736965594,-0.6919633593
lcl|c231808_g9_i1|m.16644,T1,2.833333333,2.714160398,0.8333333333,0.7527726527,-1.765534746,-0.8168378547
lcl|c233679_g3_i13|m.18855,T1,5.333333333,4.082482905,2,1.549193338,-1.415037499,-1.025521329
lcl|c233495_g1_i4|m.18615,T1,2,4.427188724,0.1666666667,0.4082482905,-3.584962501,-0.6103979009
lcl|c225544_g1_i2|m.10720,T1,2,3.521363372,0.3333333333,0.5163977795,-2.584962501,-0.6164645124
lcl|c241114_g1_i2|m.28195,T1,2.5,1.048808848,0.6666666667,0.5163977795,-1.906890596,-1.192316571
lcl|c239860_g1_i1|m.26440,T1,15,16.14930339,5.333333333,8.640987598,-1.491853096,-0.934663623
lcl|c239860_g1_i4|m.26447,T1,1.666666667,4.082482905,0,0,-4.058893689,-0.5832725853
lcl|c232294_g5_i11|m.17226,T1,3.166666667,1.834847859,0.8333333333,1.169045194,-1.925999419,-1.039724552
lcl|c242717_g1_i3|m.30173,T1,1.333333333,3.265986324,0,0,-3.736965594,-0.52169486
lcl|c212713_g4_i1|m.2814,T1,1.833333333,2.401388487,0.1666666667,0.4082482905,-3.459431619,-0.7476440214
lcl|c229461_g3_i2|m.14279,T1,2,1.897366596,0.5,0.5477225575,-2,-0.7412734657
lcl|c235585_g2_i7|m.21110,T1,9,5.291502622,3.833333333,1.940790217,-1.231325546,-1.363921758
lcl|c239139_g1_i7|m.25343,T1,4.166666667,6.645800679,1.333333333,3.265986324,-1.64385619,-0.5788552299
lcl|c232108_g1_i2|m.16999,T1,25.16666667,23.97846256,10.66666667,11.84342293,-1.238404739,-1.056892884
lcl|c237658_g3_i4|m.23566,T1,1.5,3.209361307,0,0,-3.906890596,-0.5920616826
lcl|c233377_g4_i3|m.18471,T1,3,2.529822128,1.166666667,1.169045194,-1.362570079,-0.7232035807
lcl|c236885_g1_i3|m.22659,T1,1.5,2.34520788,0,0,-3.906890596,-0.6926049464
lcl|c230065_g1_i2|m.14908,T1,4.333333333,3.141125064,1.333333333,2.160246899,-1.700439718,-0.9066416727
lcl|c229886_g1_i6|m.14730,T1,4.5,3.674234614,1.833333333,1.834847859,-1.295455884,-0.814647803
lcl|c227188_g1_i1|m.12222,T1,5.5,2.34520788,2.5,1.048808848,-1.137503524,-1.246712692
lcl|c231462_g1_i10|m.16284,T1,2.166666667,1.169045194,0.5,0.5477225575,-2.115477217,-1.026133612
lcl|c225110_g1_i1|m.10369,T1,1.5,3.209361307,0,0,-3.906890596,-0.5920616826
lcl|c227571_g1_i1|m.12592,T1,1.666666667,1.632993162,0.8333333333,0.4082482905,-1,-0.4497837932
lcl|c226978_g9_i3|m.11996,T1,15.66666667,12.95633693,7.5,2.810693865,-1.062735755,-1.404446085
lcl|c223378_g2_i2|m.9075,T1,2.333333333,3.011090611,0.6666666667,1.211060142,-1.807354922,-0.6090335886
lcl|c218374_g1_i3|m.5753,T1,1.5,1.974841766,0.5,0.5477225575,-1.584962501,-0.485089311
lcl|c229351_g6_i1|m.14197,T1,2.166666667,1.722401424,0.5,0.8366600265,-2.115477217,-0.8186472565
lcl|c237753_g2_i2|m.23709,T1,1.333333333,2.065591118,0.3333333333,0.5163977795,-2,-0.4768478709
lcl|c228309_g1_i6|m.13221,T1,4,2.529822128,2.166666667,0.7527726527,-0.8845227826,-0.7729111464
lcl|c234277_g5_i1|m.19677,T1,3.5,1.760681686,1.5,1.643167673,-1.222392421,-0.8018390663
lcl|c231559_g1_i5|m.16408,T1,5,3.577708764,2.333333333,2.065591118,-1.099535674,-0.7890346106
lcl|c229073_g2_i1|m.13946,T1,11.83333333,9.786044485,5.833333333,6.369196705,-1.020464103,-0.7737025559
lcl|c214584_g4_i1|m.3540,T1,1.166666667,1.834847859,0,0,-3.544320516,-0.6090202904
lcl|c220475_g1_i1|m.6962,T1,9,4.147288271,4.666666667,2.581988897,-0.9475325801,-1.120310113
lcl|c223710_g5_i3|m.9324,T1,2.5,1.048808848,0.8333333333,0.9831920803,-1.584962501,-0.9521036216
lcl|c203735_g1_i1|m.1335,T1,1.833333333,0.9831920803,0.3333333333,0.5163977795,-2.459431619,-1.003787897
lcl|c233181_g4_i3|m.18256,T1,6.5,7.609204952,3.166666667,4.119061382,-1.037474705,-0.587558985
lcl|c184118_g1_i1|m.691,T1,1.166666667,2.041241452,0.3333333333,0.5163977795,-1.807354922,-0.3995918134
lcl|c230178_g1_i1|m.15027,T1,1,2.449489743,0,0,-3.321928095,-0.4518010018
lcl|c228868_g10_i1|m.13735,T1,1.666666667,2.065591118,0.3333333333,0.8164965809,-2.321928095,-0.6087170316
lcl|c211551_g6_i4|m.2453,T1,1,2.449489743,0.1666666667,0.4082482905,-2.584962501,-0.3702553384
lcl|c233873_g4_i1|m.19119,T1,5.666666667,2.943920289,2.833333333,2.639444386,-1,-0.7902599166
lcl|c236195_g2_i4|m.21823,T1,1.5,1.870828693,0.3333333333,0.5163977795,-2.169925001,-0.5827273168
lcl|c238372_g5_i2|m.24429,T1,2.666666667,1.032795559,1.333333333,1.032795559,-1,-0.7533728897
lcl|c239662_g2_i17|m.26115,T1,6.5,3.728270376,3.5,2.588435821,-0.8930847961,-0.7973384049
lcl|c233922_g1_i2|m.19174,T1,4.5,1.643167673,2.5,0.8366600265,-0.8479969066,-1.001712471
lcl|c233030_g2_i3|m.18059,T1,5.5,2.588435821,3,1.673320053,-0.8744691179,-0.8851639269
lcl|c216500_g6_i5|m.4616,T1,3.833333333,1.722401424,2.166666667,0.9831920803,-0.8231222379,-0.7935185952
lcl|c221114_g2_i1|m.7405,T1,2.166666667,1.329160136,1.166666667,0.7527726527,-0.8930847961,-0.556847174
lcl|c207254_g1_i2|m.1628,T1,2.333333333,1.505545305,1.333333333,0.5163977795,-0.8073549221,-0.552346498
lcl|c223433_g6_i1|m.9115,T1,2.166666667,1.940790217,1,0.894427191,-1.115477217,-0.5392008212
lcl|c233215_g1_i5|m.18281,T1,2.166666667,1.471960144,0.8333333333,1.169045194,-1.378511623,-0.6422003404
lcl|c230862_g3_i1|m.15714,T1,1.333333333,1.211060142,0.5,0.5477225575,-1.415037499,-0.5050857293
lcl|c232137_g2_i1|m.17041,T1,6.5,7.176350047,3.666666667,3.444802849,-0.8259706002,-0.553333
