timepoint	cohort	sample	peptide	count
t1	resilient	R.10	lcl|c230398_g2_i8|m.15247	77
t1	resilient	R.13	lcl|c230398_g2_i8|m.15247	0
t1	resilient	R.21	lcl|c230398_g2_i8|m.15247	0
t1	resilient	R.26	lcl|c230398_g2_i8|m.15247	0
t1	resilient	R.66	lcl|c230398_g2_i8|m.15247	0
t1	resilient	R.74	lcl|c230398_g2_i8|m.15247	3
t1	susceptible	S.5	lcl|c230398_g2_i8|m.15247	0
t1	susceptible	S.20	lcl|c230398_g2_i8|m.15247	0
t1	susceptible	S.25	lcl|c230398_g2_i8|m.15247	0
t1	susceptible	S.28	lcl|c230398_g2_i8|m.15247	0
t1	susceptible	S.55	lcl|c230398_g2_i8|m.15247	0
t1	susceptible	S.73	lcl|c230398_g2_i8|m.15247	0
t1	resilient	R.10	lcl|c81884_g1_i1|m.32679	0
t1	resilient	R.13	lcl|c81884_g1_i1|m.32679	15
t1	resilient	R.21	lcl|c81884_g1_i1|m.32679	35
t1	resilient	R.26	lcl|c81884_g1_i1|m.32679	5
t1	resilient	R.66	lcl|c81884_g1_i1|m.32679	0
t1	resilient	R.74	lcl|c81884_g1_i1|m.32679	0
t1	susceptible	S.5	lcl|c81884_g1_i1|m.32679	3
t1	susceptible	S.20	lcl|c81884_g1_i1|m.32679	0
t1	susceptible	S.25	lcl|c81884_g1_i1|m.32679	0
t1	susceptible	S.28	lcl|c81884_g1_i1|m.32679	1
t1	susceptible	S.55	lcl|c81884_g1_i1|m.32679	1
t1	susceptible	S.73	lcl|c81884_g1_i1|m.32679	5
t1	resilient	R.10	lcl|c238399_g3_i2|m.24483	0
t1	resilient	R.13	lcl|c238399_g3_i2|m.24483	0
t1	resilient	R.21	lcl|c238399_g3_i2|m.24483	0
t1	resilient	R.26	lcl|c238399_g3_i2|m.24483	0
t1	resilient	R.66	lcl|c238399_g3_i2|m.24483	40
t1	resilient	R.74	lcl|c238399_g3_i2|m.24483	23
t1	susceptible	S.5	lcl|c238399_g3_i2|m.24483	0
t1	susceptible	S.20	lcl|c238399_g3_i2|m.24483	0
t1	susceptible	S.25	lcl|c238399_g3_i2|m.24483	0
t1	susceptible	S.28	lcl|c238399_g3_i2|m.24483	0
t1	susceptible	S.55	lcl|c238399_g3_i2|m.24483	0
t1	susceptible	S.73	lcl|c238399_g3_i2|m.24483	11
t1	resilient	R.10	lcl|c219759_g3_i3|m.6556	4
t1	resilient	R.13	lcl|c219759_g3_i3|m.6556	4
t1	resilient	R.21	lcl|c219759_g3_i3|m.6556	3
t1	resilient	R.26	lcl|c219759_g3_i3|m.6556	9
t1	resilient	R.66	lcl|c219759_g3_i3|m.6556	4
t1	resilient	R.74	lcl|c219759_g3_i3|m.6556	3
t1	susceptible	S.5	lcl|c219759_g3_i3|m.6556	1
t1	susceptible	S.20	lcl|c219759_g3_i3|m.6556	1
t1	susceptible	S.25	lcl|c219759_g3_i3|m.6556	0
t1	susceptible	S.28	lcl|c219759_g3_i3|m.6556	3
t1	susceptible	S.55	lcl|c219759_g3_i3|m.6556	1
t1	susceptible	S.73	lcl|c219759_g3_i3|m.6556	1
t1	resilient	R.10	lcl|c240246_g6_i1|m.26956	6
t1	resilient	R.13	lcl|c240246_g6_i1|m.26956	4
t1	resilient	R.21	lcl|c240246_g6_i1|m.26956	5
t1	resilient	R.26	lcl|c240246_g6_i1|m.26956	1
t1	resilient	R.66	lcl|c240246_g6_i1|m.26956	1
t1	resilient	R.74	lcl|c240246_g6_i1|m.26956	2
t1	susceptible	S.5	lcl|c240246_g6_i1|m.26956	0
t1	susceptible	S.20	lcl|c240246_g6_i1|m.26956	0
t1	susceptible	S.25	lcl|c240246_g6_i1|m.26956	0
t1	susceptible	S.28	lcl|c240246_g6_i1|m.26956	0
t1	susceptible	S.55	lcl|c240246_g6_i1|m.26956	0
t1	susceptible	S.73	lcl|c240246_g6_i1|m.26956	0
t1	resilient	R.10	lcl|c238733_g2_i2|m.24867	23
t1	resilient	R.13	lcl|c238733_g2_i2|m.24867	0
t1	resilient	R.21	lcl|c238733_g2_i2|m.24867	6
t1	resilient	R.26	lcl|c238733_g2_i2|m.24867	25
t1	resilient	R.66	lcl|c238733_g2_i2|m.24867	67
t1	resilient	R.74	lcl|c238733_g2_i2|m.24867	0
t1	susceptible	S.5	lcl|c238733_g2_i2|m.24867	9
t1	susceptible	S.20	lcl|c238733_g2_i2|m.24867	17
t1	susceptible	S.25	lcl|c238733_g2_i2|m.24867	1
t1	susceptible	S.28	lcl|c238733_g2_i2|m.24867	0
t1	susceptible	S.55	lcl|c238733_g2_i2|m.24867	10
t1	susceptible	S.73	lcl|c238733_g2_i2|m.24867	0
t1	resilient	R.10	lcl|c233968_g6_i1|m.19272	1
t1	resilient	R.13	lcl|c233968_g6_i1|m.19272	0
t1	resilient	R.21	lcl|c233968_g6_i1|m.19272	8
t1	resilient	R.26	lcl|c233968_g6_i1|m.19272	0
t1	resilient	R.66	lcl|c233968_g6_i1|m.19272	23
t1	resilient	R.74	lcl|c233968_g6_i1|m.19272	1
t1	susceptible	S.5	lcl|c233968_g6_i1|m.19272	0
t1	susceptible	S.20	lcl|c233968_g6_i1|m.19272	0
t1	susceptible	S.25	lcl|c233968_g6_i1|m.19272	0
t1	susceptible	S.28	lcl|c233968_g6_i1|m.19272	0
t1	susceptible	S.55	lcl|c233968_g6_i1|m.19272	1
t1	susceptible	S.73	lcl|c233968_g6_i1|m.19272	7
t1	resilient	R.10	lcl|c239376_g2_i9|m.25696	0
t1	resilient	R.13	lcl|c239376_g2_i9|m.25696	0
