experiment_id	genome_accession	cohort	timepoint	sample	sequence_id	sequence_type	count	tpm	effective_length	weighted_physical_length
EXP_PM34593802	x_orbicella_faveolata	control	0	A	orbicella_host_TRINITY_DN206725_c0_g2	gene	973.0	14.775083	525.7596728598411	972.085545576969
EXP_PM34593802	x_orbicella_faveolata	control	0	B	orbicella_host_TRINITY_DN206725_c0_g2	gene	1170.0	15.355891	466.8277457980133	953.9000569227796
EXP_PM34593802	x_orbicella_faveolata	control	0	C	orbicella_host_TRINITY_DN206725_c0_g2	gene	1263.0	13.90372	630.9509415280947	1001.9522738518899
EXP_PM34593802	x_orbicella_faveolata	treatment	0	A	orbicella_host_TRINITY_DN206725_c0_g2	gene	1378.0	24.617352	577.9118573570382	962.7619529915321
EXP_PM34593802	x_orbicella_faveolata	treatment	0	B	orbicella_host_TRINITY_DN206725_c0_g2	gene	1482.0	26.554508000000002	497.4594426935721	965.0279478723536
EXP_PM34593802	x_orbicella_faveolata	treatment	0	C	orbicella_host_TRINITY_DN206725_c0_g2	gene	2782.0	36.555986	562.0583270112041	972.0474807600594
EXP_PM34593802	x_orbicella_faveolata	control	0	A	orbicella_host_TRINITY_DN189929_c2_g1	gene	637.0	12.930451	393.62481671041485	626.7003401505485
EXP_PM34593802	x_orbicella_faveolata	control	0	B	orbicella_host_TRINITY_DN189929_c2_g1	gene	650.0	11.370538999999999	350.4081332284248	588.7305704681195
EXP_PM34593802	x_orbicella_faveolata	control	0	C	orbicella_host_TRINITY_DN189929_c2_g1	gene	762.0	13.56913	390.0037628015208	608.5767930589508
EXP_PM34593802	x_orbicella_faveolata	treatment	0	A	orbicella_host_TRINITY_DN189929_c2_g1	gene	836.0	24.658690999999997	350.1191001142356	577.4563016341784
EXP_PM34593802	x_orbicella_faveolata	treatment	0	B	orbicella_host_TRINITY_DN189929_c2_g1	gene	944.0	23.286405000000002	361.5343465508308	594.7861583614988
EXP_PM34593802	x_orbicella_faveolata	treatment	0	C	orbicella_host_TRINITY_DN189929_c2_g1	gene	1770.0	33.542412	389.8489540476695	615.7517235194655
EXP_PM34593802	x_orbicella_faveolata	control	0	A	orbicella_host_TRINITY_DN213606_c2_g3	gene	797.0	5.021642	1268.2335492838797	1552.7186131548208
EXP_PM34593802	x_orbicella_faveolata	control	0	B	orbicella_host_TRINITY_DN213606_c2_g3	gene	951.0	4.120978	1413.898793384968	1752.2749196913935
EXP_PM34593802	x_orbicella_faveolata	control	0	C	orbicella_host_TRINITY_DN213606_c2_g3	gene	1067.0	5.684854	1304.7243375358453	1474.2998208924978
EXP_PM34593802	x_orbicella_faveolata	treatment	0	A	orbicella_host_TRINITY_DN213606_c2_g3	gene	653.0	5.177159	1302.6453584046772	1531.8282341724487
EXP_PM34593802	x_orbicella_faveolata	treatment	0	B	orbicella_host_TRINITY_DN213606_c2_g3	gene	753.0	5.390497	1245.124836569986	1498.1253051434776
EXP_PM34593802	x_orbicella_faveolata	treatment	0	C	orbicella_host_TRINITY_DN213606_c2_g3	gene	1300.0	7.397289	1297.718213439275	1534.0560130880383
EXP_PM34593802	x_orbicella_faveolata	control	0	A	orbicella_host_TRINITY_DN220613_c2_g1	gene	1272.0	9.723892999999999	1044.5218139560977	1305.3254417752232
EXP_PM34593802	x_orbicella_faveolata	control	0	B	orbicella_host_TRINITY_DN220613_c2_g1	gene	1433.0	7.738105	1135.380348529905	1462.352140478838
