Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
MPSW01000651.1_K04564_015d9ebc_with_leader_u38_PF00081_M_to_K04564_193,Lysosome/Vacuole,Signal peptide,Soluble,0.2198999971151352,0.07890000194311142,0.39820000529289246,0.14920000731945038,0.037700001150369644,0.07000000029802322,0.45579999685287476,0.5694000124931335,0.38609999418258667,0.0024999999441206455,0.37040001153945923,0.1949000060558319,0.05700000002980232,0.698199987411499
MPSW01001707.1_K04564_7b9e297c_with_leader_u26_PF00081_M_to_K04564_199,Mitochondrion,Mitochondrial transit peptide,Soluble,0.14550000429153442,0.08060000091791153,0.03880000114440918,0.08399999886751175,0.8582000136375427,0.016599999740719795,0.03629999980330467,0.05620000138878822,0.042100001126527786,0.016100000590085983,0.49470001459121704,0.09130000323057175,0.07760000228881836,0.7354999780654907
RDEB01000110.1_K04564_86e229fd_with_leader_u26_PF00081_M_to_K04564_193,Mitochondrion,Mitochondrial transit peptide,Soluble,0.14810000360012054,0.07090000063180923,0.021199999377131462,0.0851999968290329,0.8684999942779541,0.011800000444054604,0.01759999990463257,0.06520000100135803,0.040800001472234726,0.007899999618530273,0.48739999532699585,0.1429000049829483,0.05810000002384186,0.6881999969482422
BLAZ01000169.1_K04564_9f65b912_with_leader_u27_PF00081_M_to_K04564_192,Mitochondrion,Mitochondrial transit peptide,Soluble,0.19660000503063202,0.06310000270605087,0.03720000013709068,0.07349999994039536,0.9362999796867371,0.006599999964237213,0.03550000116229057,0.08889999985694885,0.05530000105500221,0.008299999870359898,0.5230000019073486,0.11680000275373459,0.052400000393390656,0.6913999915122986
BLEZ01003184.1_K04564_dc8bf6ad_with_leader_u27_PF00081_M_to_K04564_194,Mitochondrion,Mitochondrial transit peptide,Soluble,0.16979999840259552,0.07479999959468842,0.032099999487400055,0.0843999981880188,0.91839998960495,0.013100000098347664,0.02370000071823597,0.07400000095367432,0.04340000078082085,0.016599999740719795,0.4699000120162964,0.12030000239610672,0.04639999940991402,0.6819999814033508
BLFE01002088.1_K04564_10e43317_with_leader_u27_PF00081_M_to_K04564_192,Mitochondrion,Mitochondrial transit peptide,Soluble,0.18639999628067017,0.06909999996423721,0.03739999979734421,0.07760000228881836,0.9348000288009644,0.007400000002235174,0.03200000151991844,0.07109999656677246,0.0568000003695488,0.008700000122189522,0.5216000080108643,0.12240000069141388,0.05889999866485596,0.6704999804496765
JAJLRJ010000007.1_K04564_fcb962ee_with_leader_u25_PF00081_M_to_K04564_195,Mitochondrion,Mitochondrial transit peptide,Soluble,0.16060000658035278,0.09380000084638596,0.032600000500679016,0.09570000320672989,0.8853999972343445,0.007199999876320362,0.03370000049471855,0.06970000267028809,0.04019999876618385,0.01979999989271164,0.4571000039577484,0.1143999993801117,0.10450000315904617,0.7059999704360962
KAJ7371307.1_to_K04564_223,Mitochondrion,Mitochondrial transit peptide,Soluble,0.13169999420642853,0.09319999814033508,0.03660000115633011,0.09139999747276306,0.896399974822998,0.011599999852478504,0.020600000396370888,0.05169999971985817,0.023099999874830246,0.013399999588727951,0.5146999955177307,0.07660000026226044,0.06880000233650208,0.7368000149726868
KAJ7390115.1_to_K04564_248,Lysosome/Vacuole,Signal peptide,Soluble,0.19220000505447388,0.0729999989271164,0.5673999786376953,0.06620000302791595,0.07859999686479568,0.024700000882148743,0.41839998960494995,0.5903000235557556,0.3977000117301941,0.0015999999595806003,0.4968999922275543,0.1289999932050705,0.055399999022483826,0.7099000215530396
MU825420.1_K04564_3d91ab54_with_leader_u34_PF00081_M_to_K04564_198,Lysosome/Vacuole,Signal peptide,Soluble,0.21789999306201935,0.08370000123977661,0.4595000147819519,0.0771000012755394,0.0754999965429306,0.07339999824762344,0.4562000036239624,0.47279998660087585,0.34709998965263367,0.00570000009611249,0.4503999948501587,0.1657000035047531,0.05130000039935112,0.7067999839782715
MU826849.1_K04564_291d850d_with_leader_u26_PF00081_M_to_K04564_196,Mitochondrion,Mitochondrial transit peptide,Soluble,0.14169999957084656,0.08959999680519104,0.028999999165534973,0.10869999974966049,0.8572999835014343,0.017799999564886093,0.02239999920129776,0.056299999356269836,0.021400000900030136,0.01679999940097332,0.4595000147819519,0.08060000091791153,0.07129999995231628,0.7409999966621399
JARQWQ010000030.1_K04564_a7361c5a_with_leader_u27_PF00081_M_to_K04564_192,Mitochondrion,Mitochondrial transit peptide,Soluble,0.17270000278949738,0.07069999724626541,0.0348999984562397,0.08380000293254852,0.930899977684021,0.007600000128149986,0.02410000003874302,0.0658000037074089,0.04280000180006027,0.011099999770522118,0.4876999855041504,0.12020000070333481,0.05999999865889549,0.6815999746322632
KAK2562129.1_to_K04564_191,Mitochondrion,Mitochondrial transit peptide,Soluble,0.19419999420642853,0.09179999679327011,0.08560000360012054,0.061400000005960464,0.8531000018119812,0.009800000116229057,0.02500000037252903,0.06610000133514404,0.066600002348423,0.002899999963119626,0.5458999872207642,0.07649999856948853,0.04129999876022339,0.7383999824523926
KAK2562129.1_with_leader_u27_PF00081_M_to_K04564_191,Mitochondrion,Mitochondrial transit peptide,Soluble,0.16509999334812164,0.0608999989926815,0.04430000111460686,0.05620000138878822,0.9275000095367432,0.007499999832361937,0.020500000566244125,0.06759999692440033,0.05119999870657921,0.007400000002235174,0.5249999761581421,0.07689999788999557,0.043699998408555984,0.7421000003814697
JAUJYZ010000740.1_K04564_87e6c451_with_leader_u26_PF00081_anchor_M_to_K04564_199,Mitochondrion,Mitochondrial transit peptide,Soluble,0.13109999895095825,0.11190000176429749,0.03359999880194664,0.09120000153779984,0.8392999768257141,0.029600000008940697,0.016100000590085983,0.04149999842047691,0.015599999576807022,0.02410000003874302,0.5019000172615051,0.09939999878406525,0.07429999858140945,0.6992999911308289
JAUJYZ010000745.1_K04564_47603ed6_with_leader_u31_PF00081_M_to_K04564_191,Extracellular,Signal peptide,Soluble,0.2500999867916107,0.0357000008225441,0.6287999749183655,0.14180000126361847,0.05460000038146973,0.00139999995008111,0.35929998755455017,0.5230000019073486,0.2759999930858612,0.00039999998989515007,0.3698999881744385,0.12080000340938568,0.07490000128746033,0.7781999707221985
KAK3736516.1_to_K04564_242,Extracellular,Signal peptide,Soluble,0.29120001196861267,0.06689999997615814,0.5957000255584717,0.1412999927997589,0.05389999970793724,0.002400000113993883,0.3449000120162964,0.5347999930381775,0.290800005197525,0.00039999998989515007,0.40299999713897705,0.09309999644756317,0.10249999910593033,0.76910001039505
KAK3736644.1_to_K04564_222,Mitochondrion,Mitochondrial transit peptide,Soluble,0.12189999967813492,0.10559999942779541,0.03739999979734421,0.08399999886751175,0.8400999903678894,0.03240000084042549,0.0142000000923872,0.04190000146627426,0.01549999974668026,0.02290000021457672,0.515999972820282,0.08259999752044678,0.06430000066757202,0.7056000232696533
CM106374.1_K04564_529830d2_with_leader_u26_PF00081_M_to_K04564_196,Mitochondrion,Mitochondrial transit peptide,Soluble,0.16459999978542328,0.08320000022649765,0.04230000078678131,0.09769999980926514,0.8808000087738037,0.010400000028312206,0.022299999371170998,0.043800000101327896,0.02879999950528145,0.01590000092983246,0.47760000824928284,0.0860000029206276,0.08259999752044678,0.7285000085830688
CM106378.1_K04564_64fa28d1_with_leader_u33_PF00081_M_to_K04564_194,Extracellular,Signal peptide,Soluble,0.19130000472068787,0.04729999974370003,0.5593000054359436,0.08820000290870667,0.06449999660253525,0.04619999974966049,0.37549999356269836,0.5131000280380249,0.31290000677108765,0.006899999920278788,0.3896999955177307,0.13040000200271606,0.0625,0.761900007724762
CAB3989857.1_to_K04564_245,Extracellular,Signal peptide,Soluble,0.31619998812675476,0.056699998676776886,0.6370000243186951,0.08910000324249268,0.13660000264644623,0.002300000051036477,0.43230000138282776,0.5320000052452087,0.41440001130104065,0.00019999999494757503,0.38530001044273376,0.09390000253915787,0.050999999046325684,0.8027999997138977
CAB3994625.1_to_K04564_97,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.11879999935626984,0.05739999935030937,0.04569999873638153,0.07699999958276749,0.9229999780654907,0.011599999852478504,0.014399999752640724,0.07000000029802322,0.05009999871253967,0.004100000020116568,0.7247999906539917,0.16220000386238098,0.06549999862909317,0.6388999819755554
CACRXK020001562.1_K04564_ba438d0e_with_leader_u35_PF00081_M_to_K04564_192,Extracellular,Signal peptide,Soluble,0.31349998712539673,0.03880000114440918,0.7272999882698059,0.11760000139474869,0.16210000216960907,0.0034000000450760126,0.48590001463890076,0.515500009059906,0.3619999885559082,0.00039999998989515007,0.3833000063896179,0.12639999389648438,0.055799998342990875,0.7980999946594238
CACRXK020002501.1_K04564_f2b5b9d1_with_leader_u28_PF00081_M_to_K04564_70,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.11900000274181366,0.061400000005960464,0.03700000047683716,0.09229999780654907,0.9300000071525574,0.010300000198185444,0.018799999728798866,0.07280000299215317,0.05640000104904175,0.00570000009611249,0.7459999918937683,0.12770000100135803,0.06520000100135803,0.6611999869346619
CAH3015114.1_with_leader_u26_PF00081_M_to_K04564_259,Mitochondrion,Mitochondrial transit peptide,Soluble,0.17910000681877136,0.08320000022649765,0.06639999896287918,0.10209999978542328,0.9013000130653381,0.006000000052154064,0.031599998474121094,0.06689999997615814,0.05490000173449516,0.01269999984651804,0.4973999857902527,0.09009999781847,0.0714000016450882,0.7215999960899353
CAH3015114.1_with_leader_u17_PF00081_M_to_K04564_259,Mitochondrion,Mitochondrial transit peptide,Soluble,0.13680000603199005,0.10890000313520432,0.13359999656677246,0.07739999890327454,0.8510000109672546,0.01769999973475933,0.02810000069439411,0.0649000033736229,0.032999999821186066,0.021199999377131462,0.49070000648498535,0.0731000006198883,0.05979999899864197,0.7355999946594238
CAH3167338.1_to_K04564_247,Extracellular|Lysosome/Vacuole,Signal peptide,Soluble,0.3237000107765198,0.0674000009894371,0.642300009727478,0.08860000222921371,0.043699998408555984,0.003599999938160181,0.5306000113487244,0.679099977016449,0.5304999947547913,0.002400000113993883,0.45660001039505005,0.13269999623298645,0.05999999865889549,0.7534999847412109
CALNXI010000019.1_K04564_9c58f698_with_leader_u26_PF00081_M_to_K04564_195,Mitochondrion,Mitochondrial transit peptide,Soluble,0.17669999599456787,0.07440000027418137,0.05119999870657921,0.09969999641180038,0.8568000197410583,0.01769999973475933,0.02669999934732914,0.06300000101327896,0.050599999725818634,0.013199999928474426,0.453900009393692,0.10769999772310257,0.06109999865293503,0.7099000215530396
CALNXI010000019.1_K04564_9c58f698_with_leader_u17_PF00081_M_to_K04564_195,Mitochondrion,Mitochondrial transit peptide,Soluble,0.1444000005722046,0.09560000151395798,0.11469999700784683,0.0738999992609024,0.7919999957084656,0.028200000524520874,0.027699999511241913,0.06310000270605087,0.034699998795986176,0.016300000250339508,0.45489999651908875,0.09160000085830688,0.05900000035762787,0.7178000211715698
CALNXI010001387.1_K04564_b0e36d4a_with_leader_u37_PF00081_M_to_K04564_194,Lysosome/Vacuole,Signal peptide,Soluble,0.24560000002384186,0.058800000697374344,0.513700008392334,0.1396999955177307,0.0430000014603138,0.02319999970495701,0.4966000020503998,0.7092999815940857,0.46939998865127563,0.00559999980032444,0.4383000135421753,0.13989999890327454,0.06939999759197235,0.736299991607666
CAH3113625.1_to_K04564_245,Extracellular,Signal peptide,Soluble,0.2476000040769577,0.05469999834895134,0.6215000152587891,0.06930000334978104,0.06610000133514404,0.014499999582767487,0.3278999924659729,0.579800009727478,0.42089998722076416,0.014299999922513962,0.4796999990940094,0.11699999868869781,0.044599998742341995,0.7663000226020813
