transcript_id	locus_id	rank	score	raw_score	strand	transcript_length	locus_length	transcript_coverage	identity	gap_count	gap_bases	transcript_start	transcript_end	locus_start	locus_end
orbicella_host_TRINITY_DN189929_c2_g1_i5.p1_1_134|orbicella_host_TRINITY_DN189929_c2_g1_i5_1_402	NW_018149324.1_p100-like_cnidaria_1c4b0771_cds	1	95.64676616915423	769.0	+	402	2781	1.0	0.9975124378109452	3	18	0	402	753	1173
orbicella_host_TRINITY_DN189929_c2_g1_i5.p1_1_134|orbicella_host_TRINITY_DN189929_c2_g1_i5_1_402	XP_020614015.1_cds	2	3.109452736318408	25.0	-	402	1143	0.09203980099502487	0.8108108108108109	2	6	53	92	718	759
orbicella_host_TRINITY_DN189929_c2_g1_i5.p1_1_134|orbicella_host_TRINITY_DN189929_c2_g1_i5_1_402	XP_020604255.1_cds	3	3.109452736318408	25.0	-	402	1107	0.07462686567164178	0.9333333333333333	4	9	265	295	875	914
orbicella_host_TRINITY_DN189929_c2_g1_i5.p1_1_134|orbicella_host_TRINITY_DN189929_c2_g1_i5_1_402	XP_020614060.1_cds	4	2.8606965174129355	23.0	+	402	1296	0.11940298507462686	0.8333333333333334	5	13	231	282	317	375
orbicella_host_TRINITY_DN206725_c0_g2_i4.p1_1_140|orbicella_host_TRINITY_DN206725_c0_g2_i4_1279_1698	NW_018149324.1_p100-like_cnidaria_1c4b0771_cds	1	71.78571428571429	603.0	+	420	2781	0.7785714285714286	0.9847094801223242	2	18	0	327	1860	2205
orbicella_host_TRINITY_DN206725_c0_g2_i4.p1_1_140|orbicella_host_TRINITY_DN206725_c0_g2_i4_1279_1698	XP_020604255.1_cds	2	6.904761904761905	58.0	+	420	1107	0.2761904761904762	0.7586206896551724	6	10	271	392	847	968
orbicella_host_TRINITY_DN206725_c0_g2_i4.p1_1_140|orbicella_host_TRINITY_DN206725_c0_g2_i4_1279_1698	XP_020614060.1_cds	3	4.642857142857143	39.0	+	420	1296	0.12142857142857143	0.8627450980392157	5	8	25	80	787	842
orbicella_host_TRINITY_DN206725_c0_g2_i4.p1_1_140|orbicella_host_TRINITY_DN206725_c0_g2_i4_1279_1698	XP_020614015.1_cds	4	3.6904761904761907	31.0	+	420	1143	0.06190476190476191	0.9230769230769231	1	7	270	303	543	569
orbicella_host_TRINITY_DN206725_c0_g2_i7.p1_13_291|orbicella_host_TRINITY_DN206725_c0_g2_i7_37_873	NW_018149324.1_p100-like_cnidaria_1c4b0771_cds	1	80.16726403823178	1342.0	+	837	2781	0.8888888888888888	0.9932795698924731	7	93	0	744	1368	2205
orbicella_host_TRINITY_DN206725_c0_g2_i7.p1_13_291|orbicella_host_TRINITY_DN206725_c0_g2_i7_37_873	XP_020604255.1_cds	2	3.6439665471923535	61.0	+	837	1107	0.16248506571087215	0.7573529411764706	8	14	666	809	825	968
orbicella_host_TRINITY_DN206725_c0_g2_i7.p1_13_291|orbicella_host_TRINITY_DN206725_c0_g2_i7_37_873	XP_020614060.1_cds	3	2.3297491039426523	39.0	+	837	1296	0.06093189964157706	0.8627450980392157	5	8	442	497	787	842
orbicella_host_TRINITY_DN206725_c0_g2_i7.p1_13_291|orbicella_host_TRINITY_DN206725_c0_g2_i7_37_873	XP_020614015.1_cds	4	1.8518518518518519	31.0	+	837	1143	0.03106332138590203	0.9230769230769231	1	7	687	720	543	569
orbicella_host_TRINITY_DN213606_c2_g3_i2.p1_3_288|orbicella_host_TRINITY_DN213606_c2_g3_i2_7_864	XP_020614060.1_cds	1	99.41724941724942	1706.0	+	858	1296	1.0	0.9976689976689976	0	0	0	858	429	1287
orbicella_host_TRINITY_DN213606_c2_g3_i2.p1_3_288|orbicella_host_TRINITY_DN213606_c2_g3_i2_7_864	XP_020604255.1_cds	2	3.613053613053613	62.0	+	858	1107	0.15268065268065267	0.8015267175572519	11	26	489	633	735	879
