model	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00001	404.47	domain	trim	0.440337	1957	1721	1667	404	11.15	0.590	alcohol dehydrogenase [EC:1.1.1.1]
K00002	442.83	domain	all	0.402236	3357	3212	6855	512	8.59	0.590	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	279.90	domain	all	0.956302	8143	7090	3562	725	7.77	0.590	homoserine dehydrogenase [EC:1.1.1.3]
K00004	374.87	domain	all	0.851343	2025	1723	1304	423	6.01	0.590	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	327.30	full	all	0.979817	1778	1348	797	372	2.21	0.590	glycerol dehydrogenase [EC:1.1.1.6]
K00006	306.27	full	all	0.909510	3174	2932	3961	548	4.36	0.590	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	529.20	full	all	0.997151	434	354	850	467	1.05	0.589	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	426.53	full	all	0.551119	4977	4463	3875	626	8.33	0.590	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	159.47	full	all	0.997086	1936	1549	1725	713	3.09	0.590	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	273.87	domain	all	0.925969	4876	4325	2570	442	10.31	0.590	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	561.57	domain	all	0.744034	2245	2169	4993	561	4.17	0.590	aldehyde reductase [EC:1.1.1.21]
K00012	375.73	full	all	0.953568	11405	10176	6293	628	6.70	0.590	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	499.70	domain	all	0.934041	8638	7692	4581	611	4.15	0.590	histidinol dehydrogenase [EC:1.1.1.23]
K00014	263.20	domain	all	0.774888	6352	5425	2386	606	6.79	0.590	shikimate dehydrogenase [EC:1.1.1.25]
K00015	416.57	domain	all	0.783939	2405	2175	1623	487	4.00	0.590	glyoxylate reductase [EC:1.1.1.26]
K00016	327.13	full	all	0.890548	7314	5934	4051	603	8.40	0.590	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	327.03	domain	all	0.994190	1955	1818	753	375	3.07	0.590	glycerate dehydrogenase [EC:1.1.1.29]
K00019	185.20	domain	all	0.491185	6064	5451	4448	647	13.34	0.590	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
