Cluster Repr	Cluster Member
KAJ7381142.1	KAJ7381142.1
KAK2568458.1	KAK2568458.1
KAK2568458.1	CAH3186482.1
KAK2568458.1	CAH3185197.1
KAK2568458.1	XP_065051077.1
KAK2568458.1	XP_048580669.1
KAK2568458.1	XP_032228246.1
KAK2568458.1	XP_048580668.1
CAB3983725.1	CAB3983725.1
CAB3983725.1	CAB3983724.1
CAB3983725.1	CAB3983726.1
CAH3136375.1	CAH3136375.1
XP_001619401.2	XP_001619401.2
XP_020604582.1	XP_020604582.1
XP_020612557.1	XP_020612557.1
XP_022795884.1	XP_022795884.1
XP_022795884.1	XP_073252887.1
XP_028414852.1	XP_028414852.1
XP_028414852.1	XP_028414684.1
XP_028414852.1	XP_046859971.1
XP_031565157.1	XP_031565157.1
XP_031565157.1	XP_031565156.1
XP_031565157.1	KAK3739735.1
XP_031565157.1	XP_020916759.1
XP_031565157.1	XP_027038010.1
XP_031565157.1	CAH3136379.1
XP_031565157.1	CAH3027709.1
XP_031565157.1	CAH3186488.1
XP_031565157.1	XP_073234456.1
XP_031565157.1	XP_015766406.1
XP_031565157.1	XP_022789211.1
XP_031565157.1	XP_022789210.1
XP_031565157.1	XP_029186950.1
XP_031565157.1	XP_029186950.2
XP_031565157.1	XP_067053651.1
XP_031565157.1	XP_058970121.1
XP_031565157.1	CAH3117715.1
XP_031565157.1	XP_058970121.1
XP_031565157.1	XP_068704788.1
XP_031565157.1	XP_068721954.1
XP_031575150.1	XP_031575150.1
XP_031575150.1	XP_031575149.1
XP_031575150.1	XP_020917478.1
XP_031575150.1	XP_020917479.1
XP_031575150.1	XP_020917480.1
XP_031575150.1	XP_020917481.1
XP_031575150.1	KAK3696731.1
XP_031575150.1	XP_048589693.1
XP_031575150.1	XP_032237497.1
XP_031575150.1	XP_032237498.1
XP_031575150.1	XP_032237499.1
XP_031575150.1	XP_032237500.1
XP_031575150.1	XP_048589694.1
XP_031575150.1	XP_048589695.1
XP_031575150.1	XP_048589696.1
XP_031575150.1	XP_073252882.1
XP_031575150.1	CAH3177843.1
XP_031575150.1	CAH3176760.1
XP_031575150.1	XP_015753003.1
XP_031575150.1	XP_015753004.1
XP_031575150.1	XP_015753005.1
XP_031575150.1	XP_044176433.1
XP_031575150.1	XP_044176435.1
XP_031575150.1	XP_044176436.1
XP_031575150.1	XP_044176437.1
XP_031575150.1	XP_067042541.1
XP_031575150.1	XP_067042543.1
XP_031575150.1	XP_067042544.1
XP_031575150.1	XP_073252883.1
XP_031575150.1	XP_073252884.1
XP_031575150.1	XP_073252885.1
XP_031575150.1	KAK2555979.1
XP_031575150.1	XP_015753001.1
XP_031575150.1	XP_029188003.1
XP_031575150.1	XP_020604578.1
XP_031575150.1	XP_020604579.1
XP_031575150.1	XP_020604580.1
XP_031575150.1	XP_020604581.1
XP_031575150.1	XP_027035757.1
XP_031575150.1	KAJ7383798.1
XP_031575150.1	CAH3045306.1
XP_031575150.1	XP_022795880.1
XP_031575150.1	XP_022795881.1
XP_031575150.1	XP_022795882.1
XP_031575150.1	XP_027035749.1
XP_031575150.1	XP_027035763.1
XP_031575150.1	XP_027035770.1
XP_031575150.1	XP_027035777.1
XP_031575150.1	XP_058948588.1
XP_031575150.1	XP_058948589.1
XP_031575150.1	XP_058948590.1
XP_031575150.1	XP_068720161.1
XP_031575150.1	XP_015753002.1
XP_031575150.1	XP_044176434.1
XP_031575150.1	XP_067042542.1
XP_031575150.1	XP_068720162.1
XP_031575150.1	XP_068702545.1
XP_031575150.1	XP_068702546.1
XP_031575150.1	XP_068702547.1
XP_031575150.1	XP_068702548.1
XP_065059406.1	XP_065059406.1
XP_046851976.1	XP_046851976.1
XP_046851976.1	XP_046851975.1
XP_046851976.1	CAB3983723.1
XP_046851976.1	XP_028400008.1
NP_001267795.1	NP_001267795.1
XP_065670276.1	XP_065670276.1
XP_065670276.1	XP_065670278.1
XP_065670276.1	XP_065670279.1
XP_073232074.1	XP_073232074.1
