protein accession	genome accession	contig accession	strand	locus start 1b	locus end 1b
BLAZ01000379.1_IkBa-like_cnidaria_1b49cc6e	GCA_014633955.1	BLAZ01000379.1	-	445,743	442,793
BLAZ01000634.1_p100-like_cnidaria_42ec6be3	GCA_014633955.1	BLAZ01000634.1	-	1,429,554	1,411,063
BLAZ01001464.1_IkB-like-1_cnidaria_06ab4a1a	GCA_014633955.1	BLAZ01001464.1	+	1,573,590	1,567,828
BLAZ01001464.1_IkB-like-2_cnidaria_5d8c002b	GCA_014633955.1	BLAZ01001464.1	+	1,599,032	1,591,380
BLEZ01000629.1_IkB-like-1_cnidaria_8b3c2817	GCA_014633975.1	BLEZ01000629.1	+	519,111	514,096
BLEZ01000629.1_IkB-like-2_cnidaria_18137cb1	GCA_014633975.1	BLEZ01000629.1	+	546,799	539,683
BLEZ01000773.1_p100-like_cnidaria_c43d54bd	GCA_014633975.1	BLEZ01000773.1	+	464,766	447,862
BLEZ01003045.1_IkBa-like_cnidaria_329fafde	GCA_014633975.1	BLEZ01003045.1	+	1,163,492	1,160,554
BLFE01000447.1_IkBa-like_cnidaria_3c802b24	GCA_014634605.1	BLFE01000447.1	-	26,489	23,550
BLFE01004004.1_IkB-like-1_cnidaria_e734a82f	GCA_014634605.1	BLFE01004004.1	-	284,746	280,174
BLFE01004004.1_IkB-like-2_cnidaria_dccf6786	GCA_014634605.1	BLFE01004004.1	-	254,155	247,893
BLFE01006569.1_p100-like_cnidaria_aa59d0aa	GCA_014634605.1	BLFE01006569.1	+	215,635	197,875
CALNXI010000448.1_IkB-like-2_cnidaria_245bbc15	GCA_942486025.1	CALNXI010000448.1	-	256,913	249,667
CALNXI010000468.1_p100-like_cnidaria_7a15f2df	GCA_942486025.1	CALNXI010000468.1	+	68,212	46,614
CALNXI010000517.1_IkBa-like_cnidaria_1dfdcee6	GCA_942486025.1	CALNXI010000517.1	-	234,856	231,721
CALNXI010000943.1_IkBa-like_cnidaria_6d75a25b	GCA_942486025.1	CALNXI010000943.1	-	37,454	34,319
CALNXI010002241.1_p52-like_cnidaria_0d36f76f	GCA_942486025.1	CALNXI010002241.1	+	41,398	33,468
CALNXI010005345.1_IkB-like-1_cnidaria_96e8edbb	GCA_942486025.1	CALNXI010005345.1	+	7,854	3,964
CALNXI010005773.1_IkB-like-1_cnidaria_ecb61d03	GCA_942486025.1	CALNXI010005773.1	+	6,434	2,205
