seq	cat	label	fe	mn	score
XP_005539094.1	ref	Mn	0	8	0.8888888888888888
P50060_cyan	ref	Mn	1	7	0.6666666666666666
P50058_cyan	ref	Mn	0	8	0.8888888888888888
P50059_cyan	ref	Mn	1	7	0.6666666666666666
SP | CAK9100252.1_with_leader_u21_PF0008	K04564	SP	2	5	0.3333333333333333
SP | CAK9032107.1_with_leader_u21_PF0008	K04564	SP	2	5	0.3333333333333333
SP | CAL1167723.1_with_leader_u21_PF0008	K04564	SP	2	5	0.3333333333333333
SP | siderastrea_symb_TRINITY_DN8493_c0_	K04564	SP	3	5	0.2222222222222222
SP | pseudodiploria_symb_TRINITY_DN34811	K04564	SP	3	5	0.2222222222222222
SP | CAE8628319.1_with_leader_u26_PF0008	K04564	SP	1	7	0.6666666666666666
SP | CAE7445615.1_with_leader_u20_PF0008	K04564	SP	1	5	0.4444444444444444
SP | OLP79028.1_with_leader_u20_PF00081_	K04564	SP	2	6	0.4444444444444444
SP | orbicella_symb_TRINITY_DN78611_c0_g	K04564	SP	2	6	0.4444444444444444
SP/cTP | CAE8598837.1_with_leader_u65_PF	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | CAE8604820.1_with_leader_u65_PF	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | CAE8631912.1_with_leader_u59_PF	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | OLP88777.1_with_leader_u60_PF00	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | CAE7848606.1_with_leader_u60_PF	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | orbicella_symb_TRINITY_DN393612	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | OLP99006.1_with_leader_u58_PF00	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | orbicella_symb_TRINITY_DN78611_	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | CAXAMM010040162.1_K04564_a70eaf	K04564	SP/cTP	0	7	0.7777777777777778
