target name	accession	tlen	query name	accession	qlen	seq e-value	seq score	reason	seq bias	dom #	dom total	dom c-Evalue	dom i-Evalue	dom score	dom bias	hmm from	hmm to	ali from	ali to	env from	env to	acc	description
CAL1168155.1_bounded_58-250|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	9.10E-141	459.1		2.1	1	1	1.00E-140	1.00E-140	459	2.1	1	193	1	193	1	193	1	-
orbicella_symb_TRINITY_DN188752_c0_g3_i1.p1_bounded_58-250|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	9.40E-141	459.1		2.3	1	1	1.00E-140	1.00E-140	458.9	2.3	1	193	1	193	1	193	1	-
c_goreaui_TRINITY_DN626_c0_g1_i2.p1_bounded_56-248|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	1.10E-140	458.8		2.5	1	1	1.20E-140	1.20E-140	458.7	2.5	1	193	1	193	1	193	1	-
CAL1168149.1_bounded_58-250|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	2.00E-140	458		2.8	1	1	2.20E-140	2.20E-140	457.8	2.8	1	193	1	193	1	193	1	-
CAK9091470.1_bounded_664-856|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	4.80E-140	456.7		2.1	1	1	5.30E-140	5.30E-140	456.6	2.1	1	193	1	193	1	193	1	-
DF239687.1_K04564_210fd9cb_bounded_4-196|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	7.00E-140	456.2		1.9	1	1	7.80E-140	7.80E-140	456.1	1.9	1	193	1	193	1	193	1	-
BGPT01004387.1_K04564_42ae3337_bounded_4-197|query	-	194	sp_ctp_MnFeSOD_algae_mature	-	193	4.40E-139	453.6		2.6	1	1	4.90E-139	4.90E-139	453.5	2.6	1	193	1	194	1	194	0.99	-
orbicella_symb_TRINITY_DN78611_c0_g1_i1.p1_bounded_81-273|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	3.90E-138	450.5		1.2	1	1	4.40E-138	4.40E-138	450.4	1.2	1	193	1	193	1	193	1	-
siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1_bounded_57-249|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	3.80E-138	450.5		2.5	1	1	4.30E-138	4.30E-138	450.4	2.5	1	193	1	193	1	193	1	-
OLP99006.1_bounded_1003-1195|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	8.00E-138	449.5		2.1	1	1	8.90E-138	8.90E-138	449.3	2.1	1	193	1	193	1	193	1	-
DF239687.1_K04564_8557d9bb_bounded_4-196|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	9.20E-138	449.3		2.4	1	1	1.00E-137	1.00E-137	449.1	2.4	1	193	1	193	1	193	1	-
OLP88777.1_bounded_1735-1927|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	1.60E-136	445.3		1.3	1	1	1.80E-136	1.80E-136	445.1	1.3	1	193	1	193	1	193	1	-
BGPT01000358.1_K04564_070be8c8_bounded_4-202|query	-	199	sp_ctp_MnFeSOD_algae_mature	-	193	2.00E-136	445		11.9	1	1	4.00E-135	4.00E-135	440.7	11.9	1	193	1	199	1	199	0.97	-
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_bounded_78-270|query	-	193	sp_ctp_MnFeSOD_algae_mature	-	193	1.90E-135	441.8		2.2	1	1	2.10E-135	2.10E-135	441.6	2.2	1	193	1	193	1	193	1	-
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_bounded_30-226|query	-	197	sp_MnFeSOD_algae_mature	-	197	5.50E-133	433.6		2.6	1	1	6.10E-133	6.10E-133	433.4	2.6	1	197	1	197	1	197	1	-
OLP79028.1_bounded_811-1007|query	-	197	sp_MnFeSOD_algae_mature	-	197	1.20E-132	432.4		2.4	1	1	1.30E-132	1.30E-132	432.3	2.4	1	197	1	197	1	197	1	-
CAE7459428.1_bounded_187-390|query	-	204	sp_ctp_MnFeSOD_algae_mature	-	193	2.90E-132	431.3	Would have counted as a hit but upstream of CAE7459428.1 the SP signal was weak. If counted, the threshold would have been lowered to here.	6.4	1	1	7.60E-132	7.60E-132	430	6.4	1	193	1	204	1	204	0.98	-
CAK9100252.1_bounded_24-220|query	-	197	sp_MnFeSOD_algae_mature	-	197	1.00E-130	426.2		0.7	1	1	1.10E-130	1.10E-130	426	0.7	1	197	1	197	1	197	1	-
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1_bounded_19-217|query	-	199	sp_MnFeSOD_algae_mature	-	197	1.70E-129	422.1		1.4	1	1	1.90E-129	1.90E-129	422	1.4	1	197	1	199	1	199	0.99	-
