Genome accession	NFkB candidate	IkB candidate	NFkB chain contact coordinate	pDockQ2 region	pDockQ2 score	zipfile	zipfile_sha256	scoring_signature
GCA_032359415.1	KAK2568458.1	KAK2566508.1	254:396	A_B	0.777221	fold_kak2568458_1_kak2566508_1.zip	69ee5e0c8103c4219d5fe57ddb95d92040f787e885bcba7ff278cc7bb7914471	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566508.1	254:396	A_C	0.545705	fold_kak2568458_1_kak2566508_1.zip	69ee5e0c8103c4219d5fe57ddb95d92040f787e885bcba7ff278cc7bb7914471	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566508.1	254:396	B_C	0.386744	fold_kak2568458_1_kak2566508_1.zip	69ee5e0c8103c4219d5fe57ddb95d92040f787e885bcba7ff278cc7bb7914471	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566508.1	254:396	A_region_B_region	0.777221	fold_kak2568458_1_kak2566508_1.zip	69ee5e0c8103c4219d5fe57ddb95d92040f787e885bcba7ff278cc7bb7914471	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566508.1	254:396	A_region_C	0.545705	fold_kak2568458_1_kak2566508_1.zip	69ee5e0c8103c4219d5fe57ddb95d92040f787e885bcba7ff278cc7bb7914471	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566508.1	254:396	B_region_C	0.390498	fold_kak2568458_1_kak2566508_1.zip	69ee5e0c8103c4219d5fe57ddb95d92040f787e885bcba7ff278cc7bb7914471	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566512.1	254:396	A_B	0.608574	fold_kak2568458_1_kak2566512_1.zip	e88d079c663b18c52019788286270e97f947eb4968f90bf8fb73cf8cdd62b159	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566512.1	254:396	A_C	0.332440	fold_kak2568458_1_kak2566512_1.zip	e88d079c663b18c52019788286270e97f947eb4968f90bf8fb73cf8cdd62b159	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566512.1	254:396	B_C	0.383441	fold_kak2568458_1_kak2566512_1.zip	e88d079c663b18c52019788286270e97f947eb4968f90bf8fb73cf8cdd62b159	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566512.1	254:396	A_region_B_region	0.793216	fold_kak2568458_1_kak2566512_1.zip	e88d079c663b18c52019788286270e97f947eb4968f90bf8fb73cf8cdd62b159	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566512.1	254:396	A_region_C	0.343421	fold_kak2568458_1_kak2566512_1.zip	e88d079c663b18c52019788286270e97f947eb4968f90bf8fb73cf8cdd62b159	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2566512.1	254:396	B_region_C	0.383441	fold_kak2568458_1_kak2566512_1.zip	e88d079c663b18c52019788286270e97f947eb4968f90bf8fb73cf8cdd62b159	6551c708b2814d60f1f3168bd0834a7f4d48c7ed7ac7a6629620c5db9a28c82a
GCA_032359415.1	KAK2568458.1	KAK2567480.1	254:396	A_B				
GCA_032359415.1	KAK2568458.1	KAK2567480.1	254:396	A_C				
GCA_032359415.1	KAK2568458.1	KAK2567480.1	254:396	B_C				
GCA_032359415.1	KAK2568458.1	KAK2567480.1	254:396	A_region_B_region				
GCA_032359415.1	KAK2568458.1	KAK2567480.1	254:396	A_region_C				
GCA_032359415.1	KAK2568458.1	KAK2567480.1	254:396	B_region_C				
GCA_033675265.1	KAK3739735.1	KAK3739735.1	230:372	A_region_A_Cterm	0.288814	fold_kak3739735_1.zip	54448c59908a71c12da229a2acd08069b75f0b089830ff9baeeb755e46ddbf70	b78ece8ec75db29d65095c5d16e856ff4b1d442d1b8ea46cb2cb98dc0b56fd48
GCA_942486025.1	CAH3027709.1	CAH3027709.1	258:401	A_region_A_Cterm	0.388412	fold_cah3027709_1.zip	df2ecfae9a0217c47d4099ca188bf5afd186cf5dc42e767a3af44d62d29e818d	8e2336881c592952d4f91fde522e7f3a53d6dd36b55a7870aa94989b91878861
GCA_942486025.1	CAH3027709.1	CAH3027367.1	258:401	A_B	0.756197	fold_cah3027709_1_cah3027367_1.zip	9c6fafc1226f74e1bf96fe435dac2cc985b21a0c848013927df7da3d2f0bc691	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3027367.1	258:401	A_C	0.340145	fold_cah3027709_1_cah3027367_1.zip	9c6fafc1226f74e1bf96fe435dac2cc985b21a0c848013927df7da3d2f0bc691	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3027367.1	258:401	B_C	0.343316	fold_cah3027709_1_cah3027367_1.zip	9c6fafc1226f74e1bf96fe435dac2cc985b21a0c848013927df7da3d2f0bc691	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3027367.1	258:401	A_region_B_region	0.771922	fold_cah3027709_1_cah3027367_1.zip	9c6fafc1226f74e1bf96fe435dac2cc985b21a0c848013927df7da3d2f0bc691	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3027367.1	258:401	A_region_C	0.340145	fold_cah3027709_1_cah3027367_1.zip	9c6fafc1226f74e1bf96fe435dac2cc985b21a0c848013927df7da3d2f0bc691	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3027367.1	258:401	B_region_C	0.343316	fold_cah3027709_1_cah3027367_1.zip	9c6fafc1226f74e1bf96fe435dac2cc985b21a0c848013927df7da3d2f0bc691	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3028528.1	258:401	A_B	0.784164	fold_cah3027709_1_cah3028528_1.zip	2359bf2e4792ac132e2a63d8b53ddf0d4bf18f56ab9296bf91c2768a73bba717	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3028528.1	258:401	A_C	0.346352	fold_cah3027709_1_cah3028528_1.zip	2359bf2e4792ac132e2a63d8b53ddf0d4bf18f56ab9296bf91c2768a73bba717	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3028528.1	258:401	B_C	0.314443	fold_cah3027709_1_cah3028528_1.zip	2359bf2e4792ac132e2a63d8b53ddf0d4bf18f56ab9296bf91c2768a73bba717	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3028528.1	258:401	A_region_B_region	0.786707	fold_cah3027709_1_cah3028528_1.zip	2359bf2e4792ac132e2a63d8b53ddf0d4bf18f56ab9296bf91c2768a73bba717	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3028528.1	258:401	A_region_C	0.346352	fold_cah3027709_1_cah3028528_1.zip	2359bf2e4792ac132e2a63d8b53ddf0d4bf18f56ab9296bf91c2768a73bba717	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3028528.1	258:401	B_region_C	0.474161	fold_cah3027709_1_cah3028528_1.zip	2359bf2e4792ac132e2a63d8b53ddf0d4bf18f56ab9296bf91c2768a73bba717	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3148052.1	258:401	A_B	0.756509	fold_cah3027709_1_cah3148052_1.zip	86ab0d4730d73849343f0d3cd70692b42b743a7f26ac4c14c7936ac71e7265c8	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3148052.1	258:401	A_C	0.244209	fold_cah3027709_1_cah3148052_1.zip	86ab0d4730d73849343f0d3cd70692b42b743a7f26ac4c14c7936ac71e7265c8	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3148052.1	258:401	B_C	0.334108	fold_cah3027709_1_cah3148052_1.zip	86ab0d4730d73849343f0d3cd70692b42b743a7f26ac4c14c7936ac71e7265c8	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3148052.1	258:401	A_region_B_region	0.756509	fold_cah3027709_1_cah3148052_1.zip	86ab0d4730d73849343f0d3cd70692b42b743a7f26ac4c14c7936ac71e7265c8	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3148052.1	258:401	A_region_C	0.244209	fold_cah3027709_1_cah3148052_1.zip	86ab0d4730d73849343f0d3cd70692b42b743a7f26ac4c14c7936ac71e7265c8	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3148052.1	258:401	B_region_C	0.440624	fold_cah3027709_1_cah3148052_1.zip	86ab0d4730d73849343f0d3cd70692b42b743a7f26ac4c14c7936ac71e7265c8	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3197536.1	258:401	A_B	0.770064	fold_cah3027709_1_cah3197536_1.zip	efa58e1812d340e05fc036dd5a3ef4a7935c747c6cd06c8e2f05ae8129dc7c8b	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3197536.1	258:401	A_C	0.397590	fold_cah3027709_1_cah3197536_1.zip	efa58e1812d340e05fc036dd5a3ef4a7935c747c6cd06c8e2f05ae8129dc7c8b	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3197536.1	258:401	B_C	0.434013	fold_cah3027709_1_cah3197536_1.zip	efa58e1812d340e05fc036dd5a3ef4a7935c747c6cd06c8e2f05ae8129dc7c8b	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3197536.1	258:401	A_region_B_region	0.777453	fold_cah3027709_1_cah3197536_1.zip	efa58e1812d340e05fc036dd5a3ef4a7935c747c6cd06c8e2f05ae8129dc7c8b	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3197536.1	258:401	A_region_C	0.397590	fold_cah3027709_1_cah3197536_1.zip	efa58e1812d340e05fc036dd5a3ef4a7935c747c6cd06c8e2f05ae8129dc7c8b	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3197536.1	258:401	B_region_C	0.434013	fold_cah3027709_1_cah3197536_1.zip	efa58e1812d340e05fc036dd5a3ef4a7935c747c6cd06c8e2f05ae8129dc7c8b	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
