Cluster Repr	Cluster Member
NP_005579.2_PF21355_454_589	NP_005579.2_PF21355_454_589
NP_005916.2_PF21355_447_581	NP_005916.2_PF21355_447_581
NP_004286.2_PF21355_331_459	NP_004286.2_PF21355_331_459
NP_004611.1_PF21355_373_496	NP_004611.1_PF21355_373_496
NP_665802.1_PF21355_373_496	NP_665802.1_PF21355_373_496
NP_005649.1_PF21355_289_409	NP_005649.1_PF21355_289_409
NP_066961.2_PF21355_376_493	NP_066961.2_PF21355_376_493
NP_004610.1_PF21355_426_546	NP_004610.1_PF21355_426_546
NP_663777.1_PF21355_438_557	NP_663777.1_PF21355_438_557
NP_003291.2_PF21355_438_557	NP_003291.2_PF21355_438_557
