protein accession	sequence accession	genome accession	contig accession	pass all	Leader().upstreamOfPfam('PF00081').betweenAA(-70, -15)	HMMAlignment('algae_sod2_sp_ctp_leader.hmm').spans(3, 50).between(1, 60)	Pfam.matches('PF00081')	Pfam.matches('PF02777')	KO.matches('K04564', bound_cterm=True)	HMMAlignment('k04564.hmm').is_at('H', 61)	HMMAlignment('k04564.hmm').is_at('H', 106)	HMMAlignment('k04564.hmm').is_at('D', 187)	HMMAlignment('k04564.hmm').is_at('H', 191)	HMMAlignment('k04564.hmm').matches_regex('[QDK]', 196)
DF239687.1_K04564_210fd9cb	DF239687.1_K04564_210fd9cb_with_leader_u55_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	true	true	true	true	true	true	true	true	true	true	true
DF239687.1_K04564_210fd9cb	DF239687.1_K04564_210fd9cb_with_leader_u39_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	false	true	false	true	true	true	true	true	true	true	true
DF239687.1_K04564_387475d1	DF239687.1_K04564_387475d1_with_leader_u55_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	true	true	true	true	true	true	true	true	true	true	true
DF239687.1_K04564_387475d1	DF239687.1_K04564_387475d1_with_leader_u39_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	false	true	false	true	true	true	true	true	true	true	true
DF239687.1_K04564_8557d9bb	DF239687.1_K04564_8557d9bb_with_leader_u55_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	true	true	true	true	true	true	true	true	true	true	true
DF239687.1_K04564_8557d9bb	DF239687.1_K04564_8557d9bb_with_leader_u39_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	false	true	false	true	true	true	true	true	true	true	true
LSRX01000795.1_K04564_1fcb6a32	LSRX01000795.1_K04564_1fcb6a32_with_leader_u60_PF00081_M_to_K04564_198	GCA_001939145.1	LSRX01000795.1	true	true	true	true	true	true	true	true	true	true	true
LSRX01000795.1_K04564_1fcb6a32	LSRX01000795.1_K04564_1fcb6a32_with_leader_u36_PF00081_M_to_K04564_198	GCA_001939145.1	LSRX01000795.1	false	true	false	true	true	true	true	true	true	true	true
OLP79028.1	OLP79028.1_with_leader_u63_PF00081_M_to_K04564_1017	GCA_001939145.1	LSRX01001534.1	false	true	false	true	true	true	true	true	true	true	true
OLP79028.1	OLP79028.1_with_leader_u20_PF00081_M_to_K04564_1017	GCA_001939145.1	LSRX01001534.1	false	true	false	true	true	true	true	true	true	true	true
OLP88777.1	OLP88777.1_with_leader_u60_PF00081_M_to_K04564_1935	GCA_001939145.1	LSRX01000795.1	true	true	true	true	true	true	true	true	true	true	true
OLP88777.1	OLP88777.1_with_leader_u36_PF00081_M_to_K04564_1935	GCA_001939145.1	LSRX01000795.1	false	true	false	true	true	true	true	true	true	true	true
OLP99006.1	OLP99006.1_with_leader_u58_PF00081_M_to_K04564_1204	GCA_001939145.1	LSRX01000377.1	true	true	true	true	true	true	true	true	true	true	true
BGNK01003376.1_K04564_a3776c6c	BGNK01003376.1_K04564_a3776c6c_with_leader_u60_PF00081_M_to_K04564_198	GCA_003297005.1	BGNK01003376.1	true	true	true	true	true	true	true	true	true	true	true
BGNK01003376.1_K04564_a3776c6c	BGNK01003376.1_K04564_a3776c6c_with_leader_u36_PF00081_M_to_K04564_198	GCA_003297005.1	BGNK01003376.1	false	true	false	true	true	true	true	true	true	true	true
BGNK01003376.1_K04564_a3776c6c	BGNK01003376.1_K04564_a3776c6c_with_leader_u31_PF00081_M_to_K04564_198	GCA_003297005.1	BGNK01003376.1	false	true	false	true	true	true	true	true	true	true	true
