Domain Accession	Group
NP_005579.2_PF21355_454_589	Z
NP_005916.2_PF21355_447_581	Z
CAB3980005.1_PF21355_471_593	A
XP_032234120.1_PF21355_497_620	A
NP_004286.2_PF21355_331_459	A
XP_058949393.1_PF21355_244_363	B
XP_068747389.1_PF21355_182_287	B
XP_068712619.1_PF21355_140_260	B
XP_022808982.1_PF21355_296_415	B
XP_022808981.1_PF21355_252_373	B
XP_022803426.1_PF21355_52_171	B
XP_058960440.1_PF21355_466_580	B
KAJ7377577.1_PF21355_38_160	B
CAH3173657.1_PF21355_204_328	B
CAH3016761.1_PF21355_248_370	B
XP_029185239.1_PF21355_264_386	B
XP_022790432.1_PF21355_383_507	B
XP_022790438.1_PF21355_345_468	B
XP_022790457.1_PF21355_160_282	B
CAH3106982.1_PF21355_249_372	B
CAH3027522.1_PF21355_394_516	B
XP_073229366.1_PF21355_364_484	B
CAB3996057.1_PF21355_26_153	B
KAJ7373533.1_PF21355_161_271	B
XP_068733418.1_PF21355_299_423	B
NP_004611.1_PF21355_373_496	B
NP_665802.1_PF21355_373_496	B
KAJ7385782.1_PF21355_369_496	C.1
XP_028412657.1_PF21355_624_749	C.1
XP_046847808.1_PF21355_173_304	C.1
XP_028391790.1_PF21355_299_416	C.1
XP_073231973.1_PF21355_6_96	C.1
CAH3130008.1_PF21355_300_416	C.1
XP_058961688.1_PF21355_299_421	C.1
XP_066027245.1_PF21355_165_287	C.1
XP_022787428.1_PF21355_343_471	C.1
CAH3044940.1_PF21355_310_438	C.1
CAH3044933.1_PF21355_408_500	C.1
XP_058947892.1_PF21355_385_499	C.1
CAH3044931.1_PF21355_258_386	C.1
XP_020612157.1_PF21355_303_430	C.1
KAJ7353873.1_PF21355_170_296	C.1
CAH3150018.1_PF21355_294_419	C.1
XP_068682703.1_PF21355_293_419	C.1
KAK2560982.1_PF21355_232_358	C.1
KAK2561117.1_PF21355_611_739	C.1
XP_068682706.1_PF21355_288_410	C.1
XP_022787424.1_PF21355_264_360	C.1
KAJ7387270.1_PF21355_343_467	C.2
KAK3746282.1_PF21355_1356_1478	C.2
KAJ7387269.1_PF21355_322_446	C.2
XP_020630883.1_PF21355_395_515	D
KAJ7369900.1_PF21355_1_111	D
XP_068689741.1_PF21355_446_563	D
XP_020913415.1_PF21355_211_330	D
KAK3745541.1_PF21355_251_369	D
KAJ7365563.1_PF21355_188_297	D
XP_068710891.1_PF21355_418_535	D
CAB4012135.1_PF21355_331_438	D
CAB3985560.1_PF21355_419_536	D
XP_028412015.1_PF21355_174_292	D
XP_028395366.1_PF21355_124_245	D
XP_046857468.1_PF21355_1_97	D
XP_046855646.1_PF21355_213_333	D
XP_015750036.1_PF21355_217_331	D
CAH3041494.1_PF21355_359_466	D
KAJ7372393.1_PF21355_3_92	D
KAK2566056.1_PF21355_48_138	D
KAJ7339334.1_PF21355_10_128	D
XP_022808102.1_PF21355_345_461	D
NP_005649.1_PF21355_289_409	D
NP_066961.2_PF21355_376_493	D
NP_004610.1_PF21355_426_546	D
NP_003291.2_PF21355_438_557	D
NP_663777.1_PF21355_438_557	D
KAJ7384289.1_PF21355_425_544	D
XP_001627337.3_PF21355_410_528	D
XP_031568439.1_PF21355_426_544	D
XP_001623792.1_PF21355_273_395	E
XP_001640457.1_PF21355_362_483	E
XP_001621245.2_PF21355_77_173	E
CAB4008195.1_PF21355_276_399	E
KAK2573853.1_PF21355_224_345	E.F
XP_028396300.1_PF21355_309_433	F.1
CAB3992966.1_PF21355_1_87	F.1
XP_046849153.1_PF21355_576_695	F
XP_028413539.1_PF21355_116_233	F
CAB3998202.1_PF21355_516_635	F
XP_031550171.1_PF21355_194_318	F
XP_031553804.1_PF21355_294_420	F
XP_031571408.1_PF21355_689_809	F
XP_032238393.2_PF21355_357_478	F
XP_020915692.1_PF21355_217_339	F
XP_020900636.1_PF21355_228_347	F
KAK3735478.1_PF21355_494_619	F
XP_020900894.1_PF21355_95_214	F
XP_020899977.1_PF21355_236_357	F
XP_020908007.1_PF21355_570_693	F
XP_020891995.1_PF21355_145_270	F
XP_020894946.1_PF21355_299_420	F
XP_031554759.1_PF21355_300_421	F
CAH3170498.1_PF21355_337_457	G
XP_073248781.1_PF21355_363_482	G
CAH3150048.1_PF21355_398_514	G
XP_068669883.1_PF21355_326_444	G
XP_046859713.1_PF21355_250_369	G
CAB4045342.1_PF21355_50_137	G
