protein accession	sequence accession	genome accession	contig accession	pass all	Leader().upstreamOfPfam('PF00081').betweenAA(-35, -15).is_SP(deeploc=True)	Pfam.matches('PF00081')	Pfam.matches('PF02777')	KO.matches('K04564', bound_cterm=True)	HMMAlignment('k04564.hmm').is_at('H', 61)	HMMAlignment('k04564.hmm').is_at('H', 106)	HMMAlignment('k04564.hmm').is_at('D', 187)	HMMAlignment('k04564.hmm').is_at('H', 191)	HMMAlignment('k04564.hmm').matches_regex('[QDK]', 196)	Leader.call('mTP')	Leader.call('SP')	Leader.localization	Leader.call('Cell membrane')	Leader.call('Cytoplasm')	Leader.call('Endoplasmic reticulum')	Leader.call('Extracellular')	Leader.call('Golgi apparatus')	Leader.call('Lipid anchor')	Leader.call('Lysosome/Vacuole')	Leader.call('Mitochondrion')	Leader.call('Nucleus')	Leader.call('Peripheral')	Leader.call('Peroxisome')	Leader.call('Plastid')	Leader.call('Soluble')	Leader.call('Transmembrane')
OLP79028.1	OLP79028.1_with_leader_u20_PF00081_M_to_K04564_1017	GCA_001939145.1	LSRX01001534.1	true	true	true	true	true	true	true	true	true	true	0	100	Extracellular|Lysosome/Vacuole	9	11	30	85	42	4	60	9	3	55	0	1	78	8
BGNK01003376.1_K04564_a3776c6c	BGNK01003376.1_K04564_a3776c6c_with_leader_u31_PF00081_M_to_K04564_198	GCA_003297005.1	BGNK01003376.1	false	false	true	true	true	true	true	true	true	true	0	0	Plastid	14	8	12	47	6	9	6	43	3	72	9	84	52	17
BGPT01000358.1_K04564_070be8c8	BGPT01000358.1_K04564_070be8c8_with_leader_u34_PF00081_M_to_K04564_203	GCA_003297045.1	BGPT01000358.1	false	false	true	true	true	true	true	true	true	true	0	0	Plastid	5	7	8	30	9	16	6	32	3	84	3	67	44	19
CAE7445615.1	CAE7445615.1_to_K04564_242	GCA_905221605.1	CAJNDS010002352.1	true	true	true	true	true	true	true	true	true	true	0	100	Extracellular	12	22	21	71	44	17	51	16	5	60	3	6	69	9
CAJNDS010002352.1_K04564_638e9d57	CAJNDS010002352.1_K04564_638e9d57_with_leader_u31_PF00081_M_to_K04564_176	GCA_905221605.1	CAJNDS010002352.1	false	false	true	true	true	true	true	true	true	true	0	0	Cytoplasm	5	29	5	37	3	9	4	13	25	37	7	31	69	17
CAL1167723.1	CAL1167723.1_with_leader_u21_PF00081_M_to_K04564_350	GCA_947184155.2	CAMXCT020006312.1	false	false	true	true	true	true	true	true	true	true	0	0	Plastid	9	30	3	54	9	4	14	23	9	52	11	71	77	8
CAMXCT020000001.1_K04564_24b48a7d	CAMXCT020000001.1_K04564_24b48a7d_with_leader_u26_PF00081_M_to_K04564_208	GCA_947184155.2	CAMXCT020000001.1	false	false	true	true	true	true	true	true	true	true	0	0	Plastid	7	13	2	45	9	4	12	43	21	62	7	49	67	14
CAK9047237.1	CAK9047237.1_with_leader_u27_PF00081_M_to_K04564_344	GCA_963969995.1	CAXAMM010020073.1	false	false	true	true	true	true	true	true	true	true	100	0	Mitochondrion	8	12	1	7	4	5	6	80	5	70	0	1	67	6
CAK9091470.1	CAK9091470.1_with_leader_u18_PF00081_M_to_K04564_868	GCA_963969995.1	CAXAMM010040162.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular|Mitochondrion	19	7	6	70	5	13	3	63	2	77	5	36	59	7
CAK9100252.1	CAK9100252.1_to_K04564_230	GCA_963969995.1	CAXAMM010041596.1	true	true	true	true	true	true	true	true	true	true	0	100	Extracellular	12	15	25	83	45	5	41	17	4	54	1	10	76	9
CAXAMM010020073.1_K04564_521e95f5	CAXAMM010020073.1_K04564_521e95f5_with_leader_u27_PF00081_M_to_K04564_197	GCA_963969995.1	CAXAMM010020073.1	false	false	true	true	true	true	true	true	true	true	100	0	Mitochondrion	8	13	1	7	4	4	6	78	5	67	0	1	67	7
CAXAMM010025685.1_K04564_b43539e3	CAXAMM010025685.1_K04564_b43539e3_with_leader_u30_PF00081_M_to_K04564_92	GCA_963969995.1	CAXAMM010025685.1	false	false	true	false	true	true	true	false	false	false	0	0	Extracellular	10	43	10	68	8	12	12	22	38	68	13	34	72	12
CAXAMM010040162.1_K04564_a70eaf5e	CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular|Mitochondrion	17	6	7	68	5	8	3	63	2	71	5	36	67	8
CAXAMM010040162.1_K04564_f9608fa6	CAXAMM010040162.1_K04564_f9608fa6_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular|Mitochondrion	17	6	7	68	5	8	3	63	2	71	5	36	67	8
