Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
DF239687.1_K04564_210fd9cb_with_leader_u55_PF00081_M_to_K04564_203,Golgi apparatus,,Peripheral,0.10540000349283218,0.03220000118017197,0.17589999735355377,0.07169999927282333,0.17520000040531158,0.1177000030875206,0.20340000092983246,0.19869999587535858,0.46639999747276306,0.0034000000450760126,0.7415000200271606,0.24269999563694,0.14149999618530273,0.3345000147819519
DF239687.1_K04564_210fd9cb_with_leader_u39_PF00081_M_to_K04564_203,Plastid,,Peripheral,0.07320000231266022,0.02070000022649765,0.16500000655651093,0.07649999856948853,0.22789999842643738,0.4323999881744385,0.15129999816417694,0.08489999920129776,0.16930000483989716,0.005799999926239252,0.8452000021934509,0.19359999895095825,0.21070000529289246,0.36890000104904175
DF239687.1_K04564_387475d1_with_leader_u55_PF00081_M_to_K04564_203,Golgi apparatus,,Peripheral,0.09849999845027924,0.033799998462200165,0.17560000717639923,0.06970000267028809,0.17820000648498535,0.12839999794960022,0.19509999454021454,0.18050000071525574,0.44609999656677246,0.003800000064074993,0.7533000111579895,0.2345000058412552,0.1404999941587448,0.33489999175071716
DF239687.1_K04564_387475d1_with_leader_u39_PF00081_M_to_K04564_203,Plastid,,Peripheral,0.07400000095367432,0.020999999716877937,0.17190000414848328,0.07760000228881836,0.2379000037908554,0.4230000078678131,0.12729999423027039,0.07450000196695328,0.15880000591278076,0.005400000140070915,0.8450999855995178,0.18979999423027039,0.19629999995231628,0.3783000111579895
DF239687.1_K04564_8557d9bb_with_leader_u55_PF00081_M_to_K04564_203,Golgi apparatus,,Peripheral,0.10019999742507935,0.03319999948143959,0.17759999632835388,0.07259999960660934,0.18529999256134033,0.1168999969959259,0.21250000596046448,0.20260000228881836,0.4587000012397766,0.003100000089034438,0.7384999990463257,0.23899999260902405,0.14830000698566437,0.3310999870300293
DF239687.1_K04564_8557d9bb_with_leader_u39_PF00081_M_to_K04564_203,Plastid,,Peripheral,0.07069999724626541,0.021900000050663948,0.15809999406337738,0.07479999959468842,0.2371000051498413,0.4052000045776367,0.14069999754428864,0.08889999985694885,0.16410000622272491,0.005799999926239252,0.8309999704360962,0.19280000030994415,0.21639999747276306,0.36550000309944153
LSRX01000795.1_K04564_1fcb6a32_with_leader_u60_PF00081_M_to_K04564_198,Golgi apparatus,,Peripheral,0.08869999647140503,0.030300000682473183,0.1476999968290329,0.09189999848604202,0.18000000715255737,0.1266999989748001,0.1882999986410141,0.16979999840259552,0.539900004863739,0.005100000184029341,0.6783000230789185,0.3197000026702881,0.17790000140666962,0.2782000005245209
LSRX01000795.1_K04564_1fcb6a32_with_leader_u36_PF00081_M_to_K04564_198,Plastid,,Peripheral,0.07880000025033951,0.023800000548362732,0.16699999570846558,0.0851999968290329,0.3582000136375427,0.6219000220298767,0.12880000472068787,0.06960000097751617,0.09719999879598618,0.0272000003606081,0.7473000288009644,0.225600004196167,0.24609999358654022,0.3449000120162964
OLP79028.1_with_leader_u63_PF00081_M_to_K04564_1017,Extracellular,Signal peptide,Soluble,0.12950000166893005,0.05119999870657921,0.7547000050544739,0.10409999638795853,0.10520000010728836,0.03139999881386757,0.38339999318122864,0.48890000581741333,0.3596999943256378,0.007300000172108412,0.5289999842643738,0.10760000348091125,0.053199999034404755,0.7653999924659729
OLP88777.1_with_leader_u60_PF00081_M_to_K04564_1935,Golgi apparatus,Signal peptide,Peripheral,0.08810000121593475,0.026499999687075615,0.18250000476837158,0.07959999889135361,0.16459999978542328,0.09210000187158585,0.21410000324249268,0.19030000269412994,0.5479000210762024,0.006200000178068876,0.7294999957084656,0.258899986743927,0.13189999759197235,0.29660001397132874
