protein accession	sequence accession	genome accession	contig accession	pass all	category	hmm model	highest domain score
MPSW01001707.1_K04564_7b9e297c	MPSW01001707.1_K04564_7b9e297c_with_leader_u26_PF00081_M	GCA_001896105.1	MPSW01001707.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	352.0
RDEB01000110.1_K04564_86e229fd	RDEB01000110.1_K04564_86e229fd_with_leader_u26_PF00081_M	GCA_006542545.1	RDEB01000110.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	329.1
BLAZ01000169.1_K04564_9f65b912	BLAZ01000169.1_K04564_9f65b912_with_leader_u27_PF00081_M	GCA_014633955.1	BLAZ01000169.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	322.4
BLEZ01003184.1_K04564_dc8bf6ad	BLEZ01003184.1_K04564_dc8bf6ad_with_leader_u27_PF00081_M	GCA_014633975.1	BLEZ01003184.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	329.4
BLFE01002088.1_K04564_10e43317	BLFE01002088.1_K04564_10e43317_with_leader_u27_PF00081_M	GCA_014634605.1	BLFE01002088.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	324.9
JAJLRJ010000007.1_K04564_fcb962ee	JAJLRJ010000007.1_K04564_fcb962ee_with_leader_u25_PF00081_M	GCA_024195265.1	JAJLRJ010000007.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	362.7
KAJ7371307.1	KAJ7371307.1	GCA_029204205.1	MU826849.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	379.4
KAJ7390115.1	KAJ7390115.1	GCA_029204205.1	MU825420.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	158.8
MU825420.1_K04564_3d91ab54	MU825420.1_K04564_3d91ab54_with_leader_u34_PF00081_M	GCA_029204205.1	MU825420.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	148.1
MU826849.1_K04564_291d850d	MU826849.1_K04564_291d850d_with_leader_u26_PF00081_M	GCA_029204205.1	MU826849.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	363.3
JARQWQ010000030.1_K04564_a7361c5a	JARQWQ010000030.1_K04564_a7361c5a_with_leader_u27_PF00081_M	GCA_032359415.1	JARQWQ010000030.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	325.4
KAK2562129.1	KAK2562129.1	GCA_032359415.1	JARQWQ010000030.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	166.9
KAK2562129.1	KAK2562129.1_with_leader_u27_PF00081_M	GCA_032359415.1	JARQWQ010000030.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	167.1
JAUJYZ010000740.1_K04564_87e6c451	JAUJYZ010000740.1_K04564_87e6c451_with_leader_u26_PF00081_anchor_M	GCA_033675265.1	JAUJYZ010000740.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	349.0
JAUJYZ010000745.1_K04564_47603ed6	JAUJYZ010000745.1_K04564_47603ed6_with_leader_u31_PF00081_M	GCA_033675265.1	JAUJYZ010000745.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	127.0
KAK3736516.1	KAK3736516.1	GCA_033675265.1	JAUJYZ010000745.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	141.1
KAK3736644.1	KAK3736644.1	GCA_033675265.1	JAUJYZ010000740.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	370.0
CM106374.1_K04564_529830d2	CM106374.1_K04564_529830d2_with_leader_u26_PF00081_M	GCA_047906015.2	CM106374.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	369.5
CM106378.1_K04564_64fa28d1	CM106378.1_K04564_64fa28d1_with_leader_u33_PF00081_M	GCA_047906015.2	CM106378.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	150.0
CAB3989857.1	CAB3989857.1	GCA_902702795.2	CACRXK020001562.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	117.6
CAB3994625.1	CAB3994625.1	GCA_902702795.2	CACRXK020002501.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	93.6
CACRXK020001562.1_K04564_ba438d0e	CACRXK020001562.1_K04564_ba438d0e_with_leader_u35_PF00081_M	GCA_902702795.2	CACRXK020001562.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	107.1
CACRXK020002501.1_K04564_f2b5b9d1	CACRXK020002501.1_K04564_f2b5b9d1_with_leader_u28_PF00081_M	GCA_902702795.2	CACRXK020002501.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	92.6
CAH3015114.1	CAH3015114.1_with_leader_u26_PF00081_M	GCA_942486025.1	CALNXI010000019.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	380.3
CAH3015114.1	CAH3015114.1_with_leader_u17_PF00081_M	GCA_942486025.1	CALNXI010000019.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	380.5
