Cluster Member	Cluster Repr
NP_001029082.1_PF00097_1_1	NP_001029082.1_PF00097_1_1
NP_001306136.1_PF00097_1_1	NP_001306136.1_PF00097_1_1
NP_004286.2_PF00097_1_1	NP_004286.2_PF00097_1_1
NP_004610.1_PF00097_1_1	NP_004610.1_PF00097_1_1
NP_004611.1_PF00097_1_1	NP_004611.1_PF00097_1_1
NP_066961.2_PF00097_1_1	NP_066961.2_PF00097_1_1
NP_665802.1_PF00097_1_1	NP_665802.1_PF00097_1_1
NP_665702.1_PF00097_1_1	NP_665702.1_PF00097_1_1
