transcript_id	locus_id	rank	score	raw_score	strand	transcript_length	locus_length	transcript_coverage	identity	gap_count	gap_bases	transcript_start	transcript_end	locus_start	locus_end
Oarb_139262_c0_g1_i2_155_985	XP_020604255.1_cds_ikba-like	1	61.55234657039711	1023.0	+	831	1107	0.9939831528279182	0.8523002421307506	3	7	0	831	0	828
Oarb_139262_c0_g1_i2_155_985	XP_020614015.1_cds_ikb-like-2	2	2.888086642599278	48.0	+	831	1143	0.05054151624548736	0.8571428571428571	1	2	373	417	412	454
Oarb_139262_c0_g1_i2_155_985	XP_020612557.1_cds_p105-like_fixed	3	2.7677496991576414	46.0	+	831	2432	0.16004813477737664	0.8195488721804511	13	48	379	533	1642	1802
Oarb_139262_c0_g1_i2_155_985	XP_020614060.1_cds-ikb_like-1	4	2.406738868832732	40.0	+	831	1296	0.10469314079422383	0.7586206896551724	5	9	738	830	918	1009
Oarb_148322_c2_g1_i6_2035_2799	XP_020614060.1_cds-ikb_like-1	1	57.51633986928105	880.0	+	765	1296	0.9790849673202614	0.8411214953271028	2	15	0	764	537	1286
Oarb_148322_c2_g1_i6_2035_2799	XP_020604255.1_cds_ikba-like	2	4.901960784313726	75.0	+	765	1107	0.1830065359477124	0.7642857142857142	7	12	381	527	735	881
Oarb_148322_c2_g1_i6_2035_2799	XP_020614015.1_cds_ikb-like-2	3	3.3333333333333335	51.0	+	765	1143	0.13202614379084968	0.7722772277227723	7	8	162	267	519	624
Oarb_148322_c2_g1_i6_2035_2799	XP_020612557.1_cds_p105-like_fixed	4	3.1372549019607843	48.0	+	765	2432	0.16209150326797386	0.75	7	17	477	608	2066	2200
Oarb_148322_c2_g1_i6_570_1049	XP_020614060.1_cds-ikb_like-1	1	46.145833333333336	443.0	+	480	1296	0.9604166666666667	0.824295010845987	10	34	0	469	0	487
Oarb_148322_c2_g1_i6_570_1049	XP_020604255.1_cds_ikba-like	2	3.0208333333333335	29.0	+	480	1107	0.05625	0.8888888888888888	2	2	410	438	243	271
Oarb_148322_c2_g1_i6_570_1049	XP_020612557.1_cds_p105-like_fixed	3	2.6041666666666665	25.0	-	480	2432	0.03125	0.9333333333333333	0	0	211	226	2318	2333
Oarb_148322_c2_g1_i6_570_1049	XP_020614015.1_cds_ikb-like-2	4	2.3958333333333335	23.0	+	480	1143	0.029166666666666667	0.9285714285714286	0	0	205	219	483	497
Oarb_104540_c2_g2_i4_620_54	XP_020614015.1_cds_ikb-like-2	1	66.04938271604938	749.0	+	567	1143	1.0	0.8641975308641975	0	0	0	567	573	1140
Oarb_104540_c2_g2_i4_620_54	XP_020614060.1_cds-ikb_like-1	2	2.821869488536155	32.0	+	567	1296	0.06349206349206349	0.7777777777777778	0	0	275	311	1016	1052
Oarb_104540_c2_g2_i4_620_54	XP_020604255.1_cds_ikba-like	3	2.380952380952381	27.0	+	567	1107	0.037037037037037035	0.8571428571428571	0	0	63	84	390	411
Oarb_104540_c2_g2_i4_620_54	XP_020612557.1_cds_p105-like_fixed	4	2.1164021164021163	24.0	+	567	2432	0.021164021164021163	1.0	0	0	129	141	629	641
Oarb_154257_c8_g1_i3_3525_778	XP_020612557.1_cds_p105-like_fixed	1	51.619359534206694	2837.0	+	2748	2432	0.8282387190684134	0.8690685413005272	17	157	0	2298	0	2411
Oarb_154257_c8_g1_i3_3525_778	XP_020614060.1_cds-ikb_like-1	2	0.8005822416302766	44.0	+	2748	1296	0.022561863173216887	0.7741935483870968	2	2	1929	1992	990	1053
Oarb_154257_c8_g1_i3_3525_778	XP_020604255.1_cds_ikba-like	3	0.7459970887918487	41.0	+	2748	1107	0.06477438136826782	0.7584269662921348	17	32	1947	2141	825	1019
Oarb_154257_c8_g1_i3_3525_778	XP_020614015.1_cds_ikb-like-2	4	0.5094614264919942	28.0	+	2748	1143	0.012008733624454149	0.8787878787878788	3	6	1533	1567	627	665
