threshold bitscore	tp	fp	tn	fn	sensitivity	specificity	balanced accuracy	selected
518.5	2	0	20	5	0.285714	1	0.642857	
510.5	3	0	20	4	0.428571	1	0.714286	
486.2	4	0	20	3	0.571429	1	0.785714	
483.2	5	0	20	2	0.714286	1	0.857143	
464.5	6	0	20	1	0.857143	1	0.928571	true
295.3	6	1	19	1	0.857143	0.95	0.903571	
260.4	6	2	18	1	0.857143	0.9	0.878571	
259.4	6	10	10	1	0.857143	0.5	0.678571	
257.5	7	10	10	0	1	0.5	0.75	
256.7	7	11	9	0	1	0.45	0.725	
256.4	7	12	8	0	1	0.4	0.7	
254.2	7	13	7	0	1	0.35	0.675	
240.1	7	15	5	0	1	0.25	0.625	
235.3	7	16	4	0	1	0.2	0.6	
179	7	17	3	0	1	0.15	0.575	
176.2	7	18	2	0	1	0.1	0.55	
98.9	7	19	1	0	1	0.05	0.525	
86.1	7	20	0	0	1	0	0.5	
# selected threshold bitscore 464.5
# false positives
# false negatives
# CAK9113185.1_with_leader_u35_PF00081_M 257.5
