protein accession	sequence accession	genome accession	contig accession	pass all	Leader().betweenAA(-30, 3).is_NES()	TFMotifs.has('GM.5.0.Rel', min_score_threshold=8).between(-1500, 500)	Leader.call('mTP')	Leader.call('SP')	Leader.call('NLS')	Leader.call('NES')	Leader.localization	Leader.call('Cell membrane')	Leader.call('Cytoplasm')	Leader.call('Endoplasmic reticulum')	Leader.call('Extracellular')	Leader.call('Golgi apparatus')	Leader.call('Lipid anchor')	Leader.call('Lysosome/Vacuole')	Leader.call('Mitochondrion')	Leader.call('Nucleus')	Leader.call('Peripheral')	Leader.call('Peroxisome')	Leader.call('Plastid')	Leader.call('Soluble')	Leader.call('Transmembrane')
KAJ7330771.1	KAJ7330771.1	GCA_029204205.1	MU827791.1	true	true	yes	0	0	0	100	Cytoplasm	17	86	8	1	13	19	13	9	47	39	2	1	91	3
KAJ7378236.1	KAJ7378236.1	GCA_029204205.1	MU826368.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	33	59	17	5	13	26	11	34	56	43	1	1	88	3
KAK2566508.1	KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1	false	false	yes	0	0	100	0	Nucleus	9	41	3	8	3	22	5	10	88	31	1	1	94	2
CAB4012946.1	CAB4012946.1	GCA_902702795.2	CACRXK020007693.1	false	false	yes	0	0	100	0	Nucleus	13	36	10	10	6	27	2	8	82	25	9	3	88	12
CAB4029555.1	CAB4029555.1	GCA_902702795.2	CACRXK020016248.1	error	error	yes																			
CAB4029555.1	CAB4029555.1_with_leader_u17_M	GCA_902702795.2	CACRXK020016248.1	error	error	yes																			
CAB4029556.1	CAB4029556.1	GCA_902702795.2	CACRXK020016248.1	false	false	yes	0	0	100	0	Nucleus	6	36	10	7	13	10	4	5	89	37	1	1	90	4
CAH3027367.1	CAH3027367.1	GCA_942486025.1	CALNXI010000448.1	false	false	yes	0	0	100	0	Nucleus	7	43	2	9	3	20	9	9	88	32	1	1	92	2
CAH3198638.1	CAH3198638.1	GCA_942486025.1	CALNXI010005773.1	true	true	yes	0	0	0	100	Nucleus	7	41	3	1	6	17	3	10	93	35	2	2	94	2
CAH3158544.1	CAH3158544.1	GCA_942486035.1	CALNXK010000111.1	false	false	yes	0	0	0	0	Nucleus	5	39	2	1	5	20	2	10	92	36	4	2	92	2
CAH3158546.1	CAH3158546.1	GCA_942486035.1	CALNXK010000111.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	8	48	4	5	8	23	7	8	91	36	1	1	93	2
CAH3146082.1	CAH3146082.1	GCA_942486045.1	CALNXJ010000041.1	false	false	yes	0	0	100	0	Nucleus	7	47	3	7	7	24	5	9	87	27	1	1	94	2
XP_001626962.2	XP_001626962.2	GCF_000209225.1	NW_001834203.1	false	false	yes	0	0	100	0	Nucleus	7	28	4	2	5	16	3	5	97	37	1	5	93	4
XP_032228503.1	XP_032228503.1	GCF_000209225.1	NW_001834132.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	21	82	8	3	28	18	23	8	51	45	1	0	90	3
XP_032230483.1	XP_032230483.1	GCF_000209225.1	NW_001834203.1	false	false	yes	0	0	100	0	Nucleus	9	37	5	2	5	24	3	9	87	31	1	1	94	2
XP_020901899.1	XP_020901899.1	GCF_001417965.1	NW_018385829.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	17	77	10	3	24	22	16	8	73	33	0	1	90	4
XP_020604255.1	XP_020604255.1	GCF_002042975.1	NW_018148839.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	17	83	7	2	14	19	14	10	52	36	3	1	91	3
XP_020614015.1	XP_020614015.1	GCF_002042975.1	NW_018149371.1	false	false	yes	0	0	100	0	Nucleus	7	36	4	5	4	22	4	7	93	27	1	2	95	2
XP_022798720.1	XP_022798720.1	GCF_002571385.2	NW_019218098.1	true	true	yes	0	0	0	100	Cytoplasm	14	79	15	3	22	19	17	17	48	41	5	1	87	7
XP_022798721.1	XP_022798721.1	GCF_002571385.2	NW_019218098.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	16	83	9	1	17	24	15	12	56	40	3	1	89	4
XP_022801432.1	XP_022801432.1	GCF_002571385.2	NW_019218178.1	false	false	yes	0	0	100	0	Nucleus	8	39	4	10	6	24	5	11	90	31	1	1	93	3
XP_027051378.1	XP_027051378.1	GCF_003704095.1	NW_020843386.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	8	48	3	7	8	27	6	9	87	29	1	1	93	3
XP_027051450.1	XP_027051450.1	GCF_003704095.1	NW_020843386.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	8	48	3	7	8	27	6	9	87	29	1	1	93	3
XP_027057621.1	XP_027057621.1	GCF_003704095.1	NW_020847384.1	true	true	yes	0	0	0	100	Cytoplasm	16	78	13	2	19	19	15	14	49	40	4	1	87	7
XP_029197502.1	XP_029197502.1	GCF_004143615.1	NW_021126503.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	16	85	7	1	15	18	22	9	51	40	2	1	91	2
XP_029214164.1	XP_029214164.1	GCF_004143615.1	NW_021127414.1	false	false	yes	0	0	100	0	Nucleus	9	41	3	7	3	21	5	11	89	30	1	1	94	3
XP_028396366.1	XP_028396366.1	GCF_004324835.1	NW_021163025.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	23	80	8	2	14	19	16	11	55	28	0	1	91	3
XP_028400144.1	XP_028400144.1	GCF_004324835.1	NW_021163011.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	12	50	14	14	13	22	3	13	56	31	3	2	83	19
XP_028400154.1	XP_028400154.1	GCF_004324835.1	NW_021163011.1	false	false	yes	0	0	100	0	Nucleus	7	39	6	8	6	11	2	8	91	26	1	1	92	4
XP_028404342.1	XP_028404342.1	GCF_004324835.1	NW_021163011.1	false	false	yes	0	0	100	0	Nucleus	3	22	5	3	3	7	2	6	95	28	7	1	89	6
XP_028404349.1	XP_028404349.1	GCF_004324835.1	NW_021163011.1	false	false	yes	0	0	100	0	Nucleus	3	23	5	3	3	7	2	6	95	28	7	1	89	6
XP_028407711.1	XP_028407711.1	GCF_004324835.1	NW_021163071.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	18	65	14	5	20	17	13	17	72	37	1	1	86	8
XP_031557780.1	XP_031557780.1	GCF_009602425.1	NW_022259836.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	16	80	3	1	16	12	12	7	65	33	1	1	90	4
XP_031566534.1	XP_031566534.1	GCF_009602425.1	NW_022261448.1	false	false	yes	0	0	100	0	Nucleus	11	25	2	3	4	23	2	7	92	27	1	2	95	2
XP_031569757.1	XP_031569757.1	GCF_009602425.1	NW_022261607.1	false	false	yes	0	0	100	0	Nucleus	4	38	4	2	6	12	3	4	94	33	4	2	94	2
XP_065056061.1	XP_065056061.1	GCF_013076305.1	NW_027019322.1	false	false	yes	0	0	100	0	Cytoplasm	46	56	11	4	13	21	16	22	46	55	1	0	90	2
XP_029197502.2	XP_029197502.2	GCF_013753865.1	NC_058078.1	true	true	yes	0	0	0	100	Cytoplasm	16	84	7	1	17	20	24	9	49	41	3	1	91	2
XP_029214164.2	XP_029214164.2	GCF_013753865.1	NC_058073.1	false	false	yes	0	0	100	0	Nucleus	9	41	3	8	3	22	5	11	89	29	1	1	94	3
XP_046852095.1	XP_046852095.1	GCF_021976095.1	NW_025813485.1	false	false	yes	0	0	100	0	Nucleus	4	29	7	1	5	7	5	6	94	30	5	0	91	4
XP_046853941.1	XP_046853941.1	GCF_021976095.1	NW_025813485.1	false	false	yes	0	0	100	0	Nucleus	9	34	6	11	14	13	3	6	88	34	1	2	92	2
XP_046853944.1	XP_046853944.1	GCF_021976095.1	NW_025813485.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	13	48	7	3	10	11	7	10	78	45	4	2	87	4
XP_058956196.1	XP_058956196.1	GCF_030620025.1	NW_026710180.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	8	48	4	7	7	25	6	9	88	28	1	1	93	3
XP_058957670.1	XP_058957670.1	GCF_030620025.1	NW_026710258.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	18	81	8	2	14	20	13	10	58	40	3	1	89	4
XP_067031528.1	XP_067031528.1	GCF_036669905.1	NC_090036.1	false	false	yes	0	0	100	0	Nucleus	9	42	3	8	3	20	6	11	88	32	1	1	93	3
XP_058956196.2	XP_058956196.2	GCF_036669915.1	NC_089317.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	7	49	4	7	8	29	6	10	86	26	1	1	93	3
XP_058957670.2	XP_058957670.2	GCF_036669915.1	NC_089318.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	19	82	8	2	15	20	15	10	56	40	2	1	88	4
XP_068731937.1	XP_068731937.1	GCF_036669925.1	NC_090895.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	10	48	4	7	5	26	7	10	85	35	1	1	94	2
XP_068731938.1	XP_068731938.1	GCF_036669925.1	NC_090895.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	10	48	4	7	5	26	7	10	85	36	1	1	93	2
XP_068731939.1	XP_068731939.1	GCF_036669925.1	NC_090895.1	false	false	yes	0	0	100	0	Nucleus	9	44	4	6	5	27	6	10	87	32	0	0	93	3
XP_068682682.1	XP_068682682.1	GCF_036669935.1	NC_090880.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	20	83	5	2	14	20	16	9	55	37	2	1	89	4
XP_068687143.1	XP_068687143.1	GCF_036669935.1	NC_090881.1	true	true	yes	0	0	100	100	Nucleus	7	35	7	1	4	17	3	15	94	40	1	2	91	3
XP_068687145.1	XP_068687145.1	GCF_036669935.1	NC_090881.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	10	48	4	7	5	25	8	10	85	37	1	1	93	2
XP_068687146.1	XP_068687146.1	GCF_036669935.1	NC_090881.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	10	48	4	7	5	25	7	10	85	37	1	1	93	2
XP_068687147.1	XP_068687147.1	GCF_036669935.1	NC_090881.1	false	false	yes	0	0	100	0	Nucleus	9	44	4	7	5	26	7	10	88	34	0	1	93	3
XP_032228503.2	XP_032228503.2	GCF_932526225.1	NC_064040.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	21	82	8	3	28	18	23	8	51	45	1	0	90	3
XP_032230483.2	XP_032230483.2	GCF_932526225.1	NC_064042.1	false	false	yes	0	0	100	0	Nucleus	9	37	4	2	4	24	3	9	88	31	1	2	94	2
XP_073248334.1	XP_073248334.1	GCF_958299795.1	NC_133207.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	16	80	6	2	15	21	11	10	54	40	4	1	91	3
XP_073256375.1	XP_073256375.1	GCF_958299795.1	NC_133210.1	true	true	yes	0	0	100	100	Nucleus	5	37	3	1	4	12	2	11	94	32	3	2	93	3
XP_073256376.1	XP_073256376.1	GCF_958299795.1	NC_133210.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	7	53	3	6	11	30	7	9	86	34	1	1	94	2
KAK3739735.1	KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1	error	error	yes																			
XP_020614060.1	XP_020614060.1	GCF_002042975.1	NW_018149371.1	false	false	yes	0	0	100	0	Nucleus	6	33	3	1	3	11	3	12	94	40	1	1	91	3
XP_029214161.1	XP_029214161.1	GCF_004143615.1	NW_021127414.1	false	false	yes	0	0	100	0	Nucleus	7	38	5	1	7	12	4	10	92	33	3	3	90	3
XP_029214161.2	XP_029214161.2	GCF_013753865.1	NC_058073.1	false	false	yes	0	0	100	0	Nucleus	7	37	5	1	7	12	4	10	92	33	3	3	90	4
XP_068687149.1	XP_068687149.1	GCF_036669935.1	NC_090881.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	12	76	7	10	24	20	12	20	54	34	2	1	87	12
KAK2566512.1	KAK2566512.1	GCA_032359415.1	JARQWQ010000016.1	false	false	yes	0	0	100	0	Nucleus	6	38	5	2	7	12	3	10	93	33	2	3	90	4
KAK2567480.1	KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	14	84	7	2	15	29	23	7	57	31	3	1	91	4
CAB3997549.1	CAB3997549.1	GCA_902702795.2	CACRXK020003126.1	false	false	yes	0	0	100	0	Nucleus	4	22	4	2	3	13	3	6	94	28	3	1	91	4
CAB4007512.1	CAB4007512.1	GCA_902702795.2	CACRXK020005816.1	false	false	yes	0	0	100	0	Nucleus	10	33	9	8	5	24	2	7	83	24	7	1	89	11
CAH3028528.1	CAH3028528.1	GCA_942486025.1	CALNXI010000517.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	16	77	7	3	14	27	11	11	52	43	4	1	90	3
CAH3148052.1	CAH3148052.1	GCA_942486025.1	CALNXI010000943.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	13	76	9	3	16	19	12	13	53	40	7	1	86	7
CAH3197536.1	CAH3197536.1	GCA_942486025.1	CALNXI010005345.1	true	true	yes	0	0	0	100	Nucleus	7	43	3	1	8	15	3	11	91	34	3	3	94	2
CAH3116438.1	CAH3116438.1	GCA_942486035.1	CALNXK010000029.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	14	77	7	3	15	17	11	11	51	41	8	1	88	6
CAH3140492.1	CAH3140492.1	GCA_942486045.1	CALNXJ010000034.1	error	error	yes																			
CAH3140492.1	CAH3140492.1_with_leader_3_M	GCA_942486045.1	CALNXJ010000034.1	error	error	yes																			
XP_032230484.1	XP_032230484.1	GCF_000209225.1	NW_001834203.1	false	false	yes	0	0	100	0	Nucleus	9	38	5	2	5	24	3	9	87	31	1	1	94	2
XP_020903771.1	XP_020903771.1	GCF_001417965.1	NW_018384245.1	false	false	yes	0	0	100	0	Nucleus	5	33	2	5	8	24	2	8	93	27	1	2	94	2
XP_020904317.1	XP_020904317.1	GCF_001417965.1	NW_018384245.1	false	false	yes	0	0	100	0	Nucleus	4	29	5	3	5	7	4	6	95	25	3	1	91	5
XP_020604254.1	XP_020604254.1	GCF_002042975.1	NW_018148839.1	true	true	yes	0	0	0	100	Cytoplasm	16	77	11	4	19	19	17	16	44	40	5	0	85	7
XP_022801431.1	XP_022801431.1	GCF_002571385.2	NW_019218178.1	true	true	yes	0	0	0	100	Nucleus	8	44	6	1	6	17	4	14	90	42	2	2	91	2
XP_022801433.1	XP_022801433.1	GCF_002571385.2	NW_019218178.1	false	false	yes	0	0	100	0	Nucleus	8	39	4	10	6	24	5	11	90	31	1	1	93	3
XP_027052644.1	XP_027052644.1	GCF_003704095.1	NW_020843386.1	false	false	yes	0	0	100	0	Nucleus	7	40	3	1	4	13	3	11	90	39	1	2	91	2
XP_027057623.1	XP_027057623.1	GCF_003704095.1	NW_020847384.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	18	83	9	2	16	20	14	9	57	40	2	1	89	4
XP_028400134.1	XP_028400134.1	GCF_004324835.1	NW_021163011.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	14	52	13	13	13	23	3	12	58	32	4	3	82	20
XP_046852093.1	XP_046852093.1	GCF_021976095.1	NW_025813485.1	false	false	yes	0	0	100	0	Nucleus	4	29	7	1	5	7	5	6	94	30	5	0	91	4
XP_046852094.1	XP_046852094.1	GCF_021976095.1	NW_025813485.1	false	false	yes	0	0	100	0	Nucleus	4	29	7	1	5	7	5	6	94	30	5	0	91	4
XP_046853942.1	XP_046853942.1	GCF_021976095.1	NW_025813485.1	false	false	yes	0	0	100	0	Nucleus	9	31	8	11	13	12	3	7	89	32	1	2	93	2
XP_046853943.1	XP_046853943.1	GCF_021976095.1	NW_025813485.1	false	false	yes	0	0	100	0	Cytoplasm|Nucleus	13	48	7	3	10	11	7	10	78	45	4	2	87	4
XP_058956197.1	XP_058956197.1	GCF_030620025.1	NW_026710180.1	false	false	yes	0	0	100	0	Nucleus	7	42	3	1	4	13	3	11	90	40	1	1	91	2
XP_058957669.1	XP_058957669.1	GCF_030620025.1	NW_026710258.1	true	true	yes	0	0	0	100	Cytoplasm	16	76	15	3	19	19	14	17	47	39	5	1	87	8
XP_067031383.1	XP_067031383.1	GCF_036669905.1	NC_090037.1	true	true	yes	0	0	0	100	Cytoplasm	16	84	7	1	17	20	24	9	49	42	2	1	91	2
XP_067039091.1	XP_067039091.1	GCF_036669905.1	NC_090036.1	false	false	yes	0	0	100	0	Nucleus	7	39	5	1	7	12	4	10	92	34	3	3	89	4
XP_058957669.2	XP_058957669.2	GCF_036669915.1	NC_089318.1	true	true	yes	0	0	0	100	Cytoplasm	17	77	15	3	19	19	16	16	46	40	4	1	87	8
XP_068728611.1	XP_068728611.1	GCF_036669925.1	NC_090894.1	true	true	yes	0	0	0	100	Cytoplasm	20	81	6	2	15	25	17	11	48	46	2	1	88	4
XP_068728612.1	XP_068728612.1	GCF_036669925.1	NC_090894.1	true	true	yes	0	0	0	100	Cytoplasm|Nucleus	20	83	5	2	14	20	16	9	55	37	2	1	89	4
XP_068733763.1	XP_068733763.1	GCF_036669925.1	NC_090895.1	true	true	yes	0	0	100	100	Nucleus	7	37	7	1	4	17	3	16	94	40	1	2	91	3
XP_068682681.1	XP_068682681.1	GCF_036669935.1	NC_090880.1	true	true	yes	0	0	0	100	Cytoplasm	20	81	6	2	15	25	17	11	48	46	2	1	88	4
XP_073248332.1	XP_073248332.1	GCF_958299795.1	NC_133207.1	true	true	yes	0	0	0	100	Cytoplasm	16	75	8	3	15	26	12	13	50	46	3	1	90	3
