transcript	host	deeploc	leader_class	fingerprint_metal	nearest_ref	nearest_ref_metal	phylo_group
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1	orbicella	Extracellular	symbiont_transcript	Mn	Chlamydomonas_reinha	Mn	A_secreted
pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1	pseudodiploria	Extracellular	symbiont_transcript	Mn	Chlamydomonas_reinha	Mn	A_secreted
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1	siderastrea	Extracellular	symbiont_transcript	Mn	Chlamydomonas_reinha	Mn	A_secreted
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1	orbicella	Plastid	symbiont_transcript	Mn	Phaeodactylum_tricor	Fe	B_stramenopile
orbicella_symb_TRINITY_DN78611_c0_g1_i1.p1	orbicella	Unassigned	symbiont_transcript	Mn	Phaeodactylum_tricor	Fe	B_stramenopile
orbicella_symb_TRINITY_DN188752_c0_g3_i1.p1	orbicella	Unassigned	symbiont_transcript	Mn	Phaeodactylum_tricor	Fe	B_stramenopile
orbicella_symb_TRINITY_DN188752_c0_g3_i4.p1	orbicella	Unassigned	symbiont_transcript	Mn	Phaeodactylum_tricor	Fe	B_stramenopile
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i2.p1	pseudodiploria	Plastid	symbiont_transcript	Mn	Phaeodactylum_tricor	Fe	B_stramenopile
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i4.p1	pseudodiploria	Plastid	symbiont_transcript	Mn	Phaeodactylum_tricor	Fe	B_stramenopile
siderastrea_symb_TRINITY_DN405006_c0_g1_i1.p1	siderastrea	Plastid	symbiont_transcript	Mn	Phaeodactylum_tricor	Fe	B_stramenopile
siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1	siderastrea	Plastid	symbiont_transcript	Mn	Phaeodactylum_tricor	Fe	B_stramenopile
