Target Name	Type
BLAZ01000379.1_IkBa-like_cnidaria_1b49cc6e	IkBa-like
BLAZ01000634.1_p105-like_cnidaria_42ec6be3	p105-like
BLAZ01001464.1_IkB-like-1_cnidaria_06ab4a1a	IkB-like-1
BLAZ01001464.1_IkB-like-2_cnidaria_5d8c002b	IkB-like-2
BLEZ01000629.1_IkB-like-1_cnidaria_8b3c2817	IkB-like-1
BLEZ01000629.1_IkB-like-2_cnidaria_18137cb1	IkB-like-2
BLEZ01000773.1_p105-like_cnidaria_c43d54bd	p105-like
BLEZ01003045.1_IkBa-like_cnidaria_329fafde	IkBa-like
BLFE01000447.1_IkBa-like_cnidaria_3c802b24	IkBa-like
BLFE01004004.1_IkB-like-1_cnidaria_e734a82f	IkB-like-1
BLFE01004004.1_IkB-like-2_cnidaria_dccf6786	IkB-like-2
BLFE01006569.1_p105-like_cnidaria_aa59d0aa	p105-like
CALNXI010000448.1_IkB-like-2_cnidaria_245bbc15	IkB-like-2
CALNXI010000468.1_p105-like_cnidaria_7a15f2df	p105-like
CALNXI010000517.1_IkBa-like_cnidaria_1dfdcee6	IkBa-like
CALNXI010000943.1_IkBa-like_cnidaria_6d75a25b	IkBa-like
CALNXI010002241.1_p50-like_cnidaria_0d36f76f	p50-like
CALNXI010005345.1_IkB-like-1_cnidaria_96e8edbb	IkB-like-1
CALNXI010005773.1_IkB-like-1_cnidaria_ecb61d03	IkB-like-1
CALNXJ010000016.1_p105-like_cnidaria_b4389a93	p105-like
CALNXJ010000034.1_IkBa-like_cnidaria_878c9e9b	IkBa-like
CALNXJ010000041.1_IkB-like-1_cnidaria_82c935ee	IkB-like-1
CALNXJ010000041.1_IkB-like-2_cnidaria_2dc6351b	IkB-like-2
CALNXK010000029.1_IkBa-like_cnidaria_000fcb94	IkBa-like
CALNXK010000057.1_p50-like_cnidaria_3a1579f8	p50-like
CALNXK010000057.1_p105-like_cnidaria_83818a9e	p105-like
CALNXK010000111.1_IkB-like-1_cnidaria_31acfd24	IkB-like-1
CALNXK010000111.1_IkB-like-2_cnidaria_0a6d509a	IkB-like-2
CALNXK010000483.1_p50-like_cnidaria_5acf93e1	p50-like
CALNXK010000483.1_p105-like_cnidaria_4a5ce231	p105-like
CDRNSK010000150.1_p105-like_cnidaria_c3a4b3b9	p105-like
CDRNSK010000247.1_IkBa-like_cnidaria_2f11850d	IkBa-like
CDRNSK010000283.1_IkB-like-1_cnidaria_15b94c4d	IkB-like-1
CDRNSK010000283.1_IkB-like-2_cnidaria_d33dc3b5	IkB-like-2
CM106371.1_p105-like_cnidaria_95385fb0	p105-like
CM106374.1_p50-like_cnidaria_6d67eef2	p50-like
CM106375.1_IkB-like-1_cnidaria_0299e008	IkB-like-1
CM106375.1_IkB-like-2_cnidaria_ea12d5a8	IkB-like-2
CM106380.1_IkBa-like_cnidaria_24f05bac	IkBa-like
JAJLRJ010000002.1_p105-like_cnidaria_1c165c91	p105-like
JAJLRJ010000006.1_IkBa-like_cnidaria_aa03cc56	IkBa-like
JAJLRJ010000010.1_IkB-like-1_cnidaria_020397ab	IkB-like-1
JAJLRJ010000010.1_IkB-like-2_cnidaria_81a9d766	IkB-like-2
JARQWQ010000012.1_p105-like_cnidaria_21f51161	p105-like
JARQWQ010000014.1_IkBa-like_cnidaria_e28662fe	IkBa-like
JARQWQ010000016.1_IkB-like-1_cnidaria_834ad0d4	IkB-like-1
JARQWQ010000016.1_IkB-like-2_cnidaria_5e4c433c	IkB-like-2
MPSW01000736.1_IkB-like-1_cnidaria_bf644ce3	IkB-like-1
MPSW01000736.1_IkB-like-2_cnidaria_761741cd	IkB-like-2
MPSW01003764.1_p105-like_cnidaria_566e8a75	p105-like
MPSW01005782.1_IkBa-like_cnidaria_f49cce87	IkBa-like
MU826351.1_p105-like_cnidaria_8da2a243	p105-like
MU826368.1_IkB-like-1_cnidaria_0f375998	IkB-like-1
MU826368.1_IkB-like-1_cnidaria_792e5aa3	IkB-like-1
