target name	accession	tlen	query name	accession	qlen	seq e-value	seq score	seq bias	dom #	dom total	dom c-Evalue	dom i-Evalue	dom score	dom bias	hmm from	hmm to	ali from	ali to	env from	env to	acc	description
p105-like_cnidaria	-	910	orbicella_host_TRINITY_DN189929_c2_g1_i5.p1	-	134	3.30E-93	301.3	0.2	1	1	1.50E-93	3.70E-93	301.2	0.2	233	366	1	134	1	134	1	-
p105-like_cnidaria	-	910	pseudodiploria_host_TRINITY_DN200187_c2_g4_i1.p1	-	140	2.20E-75	242.3	0.2	1	1	1.00E-75	2.60E-75	242.1	0.2	218	330	1	113	1	123	0.98	-
p105-like_cnidaria	-	910	siderastrea_host_TRINITY_DN450483_c1_g1_i4.p1	-	301	2.50E-196	642.5	0.1	1	1	1.10E-196	2.80E-196	642.4	0.1	1	302	1	301	1	301	1	-
p105-like_cnidaria	-	910	siderastrea_host_TRINITY_DN450483_c1_g1_i5.p1	-	300	1.00E-194	637.2	0.4	1	1	4.60E-195	1.10E-194	637.1	0.4	1	302	1	300	1	300	0.99	-
p105-like_cnidaria	-	910	a_tenuis_TRINITY_DN17808_c1_g1_i1.p1	-	391	5.90E-250	820	0.4	1	1	2.60E-250	6.60E-250	819.8	0.4	51	440	1	389	1	390	1	-
IkB-like-1_cnidaria	-	442	pseudodiploria_host_TRINITY_DN178043_c0_g1_i6.p1	-	169	2.20E-102	331.8	5.6	1	1	2.00E-102	2.50E-102	331.6	5.6	184	341	1	158	1	159	1	-
p105-like_cnidaria	-	910	orbicella_host_TRINITY_DN220613_c2_g1_i3.p1	-	265	5.40E-164	535.6	0.2	1	1	2.40E-164	5.90E-164	535.4	0.2	1	262	1	261	1	264	0.99	-
IkB-like-1_cnidaria	-	442	siderastrea_host_TRINITY_DN444826_c1_g4_i3.p2	-	129	9.30E-82	263.8	2.6	1	1	8.20E-82	1.00E-81	263.6	2.6	232	360	1	129	1	129	0.99	-
IkB-like-1_cnidaria	-	442	pseudodiploria_host_TRINITY_DN178043_c0_g1_i1.p1	-	247	3.80E-141	459.5	7	1	1	3.50E-141	4.30E-141	459.3	7	184	408	1	225	1	242	0.96	-
p50-like_cnidaria	-	438	orbicella_host_TRINITY_DN189929_c2_g1_i5.p1	-	134	1.10E-84	273	0	1	1	5.00E-85	1.20E-84	272.8	0	232	365	1	134	1	134	1	-
IkB-like-1_cnidaria	-	442	orbicella_host_TRINITY_DN213606_c2_g3_i5.p1	-	157	5.20E-82	264.6	5.3	1	1	4.80E-82	6.00E-82	264.4	5.3	212	341	1	130	1	131	1	-
IkB-like-1_cnidaria	-	442	a_tenuis_TRINITY_DN25922_c0_g1_i2.p1	-	114	1.30E-69	223.7	0.6	1	1	1.20E-69	1.50E-69	223.6	0.6	232	341	1	110	1	113	0.99	-
p105-like_cnidaria	-	910	pseudodiploria_host_TRINITY_DN200187_c2_g4_i4.p1	-	432	1.60E-259	851.7	0.2	1	1	7.80E-260	1.90E-259	851.4	0.2	22	441	1	419	1	423	0.97	-
p105-like_cnidaria	-	910	Oarb_96189_c0_g1_i1.p1	-	229	1.10E-142	465.1	7.2	1	1	9.70E-143	1.20E-142	464.9	7.2	480	708	1	229	1	229	1	-
p105-like_cnidaria	-	910	pseudodiploria_host_TRINITY_DN200187_c2_g4_i2.p1	-	219	2.30E-133	434.2	1.5	1	1	9.90E-134	2.50E-133	434.1	1.5	79	298	1	215	1	218	0.99	-
IkB-like-1_cnidaria	-	442	a_tenuis_TRINITY_DN25922_c0_g1_i1.p1	-	179	5.50E-104	337	1.6	1	1	5.20E-104	6.50E-104	336.8	1.6	168	341	9	175	2	178	0.97	-
p105-like_cnidaria	-	910	pseudodiploria_host_TRINITY_DN200187_c2_g4_i3.p1	-	653	0	1312.3	0.2	1	1	0	0	1312.2	0.2	22	675	1	653	1	653	0.97	-
p105-like_cnidaria	-	910	Oarb_154257_c8_g1_i1.p1	-	240	6.20E-148	482.4	0.5	1	1	2.80E-148	7.00E-148	482.2	0.5	95	335	1	240	1	240	1	-
IkB-like-2_cnidaria	-	383	siderastrea_host_TRINITY_DN442751_c0_g3_i5.p1	-	269	1.60E-149	486.6	4.3	1	1	1.60E-149	1.90E-149	486.3	4.3	125	368	4	246	1	251	0.98	-
IkB-like-2_cnidaria	-	383	pseudodiploria_host_TRINITY_DN187230_c1_g2_i2.p1	-	109	2.70E-67	215.9	1.6	1	1	2.40E-67	3.00E-67	215.8	1.6	126	233	2	109	1	109	0.99	-
p105-like_cnidaria	-	910	a_tenuis_TRINITY_DN42964_c0_g1_i1.p1	-	164	3.00E-99	321.3	2.1	1	1	2.60E-99	3.30E-99	321.2	2.1	464	624	4	164	1	164	0.99	-
