target name	accession	tlen	query name	accession	qlen	seq e-value	seq score	seq bias	dom #	dom total	dom c-Evalue	dom i-Evalue	dom score	dom bias	hmm from	hmm to	ali from	ali to	env from	env to	acc	description
CAH3154858.1_to_K04564_223_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	2.3e-117	382.5	0.4	1	1	2.5e-117	2.5e-117	382.4	0.4	1	187	1	187	1	187	1.00	-
XP_058961470.1_to_K04564_223_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	2.3e-117	382.5	0.4	1	1	2.5e-117	2.5e-117	382.4	0.4	1	187	1	187	1	187	1.00	-
pseudodiploria_host_TRINITY_DN196811_c4_g3_i7.p1_bounded_37-223|pseudodiploria_clivosa|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	2.4e-117	382.4	0.6	1	1	2.7e-117	2.7e-117	382.3	0.6	1	187	1	187	1	187	1.00	-
pseudodiploria_host_TRINITY_DN196811_c4_g3_i7.p1_with_leader_u26_PF00081_M_bounded_29-215|pseudodiploria_clivosa|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	2.4e-117	382.4	0.6	1	1	2.7e-117	2.7e-117	382.3	0.6	1	187	1	187	1	187	1.00	-
CAH3121122.1_to_K04564_223_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	3.5e-117	381.9	0.5	1	1	3.9e-117	3.9e-117	381.7	0.5	1	187	1	187	1	187	1.00	-
CAH3121122.1_with_leader_u17_PF00081_M_to_K04564_223_bounded_20-206|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	3.5e-117	381.9	0.5	1	1	3.9e-117	3.9e-117	381.7	0.5	1	187	1	187	1	187	1.00	-
CAH3015114.1_with_leader_u17_PF00081_M_to_K04564_259_bounded_20-206|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	5e-117	381.4	0.5	1	1	5.6e-117	5.6e-117	381.2	0.5	1	187	1	187	1	187	1.00	-
CAH3015114.1_with_leader_u26_PF00081_M_to_K04564_259_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	5e-117	381.4	0.5	1	1	5.6e-117	5.6e-117	381.2	0.5	1	187	1	187	1	187	1.00	-
XP_073236307.1_to_K04564_223_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	7.9e-117	380.8	0.4	1	1	8.8e-117	8.8e-117	380.6	0.4	1	187	1	187	1	187	1.00	-
XP_073236307.1_with_leader_u17_PF00081_M_to_K04564_223_bounded_20-206|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	7.9e-117	380.8	0.4	1	1	8.8e-117	8.8e-117	380.6	0.4	1	187	1	187	1	187	1.00	-
orbicella_host_TRINITY_DN215728_c1_g2_i1.p1_with_leader_u26_PF00081_M_bounded_29-215|orbicella_faveolata|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	8.4e-117	380.7	0.7	1	1	9.4e-117	9.4e-117	380.5	0.7	1	187	1	187	1	187	1.00	-
KAJ7371307.1_to_K04564_223_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	9.3e-117	380.5	0.6	1	1	1e-116	1e-116	380.4	0.6	1	187	1	187	1	187	1.00	-
XP_020624989.1_to_K04564_224_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	1.8e-116	379.6	0.9	1	1	2e-116	2e-116	379.4	0.9	1	187	1	187	1	187	1.00	-
XP_022799031.1_to_K04564_223_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	3.4e-116	378.7	0.3	1	1	3.7e-116	3.7e-116	378.6	0.3	1	187	1	187	1	187	1.00	-
XP_022799031.1_with_leader_u25_PF00081_M_to_K04564_223_bounded_28-214|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	3.4e-116	378.7	0.3	1	1	3.7e-116	3.7e-116	378.6	0.3	1	187	1	187	1	187	1.00	-
siderastrea_host_TRINITY_DN434783_c2_g2_i2.p1_bounded_35-221|siderastrea_radians|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	3.5e-116	378.7	0.6	1	1	3.9e-116	3.9e-116	378.5	0.6	1	187	1	187	1	187	1.00	-
