detection_type	detection_method	batch	query_accession	query_database	query_type	target_accession	target_database	target_type	target_model	query_start	query_end	target_start	target_end	evalue	bitscore	bitscore_threshold	custom_metric_name	custom_metric_value
sequence	hmm	20260917_cb95902e	MPSW01000736.1_IkB-like-1_cnidaria_3ae602e1	GCA_001896105.1	protein	IkB-like-1_cnidaria	sieve_nfkb_ikb	protein		1	413	1	413	6.1e-122	491.5	400.0	evalue-rank	1.0
sequence	hmm	20260917_cb95902e	MPSW01000736.1_IkB-like-1_cnidaria_ebcfe0bf	GCA_001896105.1	protein	IkB-like-2_cnidaria	sieve_nfkb_ikb	protein		1	200	153	353	4.9e-104	336.5	300.0	evalue-rank	1.0
sequence	hmm	20260917_cb95902e	MPSW01000736.1_IkB-like-2_cnidaria_21607528	GCA_001896105.1	protein	IkB-like-2_cnidaria	sieve_nfkb_ikb	protein		2	361	5	369	2.1e-159	518.8	300.0	evalue-rank	1.0
sequence	hmm	20260917_cb95902e	MPSW01000736.1_IkB-like-2_cnidaria_2fe987a0	GCA_001896105.1	protein	IkB-like-2_cnidaria	sieve_nfkb_ikb	protein		2	360	6	369	3.4e-159	518.1	300.0	evalue-rank	1.0
sequence	hmm	20260917_cb95902e	MPSW01000736.1_IkB-like-2_cnidaria_bd81bf55	GCA_001896105.1	protein	IkB-like-2_cnidaria	sieve_nfkb_ikb	protein		1	212	153	369	6.4e-103	332.9	300.0	evalue-rank	1.0
sequence	hmm	20260917_cb95902e	MPSW01000736.1_IkBa-like_cnidaria_2f0611d9	GCA_001896105.1	protein	IkB-like-2_cnidaria	sieve_nfkb_ikb	protein		2	213	153	369	1e-102	332.2	300.0	evalue-rank	1.0
sequence	hmm	20260917_cb95902e	MPSW01000736.1_IkBa-like_cnidaria_b146e8a9	GCA_001896105.1	protein	IkB-like-2_cnidaria	sieve_nfkb_ikb	protein		1	224	153	369	1.6e-127	413.9	300.0	evalue-rank	1.0
sequence	hmm	20260917_cb95902e	MPSW01000736.1_p105-like_cnidaria_09ee70cc	GCA_001896105.1	protein	IkB-like-2_cnidaria	sieve_nfkb_ikb	protein		2	205	153	361	6.1e-100	323.0	300.0	evalue-rank	1.0
sequence	hmm	20260917_cb95902e	MPSW01003764.1_p105-like_cnidaria_566e8a75	GCA_001896105.1	protein	p105-like_cnidaria	sieve_nfkb_ikb	protein		1	914	1	910	4.6e-244	1443.8000000000002	500.0	evalue-rank	1.0
sequence	hmm	20260917_cb95902e	MPSW01003764.1_p105-like_cnidaria_c91785a4	GCA_001896105.1	protein	p105-like_cnidaria	sieve_nfkb_ikb	protein		2	478	439	910	2.6e-136	645.8	500.0	evalue-rank	1.0
