protein_accession	genome	compartment	KO	evalue	bitscore	bitscore_threshold	query_start	query_end	target_start	target_end	prot_len	leader_len	met_start	has_leader	KO_name
OLP90119.1	GCA_001939145.1	ER	K08054	1.60E-178	595.9	374.1	903	1399	67	561	1417	902	True	True	CANX; calnexin
CAE7319963.1	GCA_905221605.1	ER	K09580	1.10E-141	474.5	523.3	108	587	115	579	597	107	True	True	PDIA1, P4HB; protein disulfide-isomerase A1 [EC:5.3.4.1]
CAE7214199.1	GCA_905231915.1	ER	K08054	3.10E-178	594.9	374.1	23	514	69	563	530	22	True	True	CANX; calnexin
CAE8589763.1	GCA_905237085.1	ER	K08054	2.50E-176	588.6	374.1	15	507	44	545	847	14	True	False	CANX; calnexin
CAE8625947.1	GCA_905237085.1	ER	K08054	2.30E-180	601.9	374.1	13	541	42	562	561	12	True	False	CANX; calnexin
CAL1150024.1	GCA_947184155.2	ER	K08054	7.50E-159	530.9	374.1	933	1583	44	584	2047	932	True	True	CANX; calnexin
CAL1161436.1	GCA_947184155.2	ER	K08054	3.00E-171	571.9	374.1	939	1451	44	554	1467	938	True	True	CANX; calnexin
OLP77944.1	GCA_001939145.1	cytosol	K02997	2.60E-103	346.5	172.63	6	206	27	225	769	5	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
OLP77946.1	GCA_001939145.1	cytosol	K02997	1.40E-101	340.8	172.63	778	970	21	211	971	777	True	True	RP-S9e, RPS9; small subunit ribosomal protein S9e
OLP77995.1	GCA_001939145.1	cytosol	K02932	2.10E-128	430.1	152.2	1	307	76	366	312	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
OLP80394.1	GCA_001939145.1	cytosol	K02981	1.40E-126	423.3	250.33	383	638	53	309	643	382	True	True	RP-S2e, RPS2; small subunit ribosomal protein S2e
OLP80397.1	GCA_001939145.1	cytosol	K02981	1.00E-123	413.9	250.33	31	278	60	311	3250	30	True	True	RP-S2e, RPS2; small subunit ribosomal protein S2e
OLP80398.1	GCA_001939145.1	cytosol	K02873	1.10E-82	278.8	38.27	3	216	50	253	218	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
OLP83445.1	GCA_001939145.1	cytosol	K02873	1.50E-82	278.3	38.27	3	216	50	256	1238	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
OLP87563.1	GCA_001939145.1	cytosol	K02997	4.30E-70	237.3	172.63	139	293	46	220	461	138	True	True	RP-S9e, RPS9; small subunit ribosomal protein S9e
OLP87758.1	GCA_001939145.1	cytosol	K02932	1.10E-126	424.4	152.2	1	307	76	366	312	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
OLP88063.1	GCA_001939145.1	cytosol	K02960	1.00E-72	245.1	157.47	650	795	35	175	1022	649	True	True	RP-S16e, RPS16; small subunit ribosomal protein S16e
OLP88627.1	GCA_001939145.1	cytosol	K02995	9.70E-95	317.4	41.23	1	201	34	230	665	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
OLP90727.1	GCA_001939145.1	cytosol	K02997	2.10E-99	333.6	172.63	6	185	27	206	1130	5	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
OLP91120.1	GCA_001939145.1	cytosol	K02866	2.00E-107	359.9	95.23	74	282	53	258	290	73	True	True	RP-L10e, RPL10; large subunit ribosomal protein L10e
OLP91123.1	GCA_001939145.1	cytosol	K02866	2.60E-109	366.1	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
OLP91812.1	GCA_001939145.1	cytosol	K02866	1.80E-110	369.9	95.23	308	522	42	258	530	307	True	True	RP-L10e, RPL10; large subunit ribosomal protein L10e
OLP93040.1	GCA_001939145.1	cytosol	K02993	5.50E-69	233.7	75	1	190	42	232	855	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
OLP93043.1	GCA_001939145.1	cytosol	K02993	2.30E-71	241.5	75	194	384	41	232	386	193	True	True	RP-S7e, RPS7; small subunit ribosomal protein S7e
OLP95023.1	GCA_001939145.1	cytosol	K02896	8.20E-32	111.7	31.8	356	578	12	213	834	355	True	True	RP-L24e, RPL24; large subunit ribosomal protein L24e
OLQ13668.1	GCA_001939145.1	cytosol	K02870	3.30E-85	287.4	134.1	269	510	50	283	1998	268	True	True	RP-L12e, RPL12; large subunit ribosomal protein L12e
OLQ14078.1	GCA_001939145.1	cytosol	K02991	1.10E-105	354.4	54.6	1	213	24	239	2792	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE6966591.1	GCA_905221605.1	cytosol	K02873	3.60E-82	277.0	38.27	3	216	50	253	218	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE6966603.1	GCA_905221605.1	cytosol	K02873	3.00E-82	277.3	38.27	3	216	50	253	218	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE6970979.1	GCA_905221605.1	cytosol	K02932	1.30E-126	424.1	152.2	1	307	76	366	312	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
