# TargetP-2.0	Organism: Non-Plant	Timestamp: 20260806140524
# ID	Prediction	noTP	SP	mTP	CS Position
OLP79028.1_with_leader_u20_PF00081_M_to_K04564_1017	SP	0.000642	0.999320	0.000037	CS pos: 18-19. VHA-GD. Pr: 0.9681
BGNK01003376.1_K04564_a3776c6c_with_leader_u31_PF00081_M_to_K04564_198	SP	0.111235	0.888465	0.000300	CS pos: 32-33. AKA-YD. Pr: 0.9172
BGPT01000358.1_K04564_070be8c8_with_leader_u34_PF00081_M_to_K04564_203	SP	0.211840	0.765342	0.022818	CS pos: 35-36. AQA-YD. Pr: 0.7203
CAE7445615.1_to_K04564_242	SP	0.004540	0.995205	0.000254	CS pos: 18-19. LHA-GD. Pr: 0.8589
CAJNDS010002352.1_K04564_638e9d57_with_leader_u31_PF00081_M_to_K04564_176	noTP	0.999668	0.000012	0.000320	
CAE8627582.1_with_leader_u15_PF00081_M_to_K04564_542	noTP	0.877620	0.091776	0.030603	
CAE8628319.1_to_K04564_235	SP	0.002884	0.996978	0.000138	CS pos: 24-25. CAA-KD. Pr: 0.6655
CAE8631912.1_with_leader_u15_PF00081_M_to_K04564_263	noTP	0.983519	0.013745	0.002736	
CAL1167723.1_with_leader_u21_PF00081_M_to_K04564_350	noTP	0.999931	0.000032	0.000036	
CAMXCT020000001.1_K04564_24b48a7d_with_leader_u26_PF00081_M_to_K04564_208	noTP	0.854520	0.107406	0.038074	
CAK9047237.1_with_leader_u27_PF00081_M_to_K04564_344	mTP	0.002431	0.000073	0.997496	CS pos: 25-26. AAA-ST. Pr: 0.2616
CAK9091470.1_with_leader_u18_PF00081_M_to_K04564_868	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
CAK9100252.1_to_K04564_230	SP	0.022864	0.976596	0.000541	CS pos: 20-21. AAG-EI. Pr: 0.6011
CAXAMM010020073.1_K04564_521e95f5_with_leader_u27_PF00081_M_to_K04564_197	mTP	0.002319	0.000071	0.997610	CS pos: 25-26. AAA-ST. Pr: 0.2616
CAXAMM010025685.1_K04564_b43539e3_with_leader_u30_PF00081_M_to_K04564_92	noTP	0.998228	0.001484	0.000288	
CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u18_PF00081_M_to_K04564_203	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
CAXAMM010040162.1_K04564_f9608fa6_with_leader_u18_PF00081_M_to_K04564_203	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
CAXAMM010040173.1_K04564_1d3f7085_with_leader_u18_PF00081_M_to_K04564_203	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
CAXAMM010040173.1_K04564_b38f776c_with_leader_u18_PF00081_M_to_K04564_203	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
CAK9032107.1_to_K04564_230	SP	0.022864	0.976596	0.000541	CS pos: 20-21. AAG-EI. Pr: 0.6011
CAK9113181.1_with_leader_u18_PF00081_M_to_K04564_257	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
CAK9113185.1_with_leader_u35_PF00081_M_to_K04564_914	SP	0.106382	0.628782	0.264836	CS pos: 36-37. ARA-YD. Pr: 0.4189
CAK9113185.1_with_leader_u21_PF00081_M_to_K04564_914	SP	0.003021	0.996886	0.000093	CS pos: 22-23. ARA-YD. Pr: 0.9398
CAK9113185.1_with_leader_u18_PF00081_M_to_K04564_914	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
CAXAMN010027783.1_K04564_0f8290bd_with_leader_u18_PF00081_M_to_K04564_203	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
CAXAMN010027783.1_K04564_a5ab1868_with_leader_u18_PF00081_M_to_K04564_203	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
CAXAMN010027806.1_K04564_b422a675_with_leader_u18_PF00081_M_to_K04564_203	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
CAXAMN010027806.1_K04564_f0a63ebd_with_leader_u18_PF00081_M_to_K04564_203	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
OZ257276.1_K04564_ace37290_with_leader_u31_PF00081_M_to_K04564_198	SP	0.111235	0.888465	0.000300	CS pos: 32-33. AKA-YD. Pr: 0.9172
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1_to_K04564_227	SP	0.007889	0.992001	0.000111	CS pos: 15-16. VKG-DI. Pr: 0.8538
pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1_with_leader_u16_PF00081_M_to_K04564_250	SP	0.092185	0.906440	0.001375	CS pos: 15-16. VKG-DI. Pr: 0.7759
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_to_K04564_236	SP	0.020537	0.978959	0.000504	CS pos: 25-26. LHA-GD. Pr: 0.7820
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_with_leader_u20_PF00081_M_to_K04564_236	SP	0.003126	0.996529	0.000346	CS pos: 18-19. LHA-GD. Pr: 0.8794
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_to_K04564_147	SP	0.095280	0.889432	0.015288	CS pos: 29-30. AFG-ET. Pr: 0.5353
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_147	SP	0.007066	0.991419	0.001515	CS pos: 20-21. TFT-LP. Pr: 0.4442
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u31_PF00081_M_to_K04564_278	SP	0.161431	0.838098	0.000471	CS pos: 32-33. AKA-YD. Pr: 0.9175
cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1_with_leader_u26_PF00081_M_to_K04564_322	noTP	0.999260	0.000105	0.000634	
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i4.p1_to_K04564_209	mTP	0.011701	0.002984	0.985315	CS pos: 19-20. RFY-TA. Pr: 0.6856
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i4.p1_with_leader_u30_PF00081_M_to_K04564_209	mTP	0.034020	0.019643	0.946338	CS pos: 18-19. RFY-TA. Pr: 0.6510
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i3.p1_to_K04564_210	mTP	0.011632	0.002992	0.985377	CS pos: 19-20. RFY-TA. Pr: 0.6854
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i3.p1_with_leader_u30_PF00081_M_to_K04564_210	mTP	0.033800	0.020090	0.946110	CS pos: 18-19. RFY-TA. Pr: 0.6507
cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1_to_K04564_230	mTP	0.006893	0.000208	0.992899	CS pos: 28-29. QRS-VH. Pr: 0.5198
cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1_with_leader_u26_PF00081_M_to_K04564_230	mTP	0.000383	0.000062	0.999555	CS pos: 26-27. QRS-VH. Pr: 0.5220
cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_230	mTP	0.268778	0.029309	0.701913	CS pos: 17-18. QRS-VH. Pr: 0.3830
cladocopium_proliferum_Levin_TRINITY_DN86499_c0_g1_i1.p1_to_K04564_238	SP	0.102881	0.889634	0.007486	CS pos: 25-26. AFG-ET. Pr: 0.4534
