target name	accession	tlen	query name	accession	qlen	seq e-value	seq score	seq bias	dom #	dom total	dom c-Evalue	dom i-Evalue	dom score	dom bias	hmm from	hmm to	ali from	ali to	env from	env to	acc	description
XP_073256375.1	-	447	IkB-like-1_cnidaria	-	442	1.5e-203	670.2	5.9	1	1	1.5e-203	1.6e-203	670.1	5.9	1	438	1	443	1	447	0.97	-
CAH3198638.1	-	410	IkB-like-1_cnidaria	-	442	6.8e-202	664.8	7.0	1	1	7e-202	7.6e-202	664.6	7.0	1	407	1	409	1	410	0.99	-
CAH3197536.1	-	416	IkB-like-1_cnidaria	-	442	2.2e-200	659.8	8.2	1	1	2.2e-200	2.4e-200	659.7	8.2	1	407	1	415	1	416	0.99	-
XP_022801431.1	-	443	IkB-like-1_cnidaria	-	442	5.5e-195	642.0	3.7	1	1	5.7e-195	6.2e-195	641.8	3.7	1	441	1	442	1	443	0.99	-
XP_058956197.1	-	443	IkB-like-1_cnidaria	-	442	1.2e-194	640.9	5.1	1	1	1.3e-194	1.4e-194	640.7	5.1	1	441	1	442	1	443	0.99	-
XP_027052644.1	-	443	IkB-like-1_cnidaria	-	442	1.5e-194	640.6	5.2	1	1	1.5e-194	1.6e-194	640.5	5.2	1	441	1	442	1	443	0.99	-
CALNXJ010000041.1_IkB-like-1_cnidaria_d9883b6d	-	417	IkB-like-1_cnidaria	-	442	6.9e-191	628.5	5.6	1	1	7.1e-191	7.7e-191	628.3	5.6	1	412	1	416	1	417	0.99	-
XP_068733763.1	-	419	IkB-like-1_cnidaria	-	442	1.2e-190	627.7	10.3	1	1	1.2e-190	1.3e-190	627.6	10.3	17	441	1	418	1	419	0.99	-
XP_068687143.1	-	419	IkB-like-1_cnidaria	-	442	3.4e-190	626.2	10.3	1	1	3.5e-190	3.8e-190	626.1	10.3	17	441	1	418	1	419	0.99	-
XP_029214161.1	-	423	IkB-like-1_cnidaria	-	442	1.4e-188	620.9	6.5	1	1	1.5e-188	1.6e-188	620.7	6.5	19	437	4	416	1	422	0.97	-
XP_067039091.1	-	423	IkB-like-1_cnidaria	-	442	1.6e-188	620.7	6.5	1	1	1.8e-188	2e-188	620.4	6.5	19	437	4	416	1	422	0.96	-
KAK2566512.1	-	423	IkB-like-1_cnidaria	-	442	3.2e-188	619.7	7.5	1	1	3.6e-188	3.9e-188	619.4	7.5	18	437	3	416	1	422	0.97	-
XP_029214161.2	-	423	IkB-like-1_cnidaria	-	442	6.7e-188	618.7	6.8	1	1	7.4e-188	8e-188	618.4	6.8	19	437	4	416	1	422	0.97	-
CAH3158544.1	-	393	IkB-like-1_cnidaria	-	442	6.7e-188	618.7	17.8	1	1	1.6e-187	1.7e-187	617.3	17.8	1	407	1	392	1	393	0.99	-
XP_020614060.1	-	431	IkB-like-1_cnidaria	-	442	1.9e-184	607.3	4.8	1	1	1.9e-184	2.1e-184	607.1	4.8	1	440	1	429	1	431	0.96	-
RDEB01000045.1_IkB-like-1_cnidaria_d454fb31	-	403	IkB-like-1_cnidaria	-	442	2.1e-183	603.8	11.8	1	1	2.1e-183	2.3e-183	603.7	11.8	7	408	2	400	1	403	0.98	-
JAJLRJ010000010.1_IkB-like-1_cnidaria_49902b19	-	423	IkB-like-1_cnidaria	-	442	3.3e-183	603.2	5.5	1	1	3.6e-183	3.9e-183	603.0	5.5	1	405	1	410	1	422	0.91	-
OZ116704.1_IkB-like-1_cnidaria_ac0dd393	-	419	IkB-like-1_cnidaria	-	442	4.1e-182	599.6	3.3	1	1	4.2e-182	4.5e-182	599.4	3.3	1	407	1	413	1	419	0.95	-
BLEZ01000629.1_IkB-like-1_cnidaria_01b137d4	-	393	IkB-like-1_cnidaria	-	442	9.3e-182	598.4	9.0	1	1	9.4e-182	1e-181	598.3	9.0	18	411	5	392	1	393	0.97	-
CM106375.1_IkB-like-1_cnidaria_a32257ab	-	412	IkB-like-1_cnidaria	-	442	1e-181	598.2	6.2	1	1	1.1e-181	1.2e-181	598.1	6.2	1	408	1	408	1	412	0.95	-
BLFE01004004.1_IkB-like-1_cnidaria_d30b3adf	-	394	IkB-like-1_cnidaria	-	442	1.8e-179	590.9	9.3	1	1	1.8e-179	1.9e-179	590.8	9.3	16	411	4	393	1	394	0.97	-
NW_015441482.1_IkB-like-1_cnidaria_9cc761db	-	395	IkB-like-1_cnidaria	-	442	2.1e-179	590.7	11.0	1	1	2.1e-179	2.3e-179	590.5	11.0	16	411	4	394	1	395	0.96	-
BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e	-	393	IkB-like-1_cnidaria	-	442	1.7e-178	587.7	8.7	1	1	1.7e-178	1.9e-178	587.5	8.7	16	410	4	392	1	393	0.97	-
XP_046852093.1	-	464	IkB-like-1_cnidaria	-	442	2.2e-168	554.4	18.4	1	1	2.3e-168	2.5e-168	554.2	18.4	13	440	2	448	1	450	0.98	-
XP_046852094.1	-	464	IkB-like-1_cnidaria	-	442	2.2e-168	554.4	18.4	1	1	2.3e-168	2.5e-168	554.2	18.4	13	440	2	448	1	450	0.98	-
XP_046852095.1	-	464	IkB-like-1_cnidaria	-	442	2.2e-168	554.4	18.4	1	1	2.3e-168	2.5e-168	554.2	18.4	13	440	2	448	1	450	0.98	-
MU826368.1_IkB-like-1_cnidaria_06294bfc	-	406	IkB-like-1_cnidaria	-	442	7e-167	549.4	2.7	1	1	7.2e-167	7.8e-167	549.2	2.7	1	408	1	405	1	406	0.97	-
XP_031569757.1	-	418	IkB-like-1_cnidaria	-	442	1.1e-164	542.2	2.2	1	1	1.1e-164	1.2e-164	542.0	2.2	1	419	1	410	1	418	0.96	-
MU826368.1_IkB-like-1_cnidaria_d06fa176	-	406	IkB-like-1_cnidaria	-	442	2.5e-164	540.9	3.2	1	1	2.6e-164	2.8e-164	540.8	3.2	1	408	1	405	1	406	0.95	-
XP_020904317.1	-	435	IkB-like-1_cnidaria	-	442	1.9e-163	538.0	11.8	1	1	2.3e-163	2.5e-163	537.7	11.8	2	417	3	424	2	434	0.95	-
XP_028404342.1	-	452	IkB-like-1_cnidaria	-	442	3.7e-161	530.5	15.5	1	1	3.9e-161	4.2e-161	530.3	15.5	11	441	2	438	1	439	0.94	-
XP_028404349.1	-	451	IkB-like-1_cnidaria	-	442	5.6e-161	529.9	15.4	1	1	6.1e-161	6.6e-161	529.7	15.4	11	441	2	437	1	438	0.94	-
CAB3997549.1	-	458	IkB-like-1_cnidaria	-	442	1.1e-156	515.8	12.0	1	1	1.2e-156	1.3e-156	515.6	12.0	11	441	2	444	1	445	0.95	-
XP_032230483.2	-	384	IkB-like-1_cnidaria	-	442	5.5e-149	490.4	20.7	1	1	2.2e-147	2.4e-147	485.0	20.7	2	408	9	383	8	384	0.98	-
XP_032230484.1	-	383	IkB-like-1_cnidaria	-	442	9.9e-149	489.6	21.4	1	1	4.8e-147	5.1e-147	483.9	21.4	2	408	9	382	8	383	0.98	-
XP_032230483.1	-	384	IkB-like-1_cnidaria	-	442	1.1e-148	489.4	21.6	1	1	4.5e-147	4.9e-147	484.0	21.6	2	408	9	383	8	384	0.98	-
MPSW01000736.1_IkB-like-1_cnidaria_3ae602e1	-	419	IkB-like-1_cnidaria	-	442	1.6e-146	482.2	16.0	1	2	4.1e-30	4.4e-30	98.5	3.1	1	162	1	163	1	175	0.93	-
MPSW01000736.1_IkB-like-1_cnidaria_3ae602e1	-	419	IkB-like-1_cnidaria	-	442	1.6e-146	482.2	16.0	2	2	1.8e-118	2e-118	389.7	5.1	212	407	218	413	216	419	0.98	-
KAJ7378236.1	-	269	IkB-like-1_cnidaria	-	442	1.7e-139	459.1	4.5	1	1	1.9e-139	2.1e-139	458.8	4.5	170	439	6	266	2	269	0.95	-
XP_020903771.1	-	383	IkB-like-1_cnidaria	-	442	4e-88	289.8	19.0	1	1	7.7e-88	8.3e-88	288.8	19.0	102	438	25	363	9	383	0.76	-
XP_001626962.2	-	530	IkB-like-1_cnidaria	-	442	8.7e-83	272.2	6.1	1	1	1.5e-82	1.6e-82	271.3	6.1	74	408	158	491	79	523	0.69	-
RDEB01000045.1_IkB-like-2_cnidaria_912ea7a3	-	345	IkB-like-1_cnidaria	-	442	2.7e-82	270.6	8.5	1	1	4.3e-82	4.7e-82	269.8	8.5	105	405	23	326	3	341	0.79	-
CM106375.1_IkB-like-2_cnidaria_c879bcb4	-	375	IkB-like-1_cnidaria	-	442	2.8e-82	270.6	9.0	1	1	5.2e-82	5.6e-82	269.6	9.0	66	407	6	357	2	374	0.75	-
CAH3027367.1	-	246	IkB-like-1_cnidaria	-	442	1.2e-80	265.2	1.2	1	1	1.3e-80	1.4e-80	265.0	1.2	205	429	7	242	5	246	0.88	-
XP_031566534.1	-	389	IkB-like-1_cnidaria	-	442	3.4e-80	263.7	14.6	1	1	1.2e-79	1.3e-79	261.8	14.6	82	437	11	362	2	381	0.78	-
XP_073256376.1	-	388	IkB-like-1_cnidaria	-	442	1.1e-79	262.0	9.2	1	1	1.9e-79	2.1e-79	261.1	9.2	92	429	31	384	4	388	0.73	-
XP_068731937.1	-	367	IkB-like-1_cnidaria	-	442	2.1e-79	261.1	12.2	1	1	4.7e-79	5.1e-79	259.8	12.2	103	428	28	362	5	367	0.71	-
XP_068731938.1	-	366	IkB-like-1_cnidaria	-	442	2.4e-79	260.9	12.4	1	1	5.5e-79	6e-79	259.6	12.4	104	428	28	361	5	366	0.71	-
XP_020614015.1	-	380	IkB-like-1_cnidaria	-	442	2.5e-79	260.8	7.0	1	1	3.7e-79	4e-79	260.2	7.0	205	428	141	375	5	380	0.89	-
XP_068687146.1	-	360	IkB-like-1_cnidaria	-	442	5.1e-79	259.8	14.0	1	1	1.7e-78	1.8e-78	258.0	14.0	203	428	118	355	5	360	0.71	-
XP_068687145.1	-	361	IkB-like-1_cnidaria	-	442	7.1e-79	259.3	14.5	1	1	2.3e-78	2.5e-78	257.6	14.5	203	428	119	356	5	361	0.71	-
OZ116704.1_IkB-like-2_cnidaria_1a064885	-	362	IkB-like-1_cnidaria	-	442	3.8e-78	256.9	8.5	1	1	6.8e-78	7.4e-78	256.0	8.5	205	406	138	343	5	360	0.90	-
MPSW01000736.1_IkB-like-2_cnidaria_21607528	-	362	IkB-like-1_cnidaria	-	442	4.2e-78	256.8	8.3	1	1	6.8e-78	7.3e-78	256.0	8.3	205	406	138	343	5	360	0.93	-
CAH3158546.1	-	368	IkB-like-1_cnidaria	-	442	5.8e-78	256.3	9.3	1	1	1.4e-77	1.5e-77	254.9	9.3	103	407	45	351	3	366	0.73	-
XP_022801432.1	-	389	IkB-like-1_cnidaria	-	442	5.9e-77	253.0	4.5	1	1	6.8e-77	7.4e-77	252.7	4.5	150	428	96	384	66	389	0.80	-
XP_022801433.1	-	389	IkB-like-1_cnidaria	-	442	5.9e-77	253.0	4.5	1	1	6.8e-77	7.4e-77	252.7	4.5	150	428	96	384	66	389	0.80	-
JAJLRJ010000010.1_IkB-like-2_cnidaria_0ad31e39	-	371	IkB-like-1_cnidaria	-	442	9.3e-77	252.4	9.5	1	1	3.8e-76	4.2e-76	250.2	9.4	204	405	147	352	33	368	0.82	-
CAH3146082.1	-	388	IkB-like-1_cnidaria	-	442	1.2e-76	252.0	6.6	1	1	1.3e-76	1.4e-76	251.7	6.6	134	428	79	383	25	388	0.80	-
BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39	-	362	IkB-like-1_cnidaria	-	442	4.7e-76	250.0	4.5	1	2	7.1	7.7	-1.1	0.7	90	122	37	67	7	85	0.41	-
BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39	-	362	IkB-like-1_cnidaria	-	442	4.7e-76	250.0	4.5	2	2	4.3e-76	4.7e-76	250.0	4.5	205	407	138	345	135	360	0.93	-
BLFE01004004.1_IkB-like-2_cnidaria_bb7b20e5	-	368	IkB-like-1_cnidaria	-	442	6e-76	249.7	3.1	1	2	6	6.5	-0.9	2.0	133	166	37	70	3	88	0.39	-
BLFE01004004.1_IkB-like-2_cnidaria_bb7b20e5	-	368	IkB-like-1_cnidaria	-	442	6e-76	249.7	3.1	2	2	5.5e-76	6e-76	249.7	3.1	205	408	138	346	135	365	0.92	-
CALNXJ010000041.1_IkB-like-2_cnidaria_209c0d6c	-	371	IkB-like-1_cnidaria	-	442	6.1e-76	249.7	5.7	1	1	8.2e-76	8.9e-76	249.1	5.7	133	405	77	352	24	368	0.84	-
XP_027051378.1	-	384	IkB-like-1_cnidaria	-	442	9.3e-76	249.1	7.2	1	1	1.1e-75	1.2e-75	248.8	7.2	137	428	74	379	49	384	0.79	-
XP_027051450.1	-	384	IkB-like-1_cnidaria	-	442	9.3e-76	249.1	7.2	1	1	1.1e-75	1.2e-75	248.8	7.2	137	428	74	379	49	384	0.79	-
BLEZ01000629.1_IkB-like-2_cnidaria_0572989b	-	366	IkB-like-1_cnidaria	-	442	1.4e-75	248.5	4.1	1	2	6	6.5	-0.9	2.1	22	64	30	71	4	91	0.36	-
BLEZ01000629.1_IkB-like-2_cnidaria_0572989b	-	366	IkB-like-1_cnidaria	-	442	1.4e-75	248.5	4.1	2	2	1.3e-75	1.4e-75	248.5	4.1	205	408	138	346	135	362	0.93	-
XP_058956196.2	-	388	IkB-like-1_cnidaria	-	442	1.5e-75	248.4	7.3	1	1	1.6e-75	1.7e-75	248.2	7.3	136	428	81	383	26	388	0.79	-
XP_058956196.1	-	384	IkB-like-1_cnidaria	-	442	1.5e-75	248.3	6.4	1	1	1.7e-75	1.9e-75	248.1	6.4	167	428	98	379	50	384	0.80	-
XP_029214164.1	-	355	IkB-like-1_cnidaria	-	442	6.9e-75	246.2	12.1	1	1	1.8e-74	1.9e-74	244.7	12.1	204	430	114	341	5	355	0.80	-
KAK2566508.1	-	355	IkB-like-1_cnidaria	-	442	1e-74	245.6	13.7	1	1	3.2e-74	3.5e-74	243.9	13.7	203	430	113	341	3	355	0.72	-
