Protein Accession	Tree Group
XP_031566534.1	Group 2.3
XP_020903771.1	Group 2.3
XP_001626962.2	Group 2.3
KAK2566508.1	Group 2.4
XP_067031528.1	Group 2.4
XP_029214164.1	Group 2.4
XP_029214164.2	Group 2.4
XP_068687145.1	Group 2.4
XP_068687146.1	Group 2.4
XP_068687149.1	Group 2.4
XP_068731937.1	Group 2.4
XP_068731938.1	Group 2.4
XP_068687147.1	Group 2.4
XP_068731939.1	Group 2.4
CAH3158546.1	Group 2.4
XP_073256376.1	Group 2.4
CAH3027367.1	Group 2.4
XP_020614015.1	Group 2.4
XP_022801432.1	Group 2.4
XP_022801433.1	Group 2.4
CAH3146082.1	Group 2.4
XP_058956196.1	Group 2.4
XP_058956196.2	Group 2.4
XP_027051450.1	Group 2.4
XP_027051378.1	Group 2.4
XP_028400154.1	Group 2.1
XP_046853942.1	Group 2.1
XP_046853941.1	Group 2.1
CAB4029555.1	Group 2.1
CAB4029556.1	Group 2.1
XP_046853943.1	Group 2.2
XP_046853944.1	Group 2.2
XP_028400144.1	Group 2.2
XP_028400134.1	Group 2.2
CAB4012946.1	Group 2.2
CAB4007512.1	Group 2.2
XP_028407711.1	Group 4.1
XP_028396366.1	Group 4.1
XP_020901899.1	Group 4.2
XP_031557780.1	Group 4.2
XP_032228503.1	Group 4.3
XP_032228503.2	Group 4.3
KAJ7330771.1	Group 4.4
XP_020604255.1	Group 4.4
XP_020604254.1	Group 4.4
XP_022798720.1	Group 4.4
XP_022798721.1	Group 4.4
XP_027057623.1	Group 4.4
XP_027057621.1	Group 4.4
XP_058957670.1	Group 4.4
XP_058957669.1	Group 4.4
XP_058957670.2	Group 4.4
XP_058957669.2	Group 4.4
CAH3028528.1	Group 4.4
XP_073248334.1	Group 4.4
XP_073248332.1	Group 4.4
XP_068682681.1	Group 4.4
XP_068728611.1	Group 4.4
XP_068682682.1	Group 4.4
XP_068728612.1	Group 4.4
KAK2567480.1	Group 4.4
XP_029197502.1	Group 4.4
XP_067031383.1	Group 4.4
XP_029197502.2	Group 4.4
CAH3140492.1	Group 4.4
CAH3116438.1	Group 4.4
CAH3148052.1	Group 4.4
XP_046852093.1	Group 1.1
XP_046852095.1	Group 1.1
XP_046852094.1	Group 1.1
CAB3997549.1	Group 1.1
XP_028404342.1	Group 1.1
XP_028404349.1	Group 1.1
XP_031569757.1	Group 1.2
XP_020904317.1	Group 1.2
XP_032230483.1	Group 1.3
XP_032230484.1	Group 1.3
XP_032230483.2	Group 1.3
XP_020614060.1	Group 1.4
KAJ7378236.1	Group 1.4
XP_022801431.1	Group 1.4
XP_058956197.1	Group 1.4
XP_027052644.1	Group 1.4
CAH3158544.1	Group 1.4
CAH3197536.1	Group 1.4
XP_073256375.1	Group 1.4
CAH3198638.1	Group 1.4
XP_068687143.1	Group 1.4
XP_068733763.1	Group 1.4
KAK2566512.1	Group 1.4
XP_067039091.1	Group 1.4
XP_029214161.1	Group 1.4
XP_029214161.2	Group 1.4
XP_031565156.1	Group 3
XP_031565157.1	Group 3
XP_020916759.1	Group 3
KAK3739735.1	Group 3
CAH3027709.1	Group 3
XP_073234456.1	Group 3
CAH3136379.1	Group 3
CAH3186488.1	Group 3
XP_068721954.1	Group 3
XP_068704788.1	Group 3
XP_029186950.1	Group 3
XP_029186950.2	Group 3
XP_067053651.1	Group 3
XP_015766406.1	Group 3
CAH3117715.1	Group 3
XP_058970121.1	Group 3
XP_027038010.1	Group 3
XP_022789210.1	Group 3
XP_022789211.1	Group 3
