Genome accession	NFkB candidate	IkB candidate	NFkB chain contact coordinate
GCA_032359415.1	KAK2568458.1	KAK2566508.1	264:376
GCA_032359415.1	KAK2568458.1	KAK2566512.1	264:376
GCA_032359415.1	KAK2568458.1	KAK2567480.1	264:376
GCA_033675265.1	KAK3739735.1		240:352
GCA_942486025.1	CAH3027709.1		268:381
GCA_942486025.1	CAH3027709.1	CAH3027367.1	268:381
GCA_942486025.1	CAH3027709.1	CAH3028528.1	268:381
GCA_942486025.1	CAH3027709.1	CAH3148052.1	268:381
GCA_942486025.1	CAH3027709.1	CAH3197536.1	268:381
GCA_942486025.1	CAH3027709.1	CAH3198638.1	268:381
GCA_942486025.1	CAH3185197.1	CAH3027367.1	265:378
GCA_942486025.1	CAH3185197.1	CAH3028528.1	265:378
GCA_942486025.1	CAH3185197.1	CAH3148052.1	265:378
GCA_942486025.1	CAH3185197.1	CAH3197536.1	265:378
GCA_942486025.1	CAH3185197.1	CAH3198638.1	265:378
GCA_942486035.1	CAH3136379.1		265:378
GCA_942486035.1	CAH3136379.1	CAH3116438.1	265:378
GCA_942486035.1	CAH3136379.1	CAH3158544.1	265:378
GCA_942486035.1	CAH3136379.1	CAH3158546.1	265:378
GCA_942486035.1	CAH3186482.1	CAH3116438.1	264:377
GCA_942486035.1	CAH3186482.1	CAH3158544.1	264:377
GCA_942486035.1	CAH3186482.1	CAH3158546.1	264:377
GCA_942486035.1	CAH3186488.1		265:378
GCA_942486035.1	CAH3186488.1	CAH3116438.1	265:378
GCA_942486035.1	CAH3186488.1	CAH3158544.1	265:378
GCA_942486035.1	CAH3186488.1	CAH3158546.1	265:378
GCA_942486045.1	CAH3117715.1		265:378
GCA_942486045.1	CAH3117715.1	CAH3140492.1	265:378
GCA_942486045.1	CAH3117715.1	CAH3146082.1	265:378
GCF_000209225.1	XP_032228246.1	XP_001626962.2	271:385
GCF_000209225.1	XP_032228246.1	XP_032228503.1	271:385
GCF_000209225.1	XP_032228246.1	XP_032230483.1	271:385
GCF_000222465.1	XP_015766406.1		264:369
GCF_001417965.1	XP_020916759.1		268:380
GCF_001417965.1	XP_020916759.1	XP_020901899.1	268:380
GCF_001417965.1	XP_020916759.1	XP_020903771.1	268:380
GCF_001417965.1	XP_020916759.1	XP_020904317.1	268:380
GCF_002042975.1	XP_020612557.1		302:415
GCF_002042975.1	XP_020612557.1	XP_020604254.1	302:415
GCF_002042975.1	XP_020612557.1	XP_020614015.1	302:415
GCF_002042975.1	XP_020612557.1	XP_020614060.1	302:415
GCF_002571385.2	XP_022789210.1		263:376
GCF_002571385.2	XP_022789210.1	XP_022798720.1	263:376
GCF_002571385.2	XP_022789210.1	XP_022801431.1	263:376
GCF_002571385.2	XP_022789210.1	XP_022801432.1	263:376
GCF_003704095.1	XP_027038010.1		265:378
GCF_003704095.1	XP_027038010.1	XP_027051378.1	265:378
GCF_003704095.1	XP_027038010.1	XP_027052644.1	265:378
GCF_003704095.1	XP_027038010.1	XP_027057621.1	265:378
GCF_004143615.1	XP_029186950.1		264:376
GCF_004143615.1	XP_029186950.1	XP_029197502.1	264:376
GCF_004143615.1	XP_029186950.1	XP_029214161.1	264:376
GCF_004143615.1	XP_029186950.1	XP_029214164.1	264:376
GCF_004324835.1	XP_028414684.1	XP_028396366.1	252:365
GCF_004324835.1	XP_028414684.1	XP_028400134.1	252:365
GCF_004324835.1	XP_028414684.1	XP_028400154.1	252:365
GCF_004324835.1	XP_028414684.1	XP_028404342.1	252:365
GCF_004324835.1	XP_028414684.1	XP_028407711.1	252:365
GCF_004324835.1	XP_028414852.1	XP_028396366.1	252:365
GCF_004324835.1	XP_028414852.1	XP_028400134.1	252:365
GCF_004324835.1	XP_028414852.1	XP_028400154.1	252:365
GCF_004324835.1	XP_028414852.1	XP_028404342.1	252:365
GCF_004324835.1	XP_028414852.1	XP_028407711.1	252:365
GCF_009602425.1	XP_031565156.1		269:381
GCF_009602425.1	XP_031565156.1	XP_031557780.1	269:381
GCF_009602425.1	XP_031565156.1	XP_031566534.1	269:381
GCF_009602425.1	XP_031565156.1	XP_031569757.1	269:381
GCF_013076305.1	XP_065051077.1	XP_065056061.1	250:362
GCF_013753865.1	XP_029186950.2		264:376
GCF_013753865.1	XP_029186950.2	XP_029197502.2	264:376
GCF_013753865.1	XP_029186950.2	XP_029214161.2	264:376
GCF_013753865.1	XP_029186950.2	XP_029214164.2	264:376
GCF_021976095.1	XP_046859971.1	XP_046852093.1	250:367
GCF_021976095.1	XP_046859971.1	XP_046853941.1	250:367
GCF_030620025.1	XP_058970121.1		265:378
GCF_030620025.1	XP_058970121.1	XP_058956196.1	265:378
GCF_030620025.1	XP_058970121.1	XP_058956197.1	265:378
GCF_030620025.1	XP_058970121.1	XP_058957669.1	265:378
GCF_036669905.1	XP_067053651.1		264:376
GCF_036669905.1	XP_067053651.1	XP_067031383.1	264:376
GCF_036669905.1	XP_067053651.1	XP_067031528.1	264:376
GCF_036669905.1	XP_067053651.1	XP_067039091.1	264:376
GCF_036669925.1	XP_068721954.1		269:382
GCF_036669925.1	XP_068721954.1	XP_068728611.1	269:382
GCF_036669925.1	XP_068721954.1	XP_068731937.1	269:382
GCF_036669925.1	XP_068721954.1	XP_068733763.1	269:382
GCF_036669935.1	XP_068704788.1		269:382
GCF_036669935.1	XP_068704788.1	XP_068682681.1	269:382
GCF_036669935.1	XP_068704788.1	XP_068687143.1	269:382
GCF_036669935.1	XP_068704788.1	XP_068687145.1	269:382
GCF_932526225.1	XP_048580668.1	XP_032228503.2	271:385
GCF_932526225.1	XP_048580668.1	XP_032230483.2	271:385
GCF_958299795.1	XP_073234456.1		265:378
GCF_958299795.1	XP_073234456.1	XP_073248332.1	265:378
GCF_958299795.1	XP_073234456.1	XP_073256375.1	265:378
GCF_958299795.1	XP_073234456.1	XP_073256376.1	265:378
