zipfile	zipfile_sha256	model	A_B_pDockQ2_max	A_C_pDockQ2_max	B_C_pDockQ2_max	A_265-405_B_265-405_pDockQ2_max	A_265-405_C_all_pDockQ2_max	B_265-405_C_all_pDockQ2_max
fold_np_xp_022777644.zip	bda24fd0f3b11489de2cbae8640efb71f1c2b9f9ffbcc7980b1c9795f0f0c53f	0	0.200866	0.009135	0.009840	0.266164	0.000000	0.009840
fold_np_xp_022777644.zip	bda24fd0f3b11489de2cbae8640efb71f1c2b9f9ffbcc7980b1c9795f0f0c53f	1	0.310518	0.010329	0.000000	0.310518	0.010329	0.000000
fold_np_xp_022777644.zip	bda24fd0f3b11489de2cbae8640efb71f1c2b9f9ffbcc7980b1c9795f0f0c53f	2	0.291045	0.009188	0.009151	0.291045	0.009307	0.009031
fold_np_xp_022777644.zip	bda24fd0f3b11489de2cbae8640efb71f1c2b9f9ffbcc7980b1c9795f0f0c53f	3	0.264706	0.009887	0.009156	0.264706	0.009887	0.008984
fold_np_xp_022777644.zip	bda24fd0f3b11489de2cbae8640efb71f1c2b9f9ffbcc7980b1c9795f0f0c53f	4	0.026264	0.008810	0.009268	0.244635	0.000000	0.000000
fold_nv_cab3992991.zip	f28951bd700c87494d763b4ecaea1eba66a91f06a1f9112085c67a3589300fd8	0	0.165289	0.009289	0.011173	0.249771	0.000000	0.000000
fold_nv_cab3992991.zip	f28951bd700c87494d763b4ecaea1eba66a91f06a1f9112085c67a3589300fd8	1	0.039848	0.009058	0.009395	0.221938	0.009032	0.009443
fold_nv_cab3992991.zip	f28951bd700c87494d763b4ecaea1eba66a91f06a1f9112085c67a3589300fd8	2	0.204417	0.009415	0.009518	0.204417	0.009705	0.009593
fold_nv_cab3992991.zip	f28951bd700c87494d763b4ecaea1eba66a91f06a1f9112085c67a3589300fd8	3	0.213860	0.009267	0.009349	0.213860	0.009232	0.000000
fold_nv_cab3992991.zip	f28951bd700c87494d763b4ecaea1eba66a91f06a1f9112085c67a3589300fd8	4	0.129720	0.009164	0.009603	0.208995	0.000000	0.009603
fold_nv_cab3992993.zip	ecd76e745b5792acfb249b944ac78b2c8b15c13f50c3f11bbfafcf6e89f59d5f	0	0.069838	0.009614	0.009541	0.298084	0.009898	0.009656
fold_nv_cab3992993.zip	ecd76e745b5792acfb249b944ac78b2c8b15c13f50c3f11bbfafcf6e89f59d5f	1	0.056003	0.009711	0.009528	0.335178	0.009873	0.009528
fold_nv_cab3992993.zip	ecd76e745b5792acfb249b944ac78b2c8b15c13f50c3f11bbfafcf6e89f59d5f	2	0.042192	0.010577	0.009313	0.120816	0.010577	0.000000
fold_nv_cab3992993.zip	ecd76e745b5792acfb249b944ac78b2c8b15c13f50c3f11bbfafcf6e89f59d5f	3	0.067084	0.010463	0.009920	0.151334	0.010463	0.009920
fold_nv_cab3992993.zip	ecd76e745b5792acfb249b944ac78b2c8b15c13f50c3f11bbfafcf6e89f59d5f	4	0.064662	0.009399	0.009612	0.294811	0.009399	0.009682
fold_nv_cab4010612.zip	36d353665c8c92a99a839ee146d04254665c91b003b30bb7e76ab4bac186fa38	0	0.403014	0.011115	0.000000	0.403014	0.011443	0.000000
fold_nv_cab4010612.zip	36d353665c8c92a99a839ee146d04254665c91b003b30bb7e76ab4bac186fa38	1	0.109109	0.010633	0.000000	0.397501	0.010896	0.000000
fold_nv_cab4010612.zip	36d353665c8c92a99a839ee146d04254665c91b003b30bb7e76ab4bac186fa38	2	0.356701	0.009874	0.011215	0.356701	0.009874	0.000000
fold_nv_cab4010612.zip	36d353665c8c92a99a839ee146d04254665c91b003b30bb7e76ab4bac186fa38	3	0.400483	0.010024	0.011240	0.400483	0.009895	0.009646
fold_nv_cab4010612.zip	36d353665c8c92a99a839ee146d04254665c91b003b30bb7e76ab4bac186fa38	4	0.400798	0.010779	0.009589	0.400798	0.010154	0.009932
fold_nv_cab4012946.zip	3a7fda46a1982461b1c75c75016502ad34e05b3276440031cc7c5785c06e822d	0	0.721318	0.413940	0.305983	0.721318	0.413940	0.305983
fold_nv_cab4012946.zip	3a7fda46a1982461b1c75c75016502ad34e05b3276440031cc7c5785c06e822d	1	0.732984	0.152511	0.173824	0.732984	0.152511	0.250227
fold_nv_cab4012946.zip	3a7fda46a1982461b1c75c75016502ad34e05b3276440031cc7c5785c06e822d	2	0.195564	0.414596	0.277947	0.711605	0.414596	0.313389
fold_nv_cab4012946.zip	3a7fda46a1982461b1c75c75016502ad34e05b3276440031cc7c5785c06e822d	3	0.136972	0.077431	0.278430	0.713209	0.418160	0.278430
fold_nv_cab4012946.zip	3a7fda46a1982461b1c75c75016502ad34e05b3276440031cc7c5785c06e822d	4	0.107772	0.393732	0.177091	0.700870	0.393732	0.177091
fold_nv_cab4022695.zip	e0aea703a044c671b65175db74761101ac6c2eb0f8c8e90a3a1dc09907820bf5	0	0.054434	0.008590	0.008694	0.064101	0.008833	0.008936
fold_nv_cab4022695.zip	e0aea703a044c671b65175db74761101ac6c2eb0f8c8e90a3a1dc09907820bf5	1	0.050310	0.008520	0.008497	0.050310	0.008730	0.008548
fold_nv_cab4022695.zip	e0aea703a044c671b65175db74761101ac6c2eb0f8c8e90a3a1dc09907820bf5	2	0.082653	0.008430	0.008706	0.082653	0.008484	0.008706
fold_nv_cab4022695.zip	e0aea703a044c671b65175db74761101ac6c2eb0f8c8e90a3a1dc09907820bf5	3	0.016148	0.008712	0.008750	0.097787	0.009119	0.008750
fold_nv_cab4022695.zip	e0aea703a044c671b65175db74761101ac6c2eb0f8c8e90a3a1dc09907820bf5	4	0.035834	0.009104	0.008964	0.082546	0.009104	0.008958
fold_nv_cab4029555.zip	cd587edbc5ec0cb12c0b525e633e9705950258ff5ff9570063b0259f4352dac3	0	0.767680	0.236437	0.374595	0.767680	0.236437	0.374595
fold_nv_cab4029555.zip	cd587edbc5ec0cb12c0b525e633e9705950258ff5ff9570063b0259f4352dac3	1	0.196580	0.229993	0.264314	0.748608	0.229993	0.264314
fold_nv_cab4029555.zip	cd587edbc5ec0cb12c0b525e633e9705950258ff5ff9570063b0259f4352dac3	2	0.745617	0.226979	0.225193	0.745617	0.226979	0.225193
fold_nv_cab4029555.zip	cd587edbc5ec0cb12c0b525e633e9705950258ff5ff9570063b0259f4352dac3	3	0.146238	0.195478	0.189269	0.740365	0.195478	0.295709
fold_nv_cab4029555.zip	cd587edbc5ec0cb12c0b525e633e9705950258ff5ff9570063b0259f4352dac3	4	0.762863	0.169029	0.308509	0.762863	0.169029	0.308509
fold_nv_cab4029556.zip	b01806d58f7e4c0375cd420832dcd9ff4859059c82de7f6cafaf9c6b788e4c7f	0	0.778755	0.227529	0.389736	0.778755	0.227529	0.389736
fold_nv_cab4029556.zip	b01806d58f7e4c0375cd420832dcd9ff4859059c82de7f6cafaf9c6b788e4c7f	1	0.531033	0.252537	0.389073	0.531033	0.252537	0.389073
fold_nv_cab4029556.zip	b01806d58f7e4c0375cd420832dcd9ff4859059c82de7f6cafaf9c6b788e4c7f	2	0.774681	0.228238	0.283648	0.774681	0.228238	0.283648
fold_nv_cab4029556.zip	b01806d58f7e4c0375cd420832dcd9ff4859059c82de7f6cafaf9c6b788e4c7f	3	0.145034	0.239849	0.165193	0.574227	0.239849	0.180589
fold_nv_cab4029556.zip	b01806d58f7e4c0375cd420832dcd9ff4859059c82de7f6cafaf9c6b788e4c7f	4	0.189601	0.236925	0.238498	0.758377	0.236925	0.265790
fold_nv_cab4039579.zip	f1aba77edbb4a0c7070b41154d35d7737ce63510f508d8384c5ea71715252be3	0	0.272432	0.009167	0.009016	0.272432	0.000000	0.009152
fold_nv_cab4039579.zip	f1aba77edbb4a0c7070b41154d35d7737ce63510f508d8384c5ea71715252be3	1	0.285960	0.009179	0.009062	0.285960	0.009431	0.009092
fold_nv_cab4039579.zip	f1aba77edbb4a0c7070b41154d35d7737ce63510f508d8384c5ea71715252be3	2	0.272918	0.008742	0.009026	0.272918	0.009202	0.008901
fold_nv_cab4039579.zip	f1aba77edbb4a0c7070b41154d35d7737ce63510f508d8384c5ea71715252be3	3	0.271499	0.009021	0.008902	0.271499	0.008942	0.008770
fold_nv_cab4039579.zip	f1aba77edbb4a0c7070b41154d35d7737ce63510f508d8384c5ea71715252be3	4	0.224975	0.009041	0.008978	0.224975	0.009425	0.009031
fold_nv_cah3022935.zip	d50db071439c6e91eadda59509edf26256420480b52eb56f750077c602d6e1cd	0	0.012190	0.012705	0.009843	0.012801	0.012851	0.009843
fold_nv_cah3022935.zip	d50db071439c6e91eadda59509edf26256420480b52eb56f750077c602d6e1cd	1	0.018377	0.014523	0.010780	0.018377	0.014648	0.010783
fold_nv_cah3022935.zip	d50db071439c6e91eadda59509edf26256420480b52eb56f750077c602d6e1cd	2	0.164367	0.014633	0.009738	0.164367	0.015204	0.009864
fold_nv_cah3022935.zip	d50db071439c6e91eadda59509edf26256420480b52eb56f750077c602d6e1cd	3	0.014687	0.010343	0.011711	0.026584	0.009507	0.012433
fold_nv_cah3022935.zip	d50db071439c6e91eadda59509edf26256420480b52eb56f750077c602d6e1cd	4	0.021490	0.012513	0.010122	0.035976	0.012619	0.009525
fold_nv_cah3027367.zip	843f334d2900921c10481a3ed147965fe99460a2f79aa5f6a824613d3c70fa50	0	0.784137	0.181612	0.248327	0.784137	0.181612	0.248327
fold_nv_cah3027367.zip	843f334d2900921c10481a3ed147965fe99460a2f79aa5f6a824613d3c70fa50	1	0.804309	0.196723	0.312495	0.804309	0.196723	0.312495
fold_nv_cah3027367.zip	843f334d2900921c10481a3ed147965fe99460a2f79aa5f6a824613d3c70fa50	2	0.795759	0.191384	0.323635	0.795759	0.191384	0.323635
fold_nv_cah3027367.zip	843f334d2900921c10481a3ed147965fe99460a2f79aa5f6a824613d3c70fa50	3	0.805210	0.213478	0.298546	0.805210	0.213478	0.298546
fold_nv_cah3027367.zip	843f334d2900921c10481a3ed147965fe99460a2f79aa5f6a824613d3c70fa50	4	0.294503	0.228424	0.273849	0.789534	0.228424	0.323593
fold_nv_cah3033301.zip	132afe59d684f93af53e116d689f7b2cd0acfc7197a756f74f6aff68db17bb13	0	0.314660	0.009760	0.009310	0.314660	0.010850	0.009839
fold_nv_cah3033301.zip	132afe59d684f93af53e116d689f7b2cd0acfc7197a756f74f6aff68db17bb13	1	0.319374	0.009457	0.009425	0.319374	0.009380	0.009420
fold_nv_cah3033301.zip	132afe59d684f93af53e116d689f7b2cd0acfc7197a756f74f6aff68db17bb13	2	0.079125	0.009532	0.009060	0.305822	0.009671	0.009148
fold_nv_cah3033301.zip	132afe59d684f93af53e116d689f7b2cd0acfc7197a756f74f6aff68db17bb13	3	0.357954	0.009339	0.009535	0.357954	0.009139	0.011002
fold_nv_cah3033301.zip	132afe59d684f93af53e116d689f7b2cd0acfc7197a756f74f6aff68db17bb13	4	0.296687	0.009157	0.009660	0.296687	0.009166	0.009670
fold_nv_cah3116438.zip	c289c06678da15d50729eb6abf338af98143bb872182696f8b1c7959a23e8311	0	0.035028	0.036311	0.018357	0.305660	0.058225	0.026289
fold_nv_cah3116438.zip	c289c06678da15d50729eb6abf338af98143bb872182696f8b1c7959a23e8311	1	0.491896	0.026978	0.014169	0.491896	0.028048	0.019686
fold_nv_cah3116438.zip	c289c06678da15d50729eb6abf338af98143bb872182696f8b1c7959a23e8311	2	0.481627	0.017175	0.017613	0.481627	0.020003	0.023971
fold_nv_cah3116438.zip	c289c06678da15d50729eb6abf338af98143bb872182696f8b1c7959a23e8311	3	0.244650	0.027436	0.014215	0.244650	0.034387	0.025696
fold_nv_cah3116438.zip	c289c06678da15d50729eb6abf338af98143bb872182696f8b1c7959a23e8311	4	0.463187	0.015830	0.012869	0.463187	0.016924	0.013752
fold_nv_cah3124889.zip	d7bdb33536531f10db4f87925ebd88e29bcc0753347b7b3c146675a0b07d5554	0	0.067987	0.009091	0.008837	0.244424	0.009356	0.009040
fold_nv_cah3124889.zip	d7bdb33536531f10db4f87925ebd88e29bcc0753347b7b3c146675a0b07d5554	1	0.023080	0.009027	0.009103	0.029845	0.009213	0.009123
fold_nv_cah3124889.zip	d7bdb33536531f10db4f87925ebd88e29bcc0753347b7b3c146675a0b07d5554	2	0.031553	0.008850	0.009126	0.266877	0.008964	0.009126
fold_nv_cah3124889.zip	d7bdb33536531f10db4f87925ebd88e29bcc0753347b7b3c146675a0b07d5554	3	0.014212	0.008569	0.008882	0.277172	0.008661	0.008923
fold_nv_cah3124889.zip	d7bdb33536531f10db4f87925ebd88e29bcc0753347b7b3c146675a0b07d5554	4	0.040608	0.008814	0.008681	0.260477	0.009127	0.008871
fold_nv_cah3140492.zip	cb7c65ff9513dfb07201f0c3b69d27c4d9dbd9f293a489fc6625e61a74ca82cc	0	0.036942	0.011745	0.019103	0.257214	0.024820	0.022168
fold_nv_cah3140492.zip	cb7c65ff9513dfb07201f0c3b69d27c4d9dbd9f293a489fc6625e61a74ca82cc	1	0.100389	0.028223	0.018379	0.298554	0.028223	0.022331
fold_nv_cah3140492.zip	cb7c65ff9513dfb07201f0c3b69d27c4d9dbd9f293a489fc6625e61a74ca82cc	2	0.127375	0.013870	0.013065	0.265373	0.037862	0.014362
fold_nv_cah3140492.zip	cb7c65ff9513dfb07201f0c3b69d27c4d9dbd9f293a489fc6625e61a74ca82cc	3	0.053604	0.026629	0.014550	0.238515	0.036965	0.015892
fold_nv_cah3140492.zip	cb7c65ff9513dfb07201f0c3b69d27c4d9dbd9f293a489fc6625e61a74ca82cc	4	0.133064	0.017189	0.013805	0.328847	0.030625	0.014281
fold_nv_cah3146082.zip	dfaaf5dce82efc0af8e43bcb1b638416cc198bb3fa44490b51edba395636206c	0	0.276889	0.331464	0.187358	0.753154	0.331464	0.218757
fold_nv_cah3146082.zip	dfaaf5dce82efc0af8e43bcb1b638416cc198bb3fa44490b51edba395636206c	1	0.753899	0.254901	0.216329	0.753899	0.254901	0.216329
fold_nv_cah3146082.zip	dfaaf5dce82efc0af8e43bcb1b638416cc198bb3fa44490b51edba395636206c	2	0.145484	0.236989	0.157354	0.748398	0.290737	0.221788
fold_nv_cah3146082.zip	dfaaf5dce82efc0af8e43bcb1b638416cc198bb3fa44490b51edba395636206c	3	0.151763	0.298084	0.268802	0.769235	0.298084	0.297042
fold_nv_cah3146082.zip	dfaaf5dce82efc0af8e43bcb1b638416cc198bb3fa44490b51edba395636206c	4	0.093521	0.344230	0.172877	0.748820	0.344230	0.205833
fold_nv_cah3148052.zip	a598d5ae94516cf12c9247c7d1fbda345ba4b1e0b366fd01eaf01f29117cfbec	0	0.411211	0.010724	0.011118	0.411211	0.014479	0.015159
fold_nv_cah3148052.zip	a598d5ae94516cf12c9247c7d1fbda345ba4b1e0b366fd01eaf01f29117cfbec	1	0.226264	0.011261	0.011399	0.457381	0.019477	0.039046
fold_nv_cah3148052.zip	a598d5ae94516cf12c9247c7d1fbda345ba4b1e0b366fd01eaf01f29117cfbec	2	0.064651	0.012570	0.014830	0.395083	0.030662	0.018272
fold_nv_cah3148052.zip	a598d5ae94516cf12c9247c7d1fbda345ba4b1e0b366fd01eaf01f29117cfbec	3	0.026826	0.011192	0.011606	0.411002	0.025485	0.016916
fold_nv_cah3148052.zip	a598d5ae94516cf12c9247c7d1fbda345ba4b1e0b366fd01eaf01f29117cfbec	4	0.038964	0.027265	0.018118	0.389045	0.033515	0.025084
fold_nv_cah3158544.zip	6904c66d4fd0eb9b379e232b7b148e6e4c0805474e256228e4c1e8ed90e48386	0	0.735044	0.288592	0.048528	0.735044	0.288592	0.225781
fold_nv_cah3158544.zip	6904c66d4fd0eb9b379e232b7b148e6e4c0805474e256228e4c1e8ed90e48386	1	0.169231	0.262819	0.271838	0.728497	0.262819	0.271838
fold_nv_cah3158544.zip	6904c66d4fd0eb9b379e232b7b148e6e4c0805474e256228e4c1e8ed90e48386	2	0.079326	0.271336	0.211664	0.730664	0.271336	0.211664
fold_nv_cah3158544.zip	6904c66d4fd0eb9b379e232b7b148e6e4c0805474e256228e4c1e8ed90e48386	3	0.167122	0.290639	0.207031	0.729975	0.290639	0.207031
fold_nv_cah3158544.zip	6904c66d4fd0eb9b379e232b7b148e6e4c0805474e256228e4c1e8ed90e48386	4	0.011872	0.298742	0.239815	0.713224	0.298742	0.239815
fold_nv_cah3158546.zip	f4edadc772bbd192bc2fdcd959527bb4829bd7e2fe863a9bd1259b20ca278bb2	0	0.837044	0.588681	0.094896	0.837044	0.588681	0.430816
fold_nv_cah3158546.zip	f4edadc772bbd192bc2fdcd959527bb4829bd7e2fe863a9bd1259b20ca278bb2	1	0.270242	0.598581	0.336872	0.824591	0.598581	0.336872
