Target Name	Type
KAK3739735.1	p105-like
CAH3027709.1	p105-like
CAH3136379.1	p105-like
CAH3186488.1	p105-like
CAH3117715.1	p105-like
XP_015766406.1	p105-like
XP_020916759.1	p105-like
XP_022789210.1	p105-like
XP_022789211.1	p105-like
XP_027038010.1	p105-like
XP_029186950.1	p105-like
XP_031565156.1	p105-like
XP_031565157.1	p105-like
XP_029186950.2	p105-like
XP_058970121.1	p105-like
XP_067053651.1	p105-like
XP_068721954.1	p105-like
XP_068704788.1	p105-like
XP_073234456.1	p105-like
XP_020612557.1	p105-like
KAK2568458.1	p50-like
CAH3185197.1	p50-like
CAH3186482.1	p50-like
XP_032228246.1	p50-like
XP_028414684.1	p50-like
XP_028414852.1	p50-like
XP_065051077.1	p50-like
XP_046859971.1	p50-like
XP_048580668.1	p50-like
XP_048580669.1	p50-like
