transcript_id	locus_id	rank	score	raw_score	strand	transcript_length	locus_length	transcript_coverage	identity	gap_count	gap_bases	transcript_start	transcript_end	locus_start	locus_end
siderastrea_host_TRINITY_DN444826_c1_g4_i2_1045_2	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e_cds_ikb1-like	1	29.118773946360154	608.0	+	1044	1176	0.9032567049808429	0.7857900318133616	34	132	43	1043	4	1022
siderastrea_host_TRINITY_DN444826_c1_g4_i2_1045_2	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39_cds_ikb2-like	2	3.496168582375479	73.0	+	1044	993	0.22509578544061304	0.7063829787234043	8	20	576	821	318	563
siderastrea_host_TRINITY_DN444826_c1_g4_i2_1045_2	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07_cds_ikba-like	3	2.3946360153256707	50.0	+	1044	1149	0.05268199233716475	0.8545454545454545	3	8	973	1029	847	909
siderastrea_host_TRINITY_DN444826_c1_g4_i2_1045_2	BLAZ01000634.1_p105-like_cnidaria_42ec6be3_cds_p105-like	4	1.628352490421456	34.0	+	1044	2805	0.0210727969348659	0.9090909090909091	0	0	574	596	1600	1622
siderastrea_host_TRINITY_DN453364_c1_g2_i2_1_1521	BLAZ01000634.1_p105-like_cnidaria_42ec6be3_cds_p105-like	1	19.62524654832347	597.0	+	1521	2805	0.796844181459566	0.8094059405940595	44	496	6	1517	1029	2438
siderastrea_host_TRINITY_DN453364_c1_g2_i2_1_1521	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07_cds_ikba-like	2	1.7094017094017093	52.0	+	1521	1149	0.055884286653517426	0.8588235294117647	9	22	1160	1259	962	1055
siderastrea_host_TRINITY_DN453364_c1_g2_i2_1_1521	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39_cds_ikb2-like	3	1.413543721236029	43.0	+	1521	993	0.022353714661406968	0.8529411764705882	0	0	772	806	433	467
siderastrea_host_TRINITY_DN453364_c1_g2_i2_1_1521	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e_cds_ikb1-like	4	1.1176857330703485	34.0	+	1521	1176	0.05654174884944116	0.8953488372093024	14	37	755	852	842	954
siderastrea_host_TRINITY_DN451935_c2_g2_i5_196_1293	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07_cds_ikba-like	1	35.51912568306011	780.0	+	1098	1149	0.9426229508196722	0.7951690821256039	34	94	0	1064	3	1103
siderastrea_host_TRINITY_DN451935_c2_g2_i5_196_1293	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e_cds_ikb1-like	2	3.051001821493625	67.0	+	1098	1176	0.06466302367941712	0.8169014084507042	2	2	806	878	944	1016
siderastrea_host_TRINITY_DN451935_c2_g2_i5_196_1293	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39_cds_ikb2-like	3	2.8233151183970855	62.0	+	1098	993	0.06466302367941712	0.7746478873239436	0	0	807	878	723	794
siderastrea_host_TRINITY_DN451935_c2_g2_i5_196_1293	BLAZ01000634.1_p105-like_cnidaria_42ec6be3_cds_p105-like	4	1.5938069216757742	35.0	+	1098	2805	0.08196721311475409	0.7444444444444445	5	10	924	1019	2085	2180
siderastrea_host_TRINITY_DN442751_c0_g3_i5_8_742	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39_cds_ikb2-like	1	42.7891156462585	629.0	+	735	993	0.9687074829931973	0.7893258426966292	7	17	10	729	271	993
siderastrea_host_TRINITY_DN442751_c0_g3_i5_8_742	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07_cds_ikba-like	2	2.7210884353741496	40.0	+	735	1149	0.20136054421768707	0.7432432432432432	8	34	151	311	486	656
siderastrea_host_TRINITY_DN442751_c0_g3_i5_8_742	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e_cds_ikb1-like	3	2.17687074829932	32.0	+	735	1176	0.055782312925170066	0.7804878048780488	1	1	154	196	652	693
siderastrea_host_TRINITY_DN442751_c0_g3_i5_8_742	BLAZ01000634.1_p105-like_cnidaria_42ec6be3_cds_p105-like	4	1.9047619047619047	28.0	+	735	2805	0.09523809523809523	0.8285714285714286	9	16	409	492	577	650
siderastrea_host_TRINITY_DN450483_c1_g1_i4_321_1223	BLAZ01000634.1_p105-like_cnidaria_42ec6be3_cds_p105-like	1	38.31672203765227	692.0	+	903	2805	0.9545957918050941	0.8213457076566125	31	138	0	886	0	976
siderastrea_host_TRINITY_DN450483_c1_g1_i4_321_1223	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e_cds_ikb1-like	2	1.6057585825027685	29.0	+	903	1176	0.06755260243632337	0.7704918032786885	4	7	420	483	689	755
siderastrea_host_TRINITY_DN450483_c1_g1_i4_321_1223	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07_cds_ikba-like	3	1.495016611295681	27.0	+	903	1149	0.03875968992248062	0.9428571428571428	5	13	435	473	664	709
siderastrea_host_TRINITY_DN450483_c1_g1_i4_321_1223	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39_cds_ikb2-like	4	1.3289036544850499	24.0	-	903	993	0.02768549280177187	0.88	2	3	696	722	770	797
