protein accession	genome accession	contig accession	sequence accession	locus start 1b	locus end 1b	strand	sequence length	feature type	feature index	feature position 1b	error
KAJ7330771.1	GCA_029204205.1	MU827791.1		964277	967185	+	2909	dss	1	401	
KAJ7330771.1	GCA_029204205.1	MU827791.1		964277	967185	+	2909	dss	2	1073	
KAJ7330771.1	GCA_029204205.1	MU827791.1		964277	967185	+	2909	dss	3	1458	
KAJ7330771.1	GCA_029204205.1	MU827791.1		964277	967185	+	2909	dss	4	2211	
KAJ7330771.1	GCA_029204205.1	MU827791.1		964277	967185	+	2909	dss	5	2583	
KAJ7330771.1	GCA_029204205.1	MU827791.1		964277	967185	+	2909	ass	1	968	
KAJ7330771.1	GCA_029204205.1	MU827791.1		964277	967185	+	2909	ass	2	1224	
KAJ7330771.1	GCA_029204205.1	MU827791.1		964277	967185	+	2909	ass	3	2123	
KAJ7330771.1	GCA_029204205.1	MU827791.1		964277	967185	+	2909	ass	4	2335	
KAJ7330771.1	GCA_029204205.1	MU827791.1		964277	967185	+	2909	ass	5	2880	
KAJ7378236.1	GCA_029204205.1	MU826368.1		725539	722801	-	2739	dss	1	7	
KAJ7378236.1	GCA_029204205.1	MU826368.1		725539	722801	-	2739	dss	2	1141	
KAJ7378236.1	GCA_029204205.1	MU826368.1		725539	722801	-	2739	dss	3	2038	
KAJ7378236.1	GCA_029204205.1	MU826368.1		725539	722801	-	2739	dss	4	2540	
KAJ7378236.1	GCA_029204205.1	MU826368.1		725539	722801	-	2739	ass	1	1030	
KAJ7378236.1	GCA_029204205.1	MU826368.1		725539	722801	-	2739	ass	2	1648	
KAJ7378236.1	GCA_029204205.1	MU826368.1		725539	722801	-	2739	ass	3	2322	
KAJ7378236.1	GCA_029204205.1	MU826368.1		725539	722801	-	2739	ass	4	2659	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	dss	1	914	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	dss	2	1400	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	dss	3	4381	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	dss	4	7412	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	dss	5	9024	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	dss	6	9825	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	ass	1	1052	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	ass	2	4279	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	ass	3	7199	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	ass	4	8936	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	ass	5	9580	
KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1		1392954	1380231	-	12724	ass	6	9913	
KAK2566512.1	GCA_032359415.1	JARQWQ010000016.1		1416830	1408516	-	8315	dss	1	1060	
KAK2566512.1	GCA_032359415.1	JARQWQ010000016.1		1416830	1408516	-	8315	dss	2	3470	
KAK2566512.1	GCA_032359415.1	JARQWQ010000016.1		1416830	1408516	-	8315	dss	3	4057	
KAK2566512.1	GCA_032359415.1	JARQWQ010000016.1		1416830	1408516	-	8315	dss	4	4808	
KAK2566512.1	GCA_032359415.1	JARQWQ010000016.1		1416830	1408516	-	8315	ass	1	3359	
KAK2566512.1	GCA_032359415.1	JARQWQ010000016.1		1416830	1408516	-	8315	ass	2	3667	
KAK2566512.1	GCA_032359415.1	JARQWQ010000016.1		1416830	1408516	-	8315	ass	3	4599	
KAK2566512.1	GCA_032359415.1	JARQWQ010000016.1		1416830	1408516	-	8315	ass	4	6619	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	dss	1	413	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	dss	2	941	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	dss	3	1355	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	dss	4	2297	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	dss	5	2920	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	dss	6	3140	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	dss	7	8197	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	dss	8	8867	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	ass	1	836	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	ass	2	1121	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	ass	3	2209	
