detection_type	detection_method	batch	query_accession	query_database	query_type	target_accession	target_database	target_type	target_model	query_start	query_end	target_start	target_end	evalue	bitscore	bitscore_threshold	custom_metric_name	custom_metric_value
sequence	hmm	20260917_0091bb29	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07	_	protein	IkBa-like_cnidaria	_	protein		1	373	1	371	3.7e-192	626.3	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLAZ01000634.1_p105-like_cnidaria_42ec6be3	_	protein	p105-like_cnidaria	_	protein		1	910	1	910	0.0	1599.6	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e	_	protein	IkB-like-1_cnidaria	_	protein		3	392	15	416	1.6e-185	605.5	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39	_	protein	IkB-like-2_cnidaria	_	protein		2	362	4	369	2.9e-160	521.6	300.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLEZ01000629.1_IkB-like-1_cnidaria_01b137d4	_	protein	IkB-like-1_cnidaria	_	protein		3	392	16	417	6e-189	616.8	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLEZ01000629.1_IkB-like-2_cnidaria_0572989b	_	protein	IkB-like-2_cnidaria	_	protein		2	364	4	371	3.7e-163	531.1	300.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLEZ01000773.1_p105-like_cnidaria_c43d54bd	_	protein	p105-like_cnidaria	_	protein		1	912	1	910	0.0	1767.3	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLEZ01003045.1_IkBa-like_cnidaria_dbd06efd	_	protein	IkBa-like_cnidaria	_	protein		1	373	1	371	1.5e-197	644.1	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLFE01000447.1_IkBa-like_cnidaria_12d513b1	_	protein	IkBa-like_cnidaria	_	protein		1	373	1	371	1.8e-191	624.0	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLFE01004004.1_IkB-like-1_cnidaria_d30b3adf	_	protein	IkB-like-1_cnidaria	_	protein		3	393	15	417	2.7e-187	611.4	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLFE01004004.1_IkB-like-2_cnidaria_bb7b20e5	_	protein	IkB-like-2_cnidaria	_	protein		2	367	4	374	4.8e-163	530.8	300.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	BLFE01006569.1_p105-like_cnidaria_aa59d0aa	_	protein	p105-like_cnidaria	_	protein		1	913	1	910	0.0	1768.5	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CALNXI010000943.1_IkBa-like_cnidaria_00703371	_	protein	IkBa-like_cnidaria	_	protein		2	370	3	371	1e-205	671.0	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CALNXJ010000016.1_p105-like_cnidaria_b4389a93	_	protein	p105-like_cnidaria	_	protein		1	916	1	910	0.0	1775.2	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CALNXJ010000034.1_IkBa-like_cnidaria_66571076	_	protein	IkBa-like_cnidaria	_	protein		2	375	3	372	5.1e-199	648.9	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CALNXJ010000041.1_IkB-like-1_cnidaria_d9883b6d	_	protein	IkB-like-1_cnidaria	_	protein		1	414	1	416	2.9e-194	634.4	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CALNXJ010000041.1_IkB-like-2_cnidaria_209c0d6c	_	protein	IkB-like-2_cnidaria	_	protein		2	371	3	369	4.8e-170	553.8	300.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CALNXK010000029.1_IkBa-like_cnidaria_36d8db0b	_	protein	IkBa-like_cnidaria	_	protein		2	370	3	371	1.4e-205	670.5	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CALNXK010000057.1_p105-like_cnidaria_3ac67995	_	protein	p105-like_cnidaria	_	protein		1	456	1	462	2.6e-222	728.2	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CM106371.1_p105-like_cnidaria_95385fb0	_	protein	p105-like_cnidaria	_	protein		1	919	1	910	0.0	1700.2	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CM106374.1_p105-like_cnidaria_e0ab6510	_	protein	p105-like_cnidaria	_	protein		2	355	53	411	1.3e-191	626.7	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CM106375.1_IkB-like-1_cnidaria_a32257ab	_	protein	IkB-like-1_cnidaria	_	protein		1	408	1	414	3.1e-187	611.2	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CM106375.1_IkB-like-2_cnidaria_c879bcb4	_	protein	IkB-like-2_cnidaria	_	protein		3	374	5	369	2.4e-161	525.2	300.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	CM106380.1_IkBa-like_cnidaria_9f645d40	_	protein	IkBa-like_cnidaria	_	protein		1	370	1	372	3e-200	652.9	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	JAJLRJ010000002.1_p105-like_cnidaria_1c165c91	_	protein	p105-like_cnidaria	_	protein		1	904	1	910	0.0	1677.3	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	JAJLRJ010000006.1_IkBa-like_cnidaria_b0374efe	_	protein	IkBa-like_cnidaria	_	protein		2	370	3	372	1.7e-200	653.8	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	JAJLRJ010000010.1_IkB-like-1_cnidaria_49902b19	_	protein	IkB-like-1_cnidaria	_	protein		1	411	1	412	5.7e-187	610.3	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	JAJLRJ010000010.1_IkB-like-2_cnidaria_0ad31e39	_	protein	IkB-like-2_cnidaria	_	protein		2	369	6	367	1.8e-158	515.7	300.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	JARQWQ010000012.1_p105-like_cnidaria_21f51161	_	protein	p105-like_cnidaria	_	protein		1	912	1	910	0.0	1769.9	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	JARQWQ010000014.1_IkBa-like_cnidaria_9832f2a5	_	protein	IkBa-like_cnidaria	_	protein		1	373	1	371	1e-198	647.9	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	MPSW01000736.1_IkB-like-1_cnidaria_3ae602e1	_	protein	IkB-like-1_cnidaria	_	protein		1	413	1	413	6.1e-122	491.5	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	MPSW01000736.1_IkB-like-2_cnidaria_21607528	_	protein	IkB-like-2_cnidaria	_	protein		2	361	5	369	2.1e-159	518.8	300.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	MPSW01003764.1_p105-like_cnidaria_566e8a75	_	protein	p105-like_cnidaria	_	protein		1	914	1	910	4.6e-244	1443.8000000000002	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	MPSW01005782.1_IkBa-like_cnidaria_ad08a3a6	_	protein	IkBa-like_cnidaria	_	protein		3	368	4	372	1.9e-192	627.3	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	MU826351.1_p105-like_cnidaria_8da2a243	_	protein	p105-like_cnidaria	_	protein		1	915	1	910	0.0	1771.4	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	MU826368.1_IkB-like-1_cnidaria_06294bfc	_	protein	IkB-like-1_cnidaria	_	protein		1	405	1	414	9e-173	563.5	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	MU826368.1_IkB-like-1_cnidaria_d06fa176	_	protein	IkB-like-1_cnidaria	_	protein		1	405	1	414	6.6e-170	554.1	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	MU827791.1_IkBa-like_cnidaria_6b58b217	_	protein	IkBa-like_cnidaria	_	protein		2	368	3	371	9.6e-201	654.6	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	NC_133202.1_p105-like_cnidaria_3c8e6130	_	protein	p105-like_cnidaria	_	protein		1	424	1	427	3.9e-257	843.4	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	NW_015441067.1_p105-like_cnidaria_c1c4e8b6	_	protein	p105-like_cnidaria	_	protein		1	912	1	910	6.2e-263	1335.1	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	NW_015441482.1_IkB-like-1_cnidaria_9cc761db	_	protein	IkB-like-1_cnidaria	_	protein		3	394	15	417	6.8e-188	613.4	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	NW_018149324.1_p105-like_cnidaria_989546e4	_	protein	p105-like_cnidaria	_	protein		1	918	1	910	0.0	1572.4	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	OZ116701.1_IkBa-like_cnidaria_f420e57a	_	protein	IkBa-like_cnidaria	_	protein		3	368	4	372	3.8e-200	652.6	350.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	OZ116704.1_IkB-like-1_cnidaria_ac0dd393	_	protein	IkB-like-1_cnidaria	_	protein		1	413	1	413	6.2e-186	606.9	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	OZ116704.1_IkB-like-2_cnidaria_1a064885	_	protein	IkB-like-2_cnidaria	_	protein		2	361	5	369	1e-159	519.8	300.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	OZ116707.1_p105-like_cnidaria_9f32f0b0	_	protein	p105-like_cnidaria	_	protein		1	918	1	910	0.0	1755.4	500.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	RDEB01000045.1_IkB-like-1_cnidaria_d454fb31	_	protein	IkB-like-1_cnidaria	_	protein		2	400	7	414	7.5e-184	600.0	400.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	RDEB01000045.1_IkB-like-2_cnidaria_912ea7a3	_	protein	IkB-like-2_cnidaria	_	protein		2	345	4	369	1.4e-164	535.8	300.0	evalue-rank	1.0
sequence	hmm	20260917_0091bb29	RDEB01000241.1_IkBa-like_cnidaria_d5b655b1	_	protein	IkBa-like_cnidaria	_	protein		1	373	1	372	2.6e-200	653.1	350.0	evalue-rank	1.0
