threshold bitscore	tp	fp	tn	fn	sensitivity	specificity	balanced accuracy	selected
595	1	0	17	27	0.0357143	1	0.517857	
589.9	2	0	17	26	0.0714286	1	0.535714	
589.1	3	0	17	25	0.107143	1	0.553571	
588.6	4	0	17	24	0.142857	1	0.571429	
588.2	5	0	17	23	0.178571	1	0.589286	
583.6	6	0	17	22	0.214286	1	0.607143	
581.2	7	0	17	21	0.25	1	0.625	
580.7	8	0	17	20	0.285714	1	0.642857	
579.5	9	0	17	19	0.321429	1	0.660714	
568.2	10	0	17	18	0.357143	1	0.678571	
560.8	17	0	17	11	0.607143	1	0.803571	
560.7	18	0	17	10	0.642857	1	0.821429	
554	20	0	17	8	0.714286	1	0.857143	
544.3	21	0	17	7	0.75	1	0.875	
521.7	22	0	17	6	0.785714	1	0.892857	
521.3	22	1	16	6	0.785714	0.941176	0.863445	
517.7	23	1	16	5	0.821429	0.941176	0.881303	
517.3	24	1	16	4	0.857143	0.941176	0.89916	
513.2	24	2	15	4	0.857143	0.882353	0.869748	
509.2	24	3	14	4	0.857143	0.823529	0.840336	
493.7	26	3	14	2	0.928571	0.823529	0.87605	
487	28	3	14	0	1	0.823529	0.911765	true
485.2	28	4	13	0	1	0.764706	0.882353	
472.9	28	5	12	0	1	0.705882	0.852941	
263.6	28	6	11	0	1	0.647059	0.823529	
259.6	28	7	10	0	1	0.588235	0.794118	
247.3	28	9	8	0	1	0.470588	0.735294	
237.9	28	10	7	0	1	0.411765	0.705882	
231.4	28	11	6	0	1	0.352941	0.676471	
229.4	28	12	5	0	1	0.294118	0.647059	
200.3	28	13	4	0	1	0.235294	0.617647	
183	28	14	3	0	1	0.176471	0.588235	
181.2	28	15	2	0	1	0.117647	0.558824	
169.5	28	16	1	0	1	0.0588235	0.529412	
80.2	28	17	0	0	1	0	0.5	
# selected threshold bitscore 487
# false positives
# CAK9091470.1_with_leader_u18_PF00081_M 513.2
# CAK9113185.1_with_leader_u64_PF00081_M 521.3
# CAXAMN010027806.1_K04564_f0a63ebd_with_leader_u18_PF00081_M 509.2
# false negatives
