protein accession	genome accession	sequence accession	start label	start aa 1b	protein start aa 1b	end aa 1b
KAK2571078.1	GCA_032359415.1	KAK2571078.1		1	1	
CAB4008759.1	GCA_902702795.2	CAB4008759.1		1	1	
CAB4008760.1	GCA_902702795.2	CAB4008760.1		1	1	
CAH3142341.1	GCA_942486025.1	CAH3142341.1		1	1	
CAH3177371.1	GCA_942486035.1	CAH3177371.1		1	1	
CAH3112410.1	GCA_942486045.1	CAH3112410.1		1	1	
XP_032241990.1	GCF_000209225.1	XP_032241990.1		1	1	
XP_020907277.1	GCF_001417965.1	XP_020907277.1		1	1	
XP_020631398.1	GCF_002042975.1	XP_020631398.1		1	1	
XP_020631399.1	GCF_002042975.1	XP_020631399.1		1	1	
XP_020631400.1	GCF_002042975.1	XP_020631400.1		1	1	
XP_027051194.1	GCF_003704095.1	XP_027051194.1		1	1	
XP_029201599.1	GCF_004143615.1	XP_029201599.1		1	1	
XP_029201600.1	GCF_004143615.1	XP_029201600.1		1	1	
XP_029201601.1	GCF_004143615.1	XP_029201601.1		1	1	
XP_029201602.1	GCF_004143615.1	XP_029201602.1		1	1	
XP_029201604.1	GCF_004143615.1	XP_029201604.1		1	1	
XP_029201605.1	GCF_004143615.1	XP_029201605.1		1	1	
XP_029201606.1	GCF_004143615.1	XP_029201606.1		1	1	
XP_028410870.1	GCF_004324835.1	XP_028410870.1		1	1	
XP_029201599.2	GCF_013753865.1	XP_029201599.2		1	1	
XP_029201600.2	GCF_013753865.1	XP_029201600.2		1	1	
XP_029201601.2	GCF_013753865.1	XP_029201601.2		1	1	
XP_029201602.2	GCF_013753865.1	XP_029201602.2		1	1	
XP_029201604.2	GCF_013753865.1	XP_029201604.2		1	1	
XP_029201605.2	GCF_013753865.1	XP_029201605.2		1	1	
XP_029201606.2	GCF_013753865.1	XP_029201606.2		1	1	
XP_058954196.1	GCF_030620025.1	XP_058954196.1		1	1	
XP_058970715.1	GCF_030620025.1	XP_058970715.1		1	1	
XP_058970716.1	GCF_030620025.1	XP_058970716.1		1	1	
XP_058970717.1	GCF_030620025.1	XP_058970717.1		1	1	
XP_058970718.1	GCF_030620025.1	XP_058970718.1		1	1	
XP_058970719.1	GCF_030620025.1	XP_058970719.1		1	1	
XP_058970720.1	GCF_030620025.1	XP_058970720.1		1	1	
XP_067024951.1	GCF_036669905.1	XP_067024951.1		1	1	
XP_067024952.1	GCF_036669905.1	XP_067024952.1		1	1	
XP_067024953.1	GCF_036669905.1	XP_067024953.1		1	1	
XP_067024954.1	GCF_036669905.1	XP_067024954.1		1	1	
XP_067024956.1	GCF_036669905.1	XP_067024956.1		1	1	
XP_067024957.1	GCF_036669905.1	XP_067024957.1		1	1	
XP_067024958.1	GCF_036669905.1	XP_067024958.1		1	1	
XP_058970715.2	GCF_036669915.1	XP_058970715.2		1	1	
XP_058970716.2	GCF_036669915.1	XP_058970716.2		1	1	
XP_058970717.2	GCF_036669915.1	XP_058970717.2		1	1	
XP_058970718.2	GCF_036669915.1	XP_058970718.2		1	1	
XP_058970720.2	GCF_036669915.1	XP_058970720.2		1	1	
XP_066030225.1	GCF_036669915.1	XP_066030225.1		1	1	
XP_068758769.1	GCF_036669925.1	XP_068758769.1		1	1	
XP_068758770.1	GCF_036669925.1	XP_068758770.1		1	1	
XP_068714720.1	GCF_036669935.1	XP_068714720.1		1	1	
XP_068714721.1	GCF_036669935.1	XP_068714721.1		1	1	
XP_068714722.1	GCF_036669935.1	XP_068714722.1		1	1	
XP_068714723.1	GCF_036669935.1	XP_068714723.1		1	1	
XP_048586520.1	GCF_932526225.1	XP_048586520.1		1	1	
XP_073228812.1	GCF_958299795.1	XP_073228812.1		1	1	
