protein accession	genome accession	contig accession	sequence accession	locus start 1b	locus end 1b	strand	sequence length	feature type	feature index	feature position 1b	error
DF239687.1_K04564_210fd9cb	GCA_000507305.1	DF239687.1	DF239687.1_K04564_210fd9cb_with_leader_u55_PF00081_M_to_K04564_203	200751	199966	-	786	start		1	
DF239687.1_K04564_210fd9cb	GCA_000507305.1	DF239687.1	DF239687.1_K04564_210fd9cb_with_leader_u39_PF00081_M_to_K04564_203	200751	199966	-	786	start		49	
DF239687.1_K04564_387475d1	GCA_000507305.1	DF239687.1	DF239687.1_K04564_387475d1_with_leader_u55_PF00081_M_to_K04564_203	231945	231160	-	786	start		1	
DF239687.1_K04564_387475d1	GCA_000507305.1	DF239687.1	DF239687.1_K04564_387475d1_with_leader_u39_PF00081_M_to_K04564_203	231945	231160	-	786	start		49	
DF239687.1_K04564_8557d9bb	GCA_000507305.1	DF239687.1	DF239687.1_K04564_8557d9bb_with_leader_u55_PF00081_M_to_K04564_203	205970	205188	-	783	start		1	
DF239687.1_K04564_8557d9bb	GCA_000507305.1	DF239687.1	DF239687.1_K04564_8557d9bb_with_leader_u39_PF00081_M_to_K04564_203	205970	205188	-	783	start		49	
LSRX01000795.1_K04564_1fcb6a32	GCA_001939145.1	LSRX01000795.1	LSRX01000795.1_K04564_1fcb6a32_with_leader_u60_PF00081_M_to_K04564_198	320827	319324	-	1504	start		1	
LSRX01000795.1_K04564_1fcb6a32	GCA_001939145.1	LSRX01000795.1	LSRX01000795.1_K04564_1fcb6a32_with_leader_u36_PF00081_M_to_K04564_198	320827	319324	-	1504	start		73	
LSRX01000795.1_K04564_1fcb6a32	GCA_001939145.1	LSRX01000795.1		320827	319324	-	1504	dss	1	315	
LSRX01000795.1_K04564_1fcb6a32	GCA_001939145.1	LSRX01000795.1		320827	319324	-	1504	dss	2	614	
LSRX01000795.1_K04564_1fcb6a32	GCA_001939145.1	LSRX01000795.1		320827	319324	-	1504	dss	3	1082	
LSRX01000795.1_K04564_1fcb6a32	GCA_001939145.1	LSRX01000795.1		320827	319324	-	1504	ass	1	453	
LSRX01000795.1_K04564_1fcb6a32	GCA_001939145.1	LSRX01000795.1		320827	319324	-	1504	ass	2	948	
LSRX01000795.1_K04564_1fcb6a32	GCA_001939145.1	LSRX01000795.1		320827	319324	-	1504	ass	3	1289	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	1	33	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	2	2032	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	3	2161	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	4	2278	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	5	2711	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	6	4524	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	7	4992	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	8	5162	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	9	5270	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	10	5355	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	11	5467	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	12	5584	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	13	5659	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	14	5747	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	15	5875	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	16	6085	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	17	6608	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	18	6767	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	19	6947	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	20	7237	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	21	7641	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	22	7761	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	23	7984	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	24	8110	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	25	8216	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	26	8300	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	27	8387	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	28	8789	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	dss	29	9077	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	1	1976	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	2	2117	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	3	2222	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	4	2658	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	5	2887	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	6	4945	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	7	5091	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	8	5228	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	9	5324	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	10	5417	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	11	5540	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	12	5634	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	13	5715	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	14	5815	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	15	5928	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	16	6555	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	17	6706	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	18	6847	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	19	7142	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	20	7576	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	21	7729	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	22	7868	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	23	8075	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	24	8183	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	25	8271	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	26	8367	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	27	8765	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	28	9034	
OLP79028.1	GCA_001939145.1	LSRX01001534.1		923	10074	+	9152	ass	29	9139	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	1	40	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	2	144	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	3	258	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	4	366	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	5	490	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	6	631	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	7	753	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	8	849	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	9	1157	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	10	1279	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	11	1444	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	12	1523	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	13	1625	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	14	1744	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	15	1857	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	16	1956	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	17	2060	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	18	2253	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	19	4567	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	20	4667	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	21	4801	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	22	4930	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	23	5298	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	24	5410	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	25	5476	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	26	6132	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	27	6659	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	28	6771	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	29	6878	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	30	6977	
OLP88777.1	GCA_001939145.1	LSRX01000795.1		337676	319080	-	18597	dss	31	7834	
