protein_accession,start,stop
siderastrea_host_TRINITY_DN442751_c0_g3_i11.p1,4,164
siderastrea_host_TRINITY_DN442751_c0_g3_i5.p1,4,246
siderastrea_host_TRINITY_DN442751_c0_g3_i8.p1,1,116
siderastrea_host_TRINITY_DN442751_c0_g3_i9.p1,4,136
siderastrea_host_TRINITY_DN444826_c1_g4_i3.p2,1,129
siderastrea_host_TRINITY_DN450483_c1_g1_i4.p1,1,301
siderastrea_host_TRINITY_DN450483_c1_g1_i4.p1,1,301
siderastrea_host_TRINITY_DN450483_c1_g1_i5.p1,1,300
siderastrea_host_TRINITY_DN450483_c1_g1_i5.p1,1,300
siderastrea_host_TRINITY_DN451935_c2_g2_i5.p1,2,367
siderastrea_host_TRINITY_DN451935_c2_g2_i9.p1,2,248
siderastrea_host_TRINITY_DN453364_c1_g2_i10.p1,1,384
siderastrea_host_TRINITY_DN453364_c1_g2_i2.p1,1,129
siderastrea_host_TRINITY_DN453364_c1_g2_i2.p1,1,507
