transcript_id	locus_id	rank	score	raw_score	strand	transcript_length	locus_length	transcript_coverage	identity	gap_count	gap_bases	transcript_start	transcript_end	locus_start	locus_end
a_tenuis_TRINITY_DN17808_c1_g1_i1_1535_369	BLAZ01000634.1_p105-like_cnidaria_42ec6be3_cds_p105-like	1	91.60239931448157	2138.0	+	1167	2805	0.9965724078834619	0.9914015477214101	6	114	4	1167	202	1479
a_tenuis_TRINITY_DN17808_c1_g1_i1_1535_369	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e_cds_ikb1-like	2	1.1568123393316196	27.0	-	1167	1176	0.07112253641816624	0.8554216867469879	13	27	420	507	392	498
a_tenuis_TRINITY_DN17808_c1_g1_i1_1535_369	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39_cds_ikb2-like	3	1.113967437874893	26.0	+	1167	993	0.023993144815766924	0.8571428571428571	2	2	385	414	712	741
a_tenuis_TRINITY_DN17808_c1_g1_i1_1535_369	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07_cds_ikba-like	4	1.0711225364181662	25.0	-	1167	1149	0.029991431019708654	0.9428571428571428	6	11	704	744	276	317
a_tenuis_TRINITY_DN42964_c0_g1_i1_11_493	BLAZ01000634.1_p105-like_cnidaria_42ec6be3_cds_p105-like	1	81.67701863354037	789.0	+	483	2805	0.9544513457556936	0.9978308026030369	2	120	9	470	1479	2060
a_tenuis_TRINITY_DN42964_c0_g1_i1_11_493	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39_cds_ikb2-like	2	4.451345755693581	43.0	+	483	993	0.07039337474120083	0.8529411764705882	0	0	256	290	433	467
a_tenuis_TRINITY_DN42964_c0_g1_i1_11_493	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e_cds_ikb1-like	3	4.140786749482402	40.0	+	483	1176	0.10351966873706005	0.76	0	0	117	167	540	590
a_tenuis_TRINITY_DN42964_c0_g1_i1_11_493	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07_cds_ikba-like	4	3.4161490683229814	33.0	+	483	1149	0.08281573498964803	0.85	3	5	131	175	392	433
a_tenuis_TRINITY_DN25922_c0_g1_i1_773_255	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e_cds_ikb1-like	1	98.26589595375722	1020.0	+	519	1176	0.9942196531791907	0.998062015503876	1	3	0	519	450	966
a_tenuis_TRINITY_DN25922_c0_g1_i1_773_255	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39_cds_ikb2-like	2	4.913294797687861	51.0	+	519	993	0.23314065510597304	0.8016528925619835	9	35	108	246	318	457
a_tenuis_TRINITY_DN25922_c0_g1_i1_773_255	BLAZ01000634.1_p105-like_cnidaria_42ec6be3_cds_p105-like	3	3.0828516377649327	32.0	+	519	2805	0.06936416184971098	0.7777777777777778	0	0	93	129	1587	1623
a_tenuis_TRINITY_DN25922_c0_g1_i1_773_255	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07_cds_ikba-like	4	2.601156069364162	27.0	+	519	1149	0.05009633911368015	0.8076923076923077	0	0	117	143	978	1004
a_tenuis_TRINITY_DN335_c0_g1_i28_1173_607	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07_cds_ikba-like	1	90.91710758377425	1031.0	+	567	1149	0.9365079365079365	0.9981167608286252	2	18	0	531	567	1116
a_tenuis_TRINITY_DN335_c0_g1_i28_1173_607	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e_cds_ikb1-like	2	4.056437389770723	46.0	+	567	1176	0.07583774250440917	0.813953488372093	0	0	281	324	965	1008
