protein accession	sequence accession	genome accession	contig accession	pass all	TFMotifs.has('GM.5.0.Rel', min_score_threshold=None, fpr=0.01).between(-1500, 500)
KAJ7330771.1	KAJ7330771.1	GCA_029204205.1	MU827791.1	true	yes
KAJ7378236.1	KAJ7378236.1	GCA_029204205.1	MU826368.1	true	yes
KAK2566508.1	KAK2566508.1	GCA_032359415.1	JARQWQ010000016.1	false	missing_GM.5.0.Rel
KAK2566512.1	KAK2566512.1	GCA_032359415.1	JARQWQ010000016.1	true	yes
KAK2567480.1	KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1	true	yes
KAK2568458.1	KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1	false	missing_GM.5.0.Rel
KAK3739735.1	KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1	true	yes
CAB3997549.1	CAB3997549.1	GCA_902702795.2	CACRXK020003126.1	true	yes
CAB4007512.1	CAB4007512.1	GCA_902702795.2	CACRXK020005816.1	false	missing_GM.5.0.Rel
CAB4012946.1	CAB4012946.1	GCA_902702795.2	CACRXK020007693.1	false	missing_GM.5.0.Rel
CAB4029555.1	CAB4029555.1	GCA_902702795.2	CACRXK020016248.1	true	yes
CAB4029556.1	CAB4029556.1	GCA_902702795.2	CACRXK020016248.1	true	yes
CAH3027367.1	CAH3027367.1	GCA_942486025.1	CALNXI010000448.1	true	yes
CAH3027709.1	CAH3027709.1	GCA_942486025.1	CALNXI010000468.1	false	missing_GM.5.0.Rel
CAH3028528.1	CAH3028528.1	GCA_942486025.1	CALNXI010000517.1	true	yes
CAH3148052.1	CAH3148052.1	GCA_942486025.1	CALNXI010000943.1	false	missing_GM.5.0.Rel
CAH3185197.1	CAH3185197.1	GCA_942486025.1	CALNXI010002241.1	false	missing_GM.5.0.Rel
CAH3197536.1	CAH3197536.1	GCA_942486025.1	CALNXI010005345.1	true	yes
CAH3198638.1	CAH3198638.1	GCA_942486025.1	CALNXI010005773.1	true	yes
CAH3116438.1	CAH3116438.1	GCA_942486035.1	CALNXK010000029.1	false	missing_GM.5.0.Rel
CAH3136379.1	CAH3136379.1	GCA_942486035.1	CALNXK010000057.1	false	missing_GM.5.0.Rel
CAH3158544.1	CAH3158544.1	GCA_942486035.1	CALNXK010000111.1	true	yes
CAH3158546.1	CAH3158546.1	GCA_942486035.1	CALNXK010000111.1	true	yes
CAH3186482.1	CAH3186482.1	GCA_942486035.1	CALNXK010000483.1	false	missing_GM.5.0.Rel
CAH3186488.1	CAH3186488.1	GCA_942486035.1	CALNXK010000483.1	false	missing_GM.5.0.Rel
CAH3117715.1	CAH3117715.1	GCA_942486045.1	CALNXJ010000016.1	false	missing_GM.5.0.Rel
CAH3140492.1	CAH3140492.1	GCA_942486045.1	CALNXJ010000034.1	false	missing_GM.5.0.Rel
CAH3146082.1	CAH3146082.1	GCA_942486045.1	CALNXJ010000041.1	true	yes
XP_001626962.2	XP_001626962.2	GCF_000209225.1	NW_001834203.1	true	yes
XP_032228246.1	XP_032228246.1	GCF_000209225.1	NW_001834120.1	true	yes
XP_032228503.1	XP_032228503.1	GCF_000209225.1	NW_001834132.1	true	yes
XP_032230483.1	XP_032230483.1	GCF_000209225.1	NW_001834203.1	true	yes
XP_032230484.1	XP_032230484.1	GCF_000209225.1	NW_001834203.1	true	yes
XP_015766406.1	XP_015766406.1	GCF_000222465.1	NW_015441067.1	false	missing_GM.5.0.Rel
XP_020901899.1	XP_020901899.1	GCF_001417965.1	NW_018385829.1	true	yes
XP_020903771.1	XP_020903771.1	GCF_001417965.1	NW_018384245.1	true	yes
XP_020904317.1	XP_020904317.1	GCF_001417965.1	NW_018384245.1	true	yes
XP_020916759.1	XP_020916759.1	GCF_001417965.1	NW_018388369.1	true	yes
XP_020604254.1	XP_020604254.1	GCF_002042975.1	NW_018148839.1	true	yes
XP_020604255.1	XP_020604255.1	GCF_002042975.1	NW_018148839.1	true	yes
XP_020612557.1	XP_020612557.1	GCF_002042975.1	NW_018149324.1	true	yes
XP_020614015.1	XP_020614015.1	GCF_002042975.1	NW_018149371.1	true	yes
XP_020614060.1	XP_020614060.1	GCF_002042975.1	NW_018149371.1	true	yes
XP_022789210.1	XP_022789210.1	GCF_002571385.2	NW_019217908.1	true	yes
XP_022789211.1	XP_022789211.1	GCF_002571385.2	NW_019217908.1	true	yes
XP_022798720.1	XP_022798720.1	GCF_002571385.2	NW_019218098.1	true	yes
XP_022798721.1	XP_022798721.1	GCF_002571385.2	NW_019218098.1	true	yes
XP_022801431.1	XP_022801431.1	GCF_002571385.2	NW_019218178.1	true	yes
XP_022801432.1	XP_022801432.1	GCF_002571385.2	NW_019218178.1	true	yes
XP_022801433.1	XP_022801433.1	GCF_002571385.2	NW_019218178.1	false	missing_GM.5.0.Rel
XP_027038010.1	XP_027038010.1	GCF_003704095.1	NW_020844363.1	true	yes
XP_027051378.1	XP_027051378.1	GCF_003704095.1	NW_020843386.1	true	yes
XP_027051450.1	XP_027051450.1	GCF_003704095.1	NW_020843386.1	false	missing_GM.5.0.Rel
XP_027052644.1	XP_027052644.1	GCF_003704095.1	NW_020843386.1	true	yes
XP_027057621.1	XP_027057621.1	GCF_003704095.1	NW_020847384.1	true	yes
XP_027057623.1	XP_027057623.1	GCF_003704095.1	NW_020847384.1	true	yes
XP_029186950.1	XP_029186950.1	GCF_004143615.1	NW_021126402.1	false	missing_GM.5.0.Rel
XP_029197502.1	XP_029197502.1	GCF_004143615.1	NW_021126503.1	true	yes
XP_029214161.1	XP_029214161.1	GCF_004143615.1	NW_021127414.1	true	yes
XP_029214164.1	XP_029214164.1	GCF_004143615.1	NW_021127414.1	true	yes
XP_028396366.1	XP_028396366.1	GCF_004324835.1	NW_021163025.1	true	yes
XP_028400134.1	XP_028400134.1	GCF_004324835.1	NW_021163011.1	false	missing_GM.5.0.Rel
XP_028400144.1	XP_028400144.1	GCF_004324835.1	NW_021163011.1	false	missing_GM.5.0.Rel
XP_028400154.1	XP_028400154.1	GCF_004324835.1	NW_021163011.1	true	yes
XP_028404342.1	XP_028404342.1	GCF_004324835.1	NW_021163011.1	true	yes
XP_028404349.1	XP_028404349.1	GCF_004324835.1	NW_021163011.1	true	yes
XP_028407711.1	XP_028407711.1	GCF_004324835.1	NW_021163071.1	true	yes
