threshold bitscore	tp	fp	tn	fn	sensitivity	specificity	balanced accuracy	selected
1892.8	0	1	89	19	0	0.988889	0.494444	
1827.9	1	1	89	18	0.0526316	0.988889	0.52076	
1824.9	2	1	89	17	0.105263	0.988889	0.547076	
1823	3	1	89	16	0.157895	0.988889	0.573392	
1821.5	4	1	89	15	0.210526	0.988889	0.599708	
1819.8	5	1	89	14	0.263158	0.988889	0.626023	
1819.5	6	1	89	13	0.315789	0.988889	0.652339	
1811.9	8	1	89	11	0.421053	0.988889	0.704971	
1808.1	9	1	89	10	0.473684	0.988889	0.731287	
1806.3	10	1	89	9	0.526316	0.988889	0.757602	
1804.6	11	1	89	8	0.578947	0.988889	0.783918	
1787.6	12	1	89	7	0.631579	0.988889	0.810234	
1785.3	13	1	89	6	0.684211	0.988889	0.83655	
1713.5	14	1	89	5	0.736842	0.988889	0.862865	
1609.4	15	1	89	4	0.789474	0.988889	0.889181	
1471.8	17	1	89	2	0.894737	0.988889	0.941813	
1440.4	18	1	89	1	0.947368	0.988889	0.968129	
1400.8	19	1	89	0	1	0.988889	0.994444	true
938.5	19	2	88	0	1	0.977778	0.988889	
876.9	19	3	87	0	1	0.966667	0.983333	
853.7	19	4	86	0	1	0.955556	0.977778	
804	19	5	85	0	1	0.944444	0.972222	
747.7	19	6	84	0	1	0.933333	0.966667	
713.8	19	8	82	0	1	0.911111	0.955556	
712.6	19	9	81	0	1	0.9	0.95	
531.1	19	10	80	0	1	0.888889	0.944444	
529.9	19	11	79	0	1	0.877778	0.938889	
529.1	19	12	78	0	1	0.866667	0.933333	
492.8	19	13	77	0	1	0.855556	0.927778	
379.4	19	14	76	0	1	0.844444	0.922222	
331.9	19	15	75	0	1	0.833333	0.916667	
187.4	19	16	74	0	1	0.822222	0.911111	
72.9	19	17	73	0	1	0.811111	0.905556	
70.4	19	19	71	0	1	0.788889	0.894444	
70.2	19	20	70	0	1	0.777778	0.888889	
67.6	19	26	64	0	1	0.711111	0.855556	
67.4	19	28	62	0	1	0.688889	0.844444	
67.3	19	29	61	0	1	0.677778	0.838889	
66.2	19	31	59	0	1	0.655556	0.827778	
66.1	19	32	58	0	1	0.644444	0.822222	
63.5	19	33	57	0	1	0.633333	0.816667	
62.1	19	34	56	0	1	0.622222	0.811111	
62	19	37	53	0	1	0.588889	0.794444	
61.9	19	40	50	0	1	0.555556	0.777778	
61.8	19	42	48	0	1	0.533333	0.766667	
61.2	19	43	47	0	1	0.522222	0.761111	
61.1	19	45	45	0	1	0.5	0.75	
61	19	49	41	0	1	0.455556	0.727778	
60.9	19	53	37	0	1	0.411111	0.705556	
60.7	19	56	34	0	1	0.377778	0.688889	
60.6	19	58	32	0	1	0.355556	0.677778	
58	19	59	31	0	1	0.344444	0.672222	
57.8	19	63	27	0	1	0.3	0.65	
57.7	19	66	24	0	1	0.266667	0.633333	
57.6	19	67	23	0	1	0.255556	0.627778	
55.8	19	69	21	0	1	0.233333	0.616667	
55.7	19	71	19	0	1	0.211111	0.605556	
53.4	19	73	17	0	1	0.188889	0.594444	
44.8	19	75	15	0	1	0.166667	0.583333	
41.6	19	76	14	0	1	0.155556	0.577778	
29.2	19	77	13	0	1	0.144444	0.572222	
28.4	19	78	12	0	1	0.133333	0.566667	
15.2	19	79	11	0	1	0.122222	0.561111	
14.6	19	80	10	0	1	0.111111	0.555556	
14.5	19	81	9	0	1	0.1	0.55	
0	19	90	0	0	1	0	0.5	
# selected threshold bitscore 1400.8
# false positives
# XP_020612557.1 1892.8
# false negatives
# hmmsearch domtblout
# #                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# # target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
