detection_type	detection_method	batch	query_accession	query_database	query_type	target_accession	target_database	target_type	target_model	query_start	query_end	target_start	target_end	evalue	bitscore	bitscore_threshold	custom_metric_name	custom_metric_value
sequence	hmm	20260917_086b6586	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07	Needle	protein	PF00023.37	Pfam-A	protein		175	350	2	33	2.3e-07	118.4			
sequence	hmm	20260917_086b6586	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07	Needle	protein	PF12796.14	Pfam-A	protein		169	350	1	90	8.1e-18	180.1			
sequence	hmm	20260917_086b6586	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07	Needle	protein	PF13606.13	Pfam-A	protein		205	314	2	31	0.00086	58.2			
sequence	hmm	20260917_086b6586	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07	Needle	protein	PF13637.13	Pfam-A	protein		176	306	1	50	3.2e-08	84.0			
sequence	hmm	20260917_086b6586	BLAZ01000379.1_IkBa-like_cnidaria_d4087f07	Needle	protein	PF13857.13	Pfam-A	protein		306	360	1	56	3.7e-06	27.7			
sequence	hmm	20260917_086b6586	BLAZ01000634.1_p105-like_cnidaria_42ec6be3	Needle	protein	PF00023.37	Pfam-A	protein		510	604	1	33	0.0015	53.4			
sequence	hmm	20260917_086b6586	BLAZ01000634.1_p105-like_cnidaria_42ec6be3	Needle	protein	PF00531.29	Pfam-A	protein		774	844	4	84	3.2e-08	34.1			
sequence	hmm	20260917_086b6586	BLAZ01000634.1_p105-like_cnidaria_42ec6be3	Needle	protein	PF00554.28	Pfam-A	protein		45	260	1	169	6.6e-58	195.9			
sequence	hmm	20260917_086b6586	BLAZ01000634.1_p105-like_cnidaria_42ec6be3	Needle	protein	PF12796.14	Pfam-A	protein		548	607	28	85	1.4e-08	35.7			
sequence	hmm	20260917_086b6586	BLAZ01000634.1_p105-like_cnidaria_42ec6be3	Needle	protein	PF13637.13	Pfam-A	protein		553	602	1	50	3.5e-05	24.5			
sequence	hmm	20260917_086b6586	BLAZ01000634.1_p105-like_cnidaria_42ec6be3	Needle	protein	PF16179.12	Pfam-A	protein		269	371	1	102	2e-38	131.0			
sequence	hmm	20260917_086b6586	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e	Needle	protein	PF00023.37	Pfam-A	protein		190	355	1	32	4.7e-06	112.6			
sequence	hmm	20260917_086b6586	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e	Needle	protein	PF12796.14	Pfam-A	protein		175	384	15	90	3.8e-12	121.9			
sequence	hmm	20260917_086b6586	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e	Needle	protein	PF13606.13	Pfam-A	protein		328	355	2	30	0.0072	17.2			
sequence	hmm	20260917_086b6586	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e	Needle	protein	PF13637.13	Pfam-A	protein		298	342	1	44	1.7e-06	28.6			
sequence	hmm	20260917_086b6586	BLAZ01001464.1_IkB-like-1_cnidaria_4841c60e	Needle	protein	PF13857.13	Pfam-A	protein		313	368	1	56	3.3e-06	27.8			
sequence	hmm	20260917_086b6586	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39	Needle	protein	PF00023.37	Pfam-A	protein		178	347	1	32	1.8e-07	101.2			
sequence	hmm	20260917_086b6586	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39	Needle	protein	PF12796.14	Pfam-A	protein		146	346	1	89	2.8e-15	151.1			
sequence	hmm	20260917_086b6586	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39	Needle	protein	PF13606.13	Pfam-A	protein		178	311	2	30	0.00077	39.9			
sequence	hmm	20260917_086b6586	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39	Needle	protein	PF13637.13	Pfam-A	protein		181	304	1	50	2.6e-06	51.6			
sequence	hmm	20260917_086b6586	BLAZ01001464.1_IkB-like-2_cnidaria_6fa67b39	Needle	protein	PF13857.13	Pfam-A	protein		171	324	10	56	1.3e-07	60.3			
sequence	hmm	20260917_086b6586	BLEZ01000629.1_IkB-like-1_cnidaria_01b137d4	Needle	protein	PF00023.37	Pfam-A	protein		189	354	1	32	4.7e-06	114.6			
sequence	hmm	20260917_086b6586	BLEZ01000629.1_IkB-like-1_cnidaria_01b137d4	Needle	protein	PF12796.14	Pfam-A	protein		174	382	16	90	1.7e-12	125.80000000000001			
sequence	hmm	20260917_086b6586	BLEZ01000629.1_IkB-like-1_cnidaria_01b137d4	Needle	protein	PF13606.13	Pfam-A	protein		189	354	1	30	0.00027	39.1			
sequence	hmm	20260917_086b6586	BLEZ01000629.1_IkB-like-1_cnidaria_01b137d4	Needle	protein	PF13637.13	Pfam-A	protein		180	343	1	50	4e-07	80.5			
sequence	hmm	20260917_086b6586	BLEZ01000629.1_IkB-like-2_cnidaria_0572989b	Needle	protein	PF00023.37	Pfam-A	protein		178	347	1	32	1.8e-07	100.4			
sequence	hmm	20260917_086b6586	BLEZ01000629.1_IkB-like-2_cnidaria_0572989b	Needle	protein	PF12796.14	Pfam-A	protein		146	346	1	89	2.8e-15	148.8			
sequence	hmm	20260917_086b6586	BLEZ01000629.1_IkB-like-2_cnidaria_0572989b	Needle	protein	PF13606.13	Pfam-A	protein		178	311	2	30	0.00079	39.9			
sequence	hmm	20260917_086b6586	BLEZ01000629.1_IkB-like-2_cnidaria_0572989b	Needle	protein	PF13637.13	Pfam-A	protein		254	304	1	50	2.6e-06	28.0			
sequence	hmm	20260917_086b6586	BLEZ01000629.1_IkB-like-2_cnidaria_0572989b	Needle	protein	PF13857.13	Pfam-A	protein		171	324	10	56	1.4e-07	60.2			
sequence	hmm	20260917_086b6586	BLEZ01000773.1_p105-like_cnidaria_c43d54bd	Needle	protein	PF00023.37	Pfam-A	protein		550	713	1	33	0.00011	76.7			
sequence	hmm	20260917_086b6586	BLEZ01000773.1_p105-like_cnidaria_c43d54bd	Needle	protein	PF00531.29	Pfam-A	protein		773	844	3	84	5e-09	36.7			
sequence	hmm	20260917_086b6586	BLEZ01000773.1_p105-like_cnidaria_c43d54bd	Needle	protein	PF00554.28	Pfam-A	protein		45	260	1	169	1.2e-56	191.8			
sequence	hmm	20260917_086b6586	BLEZ01000773.1_p105-like_cnidaria_c43d54bd	Needle	protein	PF12796.14	Pfam-A	protein		493	648	1	90	4.2e-15	93.0			
sequence	hmm	20260917_086b6586	BLEZ01000773.1_p105-like_cnidaria_c43d54bd	Needle	protein	PF13637.13	Pfam-A	protein		553	602	1	50	7.7e-05	23.4			
sequence	hmm	20260917_086b6586	BLEZ01000773.1_p105-like_cnidaria_c43d54bd	Needle	protein	PF16179.12	Pfam-A	protein		269	371	1	102	2.5e-38	130.7			
sequence	hmm	20260917_086b6586	BLEZ01003045.1_IkBa-like_cnidaria_dbd06efd	Needle	protein	PF00023.37	Pfam-A	protein		175	350	2	33	2.3e-07	119.7			
sequence	hmm	20260917_086b6586	BLEZ01003045.1_IkBa-like_cnidaria_dbd06efd	Needle	protein	PF12796.14	Pfam-A	protein		168	360	1	90	8.1e-18	182.2			
sequence	hmm	20260917_086b6586	BLEZ01003045.1_IkBa-like_cnidaria_dbd06efd	Needle	protein	PF13606.13	Pfam-A	protein		205	314	2	31	0.00086	58.2			
sequence	hmm	20260917_086b6586	BLEZ01003045.1_IkBa-like_cnidaria_dbd06efd	Needle	protein	PF13637.13	Pfam-A	protein		176	306	1	50	3.2e-08	84.0			
sequence	hmm	20260917_086b6586	BLFE01000447.1_IkBa-like_cnidaria_12d513b1	Needle	protein	PF00023.37	Pfam-A	protein		175	350	2	33	4.2e-07	119.5			
sequence	hmm	20260917_086b6586	BLFE01000447.1_IkBa-like_cnidaria_12d513b1	Needle	protein	PF12796.14	Pfam-A	protein		176	360	1	90	4.9e-18	143.1			
sequence	hmm	20260917_086b6586	BLFE01000447.1_IkBa-like_cnidaria_12d513b1	Needle	protein	PF13606.13	Pfam-A	protein		205	314	1	31	0.00021	59.5			
sequence	hmm	20260917_086b6586	BLFE01000447.1_IkBa-like_cnidaria_12d513b1	Needle	protein	PF13637.13	Pfam-A	protein		176	306	1	50	1.5e-08	66.7			
sequence	hmm	20260917_086b6586	BLFE01004004.1_IkB-like-1_cnidaria_d30b3adf	Needle	protein	PF00023.37	Pfam-A	protein		190	355	1	32	4.7e-06	113.4			
sequence	hmm	20260917_086b6586	BLFE01004004.1_IkB-like-1_cnidaria_d30b3adf	Needle	protein	PF12796.14	Pfam-A	protein		175	324	11	90	4.9e-13	97.9			
sequence	hmm	20260917_086b6586	BLFE01004004.1_IkB-like-1_cnidaria_d30b3adf	Needle	protein	PF13606.13	Pfam-A	protein		190	355	1	30	0.0011	38.0			
sequence	hmm	20260917_086b6586	BLFE01004004.1_IkB-like-1_cnidaria_d30b3adf	Needle	protein	PF13637.13	Pfam-A	protein		181	348	1	50	1.1e-07	82.3			
sequence	hmm	20260917_086b6586	BLFE01004004.1_IkB-like-1_cnidaria_d30b3adf	Needle	protein	PF13857.13	Pfam-A	protein		313	368	1	56	1.6e-06	28.8			
sequence	hmm	20260917_086b6586	BLFE01004004.1_IkB-like-2_cnidaria_bb7b20e5	Needle	protein	PF00023.37	Pfam-A	protein		178	347	1	32	1.9e-07	100.4			
sequence	hmm	20260917_086b6586	BLFE01004004.1_IkB-like-2_cnidaria_bb7b20e5	Needle	protein	PF12796.14	Pfam-A	protein		146	346	1	89	2.8e-15	148.7			
sequence	hmm	20260917_086b6586	BLFE01004004.1_IkB-like-2_cnidaria_bb7b20e5	Needle	protein	PF13606.13	Pfam-A	protein		178	311	2	30	0.00079	39.9			
sequence	hmm	20260917_086b6586	BLFE01004004.1_IkB-like-2_cnidaria_bb7b20e5	Needle	protein	PF13637.13	Pfam-A	protein		254	304	1	50	2.7e-06	28.0			
sequence	hmm	20260917_086b6586	BLFE01004004.1_IkB-like-2_cnidaria_bb7b20e5	Needle	protein	PF13857.13	Pfam-A	protein		171	324	10	56	1.4e-07	60.2			
sequence	hmm	20260917_086b6586	BLFE01006569.1_p105-like_cnidaria_aa59d0aa	Needle	protein	PF00023.37	Pfam-A	protein		510	713	1	33	0.00011	90.4			
sequence	hmm	20260917_086b6586	BLFE01006569.1_p105-like_cnidaria_aa59d0aa	Needle	protein	PF00531.29	Pfam-A	protein		774	845	3	84	4.2e-09	36.9			
sequence	hmm	20260917_086b6586	BLFE01006569.1_p105-like_cnidaria_aa59d0aa	Needle	protein	PF00554.28	Pfam-A	protein		45	260	1	169	4.8e-58	196.4			
sequence	hmm	20260917_086b6586	BLFE01006569.1_p105-like_cnidaria_aa59d0aa	Needle	protein	PF12796.14	Pfam-A	protein		493	648	1	90	7.3e-15	92.5			
sequence	hmm	20260917_086b6586	BLFE01006569.1_p105-like_cnidaria_aa59d0aa	Needle	protein	PF13637.13	Pfam-A	protein		553	602	1	50	1.6e-05	25.6			
sequence	hmm	20260917_086b6586	BLFE01006569.1_p105-like_cnidaria_aa59d0aa	Needle	protein	PF16179.12	Pfam-A	protein		269	371	1	102	3e-38	130.4			
