Cluster Repr	Cluster Member
CAB4012946.1_PF12796_1_5	CAB4012946.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_028400144.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_046853944.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	KAK3739735.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	KAJ7330771.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_032228503.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_020604255.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_022798720.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_022798721.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_027057621.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_029197502.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_029197502.2_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_058957670.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_058957670.2_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_068682682.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_032228503.2_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_073248334.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_068731937.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	KAK2566508.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_029214164.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_029214164.2_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_067031528.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_068731938.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_068731939.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_068687145.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_068687146.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_068687147.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	CAH3158546.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	CAH3027367.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	CAH3146082.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_022801432.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_027051378.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_027051450.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_058956196.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_058956196.2_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_065056061.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	CAB4029556.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	CAB4029555.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_046853941.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_001626962.2_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_020901899.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_028400154.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_028407711.1_PF12796_1_5
CAB4012946.1_PF12796_1_5	XP_028396366.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_028404342.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	CAB3997549.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_028404349.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_046852095.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	CAH3158544.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	KAJ7378236.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	CAH3198638.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_020614060.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_029214161.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_073256375.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_031566534.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_020614015.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_073256376.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_031569757.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_032230483.2_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_032230483.1_PF12796_1_5
XP_028404342.1_PF12796_1_5	XP_031557780.1_PF12796_1_5
XP_068687149.1_PF12796_1_5	XP_068687149.1_PF12796_1_5
XP_068687149.1_PF12796_1_5	XP_068687143.1_PF12796_1_5
XP_068687149.1_PF12796_1_5	XP_029214161.2_PF12796_1_5
