target name	accession	tlen	query name	accession	qlen	seq e-value	seq score	seq bias	dom #	dom total	dom c-Evalue	dom i-Evalue	dom score	dom bias	hmm from	hmm to	ali from	ali to	env from	env to	acc	description
CAH3154858.1_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	1.8e-117	382.5	0.4	1	1	2e-117	2e-117	382.4	0.4	1	187	1	187	1	187	1.00	-
CAH3015114.1_with_leader_u26_PF00081_M_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	4.1e-117	381.4	0.5	1	1	4.5e-117	4.5e-117	381.2	0.5	1	187	1	187	1	187	1.00	-
KAJ7371307.1_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	7.5e-117	380.5	0.6	1	1	8.4e-117	8.4e-117	380.4	0.6	1	187	1	187	1	187	1.00	-
XP_020624989.1_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	1.5e-116	379.6	0.9	1	1	1.7e-116	1.7e-116	379.4	0.9	1	187	1	187	1	187	1.00	-
XP_022799031.1_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	2.7e-116	378.7	0.3	1	1	3e-116	3e-116	378.6	0.3	1	187	1	187	1	187	1.00	-
XP_031555730.1_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	9.1e-116	377.0	0.4	1	1	1e-115	1e-115	376.9	0.4	1	187	1	187	1	187	1.00	-
XP_001641079.1_bounded_26-212|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	6.3e-115	374.3	0.1	1	1	7e-115	7e-115	374.1	0.1	1	187	1	187	1	187	1.00	-
XP_020892835.1_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	2.5e-114	372.3	0.6	1	1	2.8e-114	2.8e-114	372.1	0.6	1	187	1	187	1	187	1.00	-
KAK3736644.1_bounded_29-215|mT_cnidaria	-	187	mt_MnSOD_cnidaria_mature	-	187	5.8e-114	371.1	0.6	1	1	6.4e-114	6.4e-114	371.0	0.6	2	187	2	187	1	187	0.99	-
CM106374.1_K04564_529830d2_with_leader_u26_PF00081_M_bounded_29-213|mT_cnidaria	-	185	mt_MnSOD_cnidaria_mature	-	187	8.3e-114	370.6	1.1	1	1	9.2e-114	9.2e-114	370.5	1.1	1	187	1	185	1	185	0.99	-
