protein accession	sequence accession	genome accession	contig accession	pass all	Leader().upstreamOfPfam('PF00081').betweenAA(-35, -15).is_SP()	Pfam.matches('PF00081')	Pfam.matches('PF02777')	KO.matches('K04564', bound_cterm=True)	HMMAlignment('k04564.hmm').is_at('H', 61)	HMMAlignment('k04564.hmm').is_at('H', 106)	HMMAlignment('k04564.hmm').is_at('D', 187)	HMMAlignment('k04564.hmm').is_at('H', 191)	HMMAlignment('k04564.hmm').matches_regex('[QDK]', 196)	Leader.call('noTP')	Leader.call('mTP')	Leader.call('SP')
OLP79028.1	OLP79028.1_with_leader_u20_PF00081_M_to_K04564_1017	GCA_001939145.1	LSRX01001534.1	true	true	true	true	true	true	true	true	true	true	0	0	100
BGNK01003376.1_K04564_a3776c6c	BGNK01003376.1_K04564_a3776c6c_with_leader_u31_PF00081_M_to_K04564_198	GCA_003297005.1	BGNK01003376.1	true	true	true	true	true	true	true	true	true	true	11	0	89
BGPT01000358.1_K04564_070be8c8	BGPT01000358.1_K04564_070be8c8_with_leader_u34_PF00081_M_to_K04564_203	GCA_003297045.1	BGPT01000358.1	true	true	true	true	true	true	true	true	true	true	21	2	77
CAE7445615.1	CAE7445615.1_to_K04564_242	GCA_905221605.1	CAJNDS010002352.1	true	true	true	true	true	true	true	true	true	true	0	0	100
CAJNDS010002352.1_K04564_638e9d57	CAJNDS010002352.1_K04564_638e9d57_with_leader_u31_PF00081_M_to_K04564_176	GCA_905221605.1	CAJNDS010002352.1	false	false	true	true	true	true	true	true	true	true	100	0	0
CAE8627582.1	CAE8627582.1_with_leader_u15_PF00081_M_to_K04564_542	GCA_905237085.1	CAJNNV010029213.1	false	false	true	false	true	true	true	false	false	false	88	3	9
CAE8628319.1	CAE8628319.1_to_K04564_235	GCA_905237085.1	CAJNNV010029372.1	true	true	true	true	true	true	true	true	true	true	0	0	100
CAE8631912.1	CAE8631912.1_with_leader_u15_PF00081_M_to_K04564_263	GCA_905237085.1	CAJNNV010030245.1	false	false	true	true	true	true	true	true	true	true	98	0	1
CAL1167723.1	CAL1167723.1_with_leader_u21_PF00081_M_to_K04564_350	GCA_947184155.2	CAMXCT020006312.1	false	false	true	true	true	true	true	true	true	true	100	0	0
CAMXCT020000001.1_K04564_24b48a7d	CAMXCT020000001.1_K04564_24b48a7d_with_leader_u26_PF00081_M_to_K04564_208	GCA_947184155.2	CAMXCT020000001.1	false	false	true	true	true	true	true	true	true	true	85	4	11
CAK9047237.1	CAK9047237.1_with_leader_u27_PF00081_M_to_K04564_344	GCA_963969995.1	CAXAMM010020073.1	false	false	true	true	true	true	true	true	true	true	0	100	0
CAK9091470.1	CAK9091470.1_with_leader_u18_PF00081_M_to_K04564_868	GCA_963969995.1	CAXAMM010040162.1	true	true	true	true	true	true	true	true	true	true	16	0	84
CAK9100252.1	CAK9100252.1_to_K04564_230	GCA_963969995.1	CAXAMM010041596.1	true	true	true	true	true	true	true	true	true	true	2	0	98
CAXAMM010020073.1_K04564_521e95f5	CAXAMM010020073.1_K04564_521e95f5_with_leader_u27_PF00081_M_to_K04564_197	GCA_963969995.1	CAXAMM010020073.1	false	false	true	true	true	true	true	true	true	true	0	100	0
CAXAMM010025685.1_K04564_b43539e3	CAXAMM010025685.1_K04564_b43539e3_with_leader_u30_PF00081_M_to_K04564_92	GCA_963969995.1	CAXAMM010025685.1	false	false	true	false	true	true	true	false	false	false	100	0	0
CAXAMM010040162.1_K04564_a70eaf5e	CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	true	true	true	true	true	true	true	true	true	true	16	0	84
CAXAMM010040162.1_K04564_f9608fa6	CAXAMM010040162.1_K04564_f9608fa6_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	true	true	true	true	true	true	true	true	true	true	16	0	84
CAXAMM010040173.1_K04564_1d3f7085	CAXAMM010040173.1_K04564_1d3f7085_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	true	true	true	true	true	true	true	true	true	true	16	0	84
CAXAMM010040173.1_K04564_b38f776c	CAXAMM010040173.1_K04564_b38f776c_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	true	true	true	true	true	true	true	true	true	true	16	0	84
CAK9032107.1	CAK9032107.1_to_K04564_230	GCA_963970005.1	CAXAMN010010569.1	true	true	true	true	true	true	true	true	true	true	2	0	98
CAK9113181.1	CAK9113181.1_with_leader_u18_PF00081_M_to_K04564_257	GCA_963970005.1	CAXAMN010027806.1	true	true	true	true	true	true	true	true	true	true	16	0	84
CAK9113185.1	CAK9113185.1_with_leader_u35_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	true	true	true	true	true	true	true	true	true	true	11	26	63
CAK9113185.1	CAK9113185.1_with_leader_u21_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	true	true	true	true	true	true	true	true	true	true	0	0	100
CAK9113185.1	CAK9113185.1_with_leader_u18_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	true	true	true	true	true	true	true	true	true	true	16	0	84
CAXAMN010027783.1_K04564_0f8290bd	CAXAMN010027783.1_K04564_0f8290bd_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	true	true	true	true	true	true	true	true	true	true	16	0	84
CAXAMN010027783.1_K04564_a5ab1868	CAXAMN010027783.1_K04564_a5ab1868_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	true	true	true	true	true	true	true	true	true	true	16	0	84
CAXAMN010027806.1_K04564_b422a675	CAXAMN010027806.1_K04564_b422a675_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	true	true	true	true	true	true	true	true	true	true	16	0	84
CAXAMN010027806.1_K04564_f0a63ebd	CAXAMN010027806.1_K04564_f0a63ebd_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	true	true	true	true	true	true	true	true	true	true	16	0	84
OZ257276.1_K04564_ace37290	OZ257276.1_K04564_ace37290_with_leader_u31_PF00081_M_to_K04564_198	GCA_965279495.1	OZ257276.1	true	true	true	true	true	true	true	true	true	true	11	0	89
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1	siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1_to_K04564_227			true	true	true	true	true	true	true	true	true	true	1	0	99
pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1	pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1_with_leader_u16_PF00081_M_to_K04564_250			true	true	true	true	true	true	true	true	true	true	9	0	91
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1	orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_to_K04564_236			true	true	true	true	true	true	true	true	true	true	2	0	98
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1	orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_with_leader_u20_PF00081_M_to_K04564_236			true	true	true	true	true	true	true	true	true	true	0	0	100
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1	orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_to_K04564_147			false	true	true	false	true	true	true	false	false	false	10	2	89
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1	orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_147			false	true	true	false	true	true	true	false	false	false	1	0	99
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1	orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u31_PF00081_M_to_K04564_278			true	true	true	true	true	true	true	true	true	true	16	0	84
cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1_with_leader_u26_PF00081_M_to_K04564_322			false	false	true	true	true	true	true	true	true	true	100	0	0
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i4.p1	cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i4.p1_to_K04564_209			false	false	true	true	true	true	true	true	true	true	1	99	0
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i4.p1	cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i4.p1_with_leader_u30_PF00081_M_to_K04564_209			false	false	true	true	true	true	true	true	true	true	3	95	2
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i3.p1	cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i3.p1_to_K04564_210			false	false	true	true	true	true	true	true	true	true	1	99	0
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i3.p1	cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i3.p1_with_leader_u30_PF00081_M_to_K04564_210			false	false	true	true	true	true	true	true	true	true	3	95	2
cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1_to_K04564_230			false	false	true	true	true	true	true	true	true	true	1	99	0
cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1_with_leader_u26_PF00081_M_to_K04564_230			false	false	true	true	true	true	true	true	true	true	0	100	0
cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_230			false	false	true	true	true	true	true	true	true	true	27	70	3
cladocopium_proliferum_Levin_TRINITY_DN86499_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN86499_c0_g1_i1.p1_to_K04564_238			true	true	true	true	true	true	true	true	true	true	10	1	89
cladocopium_proliferum_Levin_TRINITY_DN86499_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN86499_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_238			true	true	true	true	true	true	true	true	true	true	1	0	99
cladocopium_proliferum_ss27_TRINITY_DN57230_c0_g1_i1.p1	cladocopium_proliferum_ss27_TRINITY_DN57230_c0_g1_i1.p1_to_K04564_244			true	true	true	true	true	true	true	true	true	true	13	1	87
cladocopium_proliferum_ss27_TRINITY_DN57230_c0_g1_i1.p1	cladocopium_proliferum_ss27_TRINITY_DN57230_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_244			true	true	true	true	true	true	true	true	true	true	1	0	99
cladocopium_proliferum_wt31_TRINITY_DN60502_c0_g1_i1.p1	cladocopium_proliferum_wt31_TRINITY_DN60502_c0_g1_i1.p1_with_leader_u30_PF00081_M_to_K04564_256			false	false	true	true	true	true	true	true	true	true	2	98	0
cladocopium_proliferum_wt31_TRINITY_DN61048_c0_g1_i2.p1	cladocopium_proliferum_wt31_TRINITY_DN61048_c0_g1_i2.p1_to_K04564_245			true	true	true	true	true	true	true	true	true	true	17	8	75
cladocopium_proliferum_wt31_TRINITY_DN61048_c0_g1_i2.p1	cladocopium_proliferum_wt31_TRINITY_DN61048_c0_g1_i2.p1_with_leader_u17_PF00081_M_to_K04564_245			true	true	true	true	true	true	true	true	true	true	1	0	99
cladocopium_proliferum_wt31_TRINITY_DN73029_c0_g1_i1.p1	cladocopium_proliferum_wt31_TRINITY_DN73029_c0_g1_i1.p1_to_K04564_227			false	false	true	true	true	true	true	true	true	true	100	0	0
durusdinium_trenchii_TRINITY_DN22061_c0_g1_i1.p1	durusdinium_trenchii_TRINITY_DN22061_c0_g1_i1.p1_with_leader_u21_PF00081_M_to_K04564_256			true	true	true	true	true	true	true	true	true	true	2	0	98
durusdinium_trenchii_TRINITY_DN126028_c0_g1_i1.p2	durusdinium_trenchii_TRINITY_DN126028_c0_g1_i1.p2_with_leader_u19_PF00081_M_to_K04564_244			true	true	true	true	true	true	true	true	true	true	17	8	75
durusdinium_trenchii_TRINITY_DN152488_c1_g1_i1.p1	durusdinium_trenchii_TRINITY_DN152488_c1_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_277			true	true	true	true	true	true	true	true	true	true	16	0	84
