protein_accession,start,stop
pseudodiploria_host_TRINITY_DN178043_c0_g1_i1.p1,1,225
pseudodiploria_host_TRINITY_DN178043_c0_g1_i6.p1,1,158
pseudodiploria_host_TRINITY_DN187230_c1_g2_i2.p1,2,109
pseudodiploria_host_TRINITY_DN189231_c0_g2_i1.p1,1,155
pseudodiploria_host_TRINITY_DN189231_c0_g2_i5.p1,1,107
pseudodiploria_host_TRINITY_DN190911_c0_g2_i11.p1,31,145
pseudodiploria_host_TRINITY_DN190911_c0_g2_i5.p1,1,202
pseudodiploria_host_TRINITY_DN190911_c0_g2_i6.p1,2,124
pseudodiploria_host_TRINITY_DN200187_c2_g4_i1.p1,1,113
pseudodiploria_host_TRINITY_DN200187_c2_g4_i1.p1,1,113
pseudodiploria_host_TRINITY_DN200187_c2_g4_i2.p1,1,215
pseudodiploria_host_TRINITY_DN200187_c2_g4_i2.p1,1,215
pseudodiploria_host_TRINITY_DN200187_c2_g4_i3.p1,1,653
pseudodiploria_host_TRINITY_DN200187_c2_g4_i3.p1,2,407
pseudodiploria_host_TRINITY_DN200187_c2_g4_i4.p1,1,419
pseudodiploria_host_TRINITY_DN200187_c2_g4_i4.p1,2,407
pseudodiploria_host_TRINITY_DN202411_c1_g2_i2.p2,1,296
pseudodiploria_host_TRINITY_DN202411_c1_g2_i3.p1,1,144
pseudodiploria_host_TRINITY_DN202411_c1_g2_i4.p3,1,255
pseudodiploria_host_TRINITY_DN202411_c1_g2_i5.p1,1,111
