Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
MPSW01001707.1_K04564_7b9e297c_with_leader_u26_PF00081_M,Mitochondrion,Mitochondrial transit peptide,Soluble,0.17180000245571136,0.08609999716281891,0.029600000008940697,0.0851999968290329,0.8241999745368958,0.014700000174343586,0.03779999911785126,0.0617000013589859,0.04360000044107437,0.02590000070631504,0.5525000095367432,0.0877000018954277,0.08619999885559082,0.7124999761581421
RDEB01000110.1_K04564_86e229fd_with_leader_u26_PF00081_M,Mitochondrion,Mitochondrial transit peptide,Soluble,0.13920000195503235,0.06800000369548798,0.02239999920129776,0.08879999816417694,0.8637999892234802,0.013799999840557575,0.017799999564886093,0.065700002014637,0.04190000146627426,0.008299999870359898,0.49079999327659607,0.1462000012397766,0.05820000171661377,0.6668000221252441
BLAZ01000169.1_K04564_9f65b912_with_leader_u27_PF00081_M,Mitochondrion,Mitochondrial transit peptide,Soluble,0.19580000638961792,0.06239999830722809,0.03920000046491623,0.07500000298023224,0.9332000017166138,0.007600000128149986,0.034699998795986176,0.09019999951124191,0.056299999356269836,0.008500000461935997,0.4973999857902527,0.10949999839067459,0.050700001418590546,0.6891999840736389
BLEZ01003184.1_K04564_dc8bf6ad_with_leader_u27_PF00081_M,Mitochondrion,Mitochondrial transit peptide,Soluble,0.16899999976158142,0.07419999688863754,0.03350000083446503,0.08699999749660492,0.9142000079154968,0.01510000042617321,0.023600000888109207,0.07540000230073929,0.044199999421834946,0.017100000753998756,0.4521999955177307,0.11620000004768372,0.04619999974966049,0.671500027179718
BLFE01002088.1_K04564_10e43317_with_leader_u27_PF00081_M,Mitochondrion,Mitochondrial transit peptide,Soluble,0.18410000205039978,0.0681999996304512,0.03880000114440918,0.0794999971985817,0.9327999949455261,0.00839999970048666,0.03139999881386757,0.0722000002861023,0.05779999867081642,0.008899999782443047,0.5013999938964844,0.11429999768733978,0.056699998676776886,0.670199990272522
JAJLRJ010000007.1_K04564_fcb962ee_with_leader_u25_PF00081_M,Mitochondrion,Mitochondrial transit peptide,Soluble,0.16300000250339508,0.09570000320672989,0.033900000154972076,0.09560000151395798,0.8946999907493591,0.006899999920278788,0.03319999948143959,0.07150000333786011,0.04170000180602074,0.020500000566244125,0.5677000284194946,0.09560000151395798,0.08609999716281891,0.7016000151634216
KAJ7371307.1,Mitochondrion,Mitochondrial transit peptide,Soluble,0.16179999709129333,0.09549999982118607,0.031099999323487282,0.09730000048875809,0.8551999926567078,0.013399999588727951,0.024299999698996544,0.061900001019239426,0.025699999183416367,0.0203000009059906,0.5453000068664551,0.07119999825954437,0.08009999990463257,0.71670001745224
KAJ7390115.1,Endoplasmic reticulum,Signal peptide,Soluble,0.2029999941587448,0.058800000697374344,0.5863000154495239,0.10329999774694443,0.10909999907016754,0.013299999758601189,0.8507000207901001,0.5031999945640564,0.30559998750686646,0.011900000274181366,0.4438999891281128,0.07020000368356705,0.07620000094175339,0.6951000094413757
MU825420.1_K04564_3d91ab54_with_leader_u34_PF00081_M,Lysosome/Vacuole,Signal peptide,Soluble,0.21199999749660492,0.08139999955892563,0.5073000192642212,0.08489999920129776,0.08370000123977661,0.09560000151395798,0.47749999165534973,0.5270000100135803,0.37209999561309814,0.0035000001080334187,0.43070000410079956,0.15330000221729279,0.05730000138282776,0.7016000151634216
MU826849.1_K04564_291d850d_with_leader_u26_PF00081_M,Mitochondrion,Mitochondrial transit peptide,Soluble,0.13979999721050262,0.09369999915361404,0.03020000085234642,0.10719999670982361,0.8743000030517578,0.0142000000923872,0.020999999716877937,0.05400000140070915,0.021900000050663948,0.016200000420212746,0.49480000138282776,0.07850000262260437,0.07090000063180923,0.7423999905586243
JARQWQ010000030.1_K04564_a7361c5a_with_leader_u27_PF00081_M,Mitochondrion,Mitochondrial transit peptide,Soluble,0.1712000072002411,0.0697999969124794,0.03590000048279762,0.08540000021457672,0.9279999732971191,0.00860000029206276,0.023600000888109207,0.06700000166893005,0.043699998408555984,0.011500000022351742,0.46799999475479126,0.11429999768733978,0.057100001722574234,0.6789000034332275
KAK2562129.1,Mitochondrion,Mitochondrial transit peptide,Soluble,0.1858000010251999,0.08560000360012054,0.08309999853372574,0.06210000067949295,0.8600000143051147,0.010999999940395355,0.025599999353289604,0.0689999982714653,0.06909999996423721,0.0034000000450760126,0.5383999943733215,0.07190000265836716,0.05820000171661377,0.7056000232696533
KAK2562129.1_with_leader_u27_PF00081_M,Mitochondrion,Mitochondrial transit peptide,Soluble,0.15649999678134918,0.05649999901652336,0.04309999942779541,0.05730000138282776,0.9302999973297119,0.008799999952316284,0.021400000900030136,0.07180000096559525,0.05270000174641609,0.009200000204145908,0.515999972820282,0.07180000096559525,0.061500001698732376,0.7114999890327454
JAUJYZ010000740.1_K04564_87e6c451_with_leader_u26_PF00081_anchor_M,Mitochondrion,Mitochondrial transit peptide,Soluble,0.13120000064373016,0.11069999635219574,0.03420000150799751,0.08990000188350677,0.8294000029563904,0.031700000166893005,0.01600000075995922,0.0430000014603138,0.016699999570846558,0.025800000876188278,0.5314000248908997,0.08110000193119049,0.08250000327825546,0.6890000104904175
JAUJYZ010000745.1_K04564_47603ed6_with_leader_u31_PF00081_M,Extracellular,Signal peptide,Soluble,0.23520000278949738,0.03590000048279762,0.6854000091552734,0.14249999821186066,0.04740000143647194,0.0017000000225380063,0.33340001106262207,0.5623999834060669,0.28049999475479126,0.0003000000142492354,0.38119998574256897,0.093299999833107,0.08739999681711197,0.7814000248908997
