Cluster Repr	Cluster Member
CAH3182277.1_PF00097_1_1	CAH3182277.1_PF00097_1_1
CAH3182277.1_PF00097_1_1	KAJ7372400.1_PF00097_1_1
CAH3182277.1_PF00097_1_1	CAH3041514.1_PF00097_1_1
CAH3037729.1_PF00097_1_1	CAH3037729.1_PF00097_1_1
CAH3044085.1_PF00097_1_1	CAH3044085.1_PF00097_1_1
CAH3044085.1_PF00097_1_1	XP_027049714.1_PF00097_1_1
CAH3044085.1_PF00097_1_1	XP_058954650.1_PF00097_1_1
CAH3044085.1_PF00097_1_1	XP_058954651.1_PF00097_1_1
CAH3044085.1_PF00097_1_1	XP_058954650.2_PF00097_1_1
CAH3044085.1_PF00097_1_1	XP_058954651.2_PF00097_1_1
CAH3044931.1_PF00097_1_1	CAH3044931.1_PF00097_1_1
CAH3044931.1_PF00097_1_1	XP_027037290.1_PF00097_1_1
CAH3044931.1_PF00097_1_1	XP_058947892.1_PF00097_1_1
CAH3044931.1_PF00097_1_1	XP_058947893.1_PF00097_1_1
CAH3044931.1_PF00097_1_1	XP_058947892.2_PF00097_1_1
CAH3044931.1_PF00097_1_1	XP_058947893.2_PF00097_1_1
CAH3128134.1_PF00097_1_1	CAH3128134.1_PF00097_1_1
CAH3128134.1_PF00097_1_1	CAH3026913.1_PF00097_1_1
CAH3128134.1_PF00097_1_1	CAH3186757.1_PF00097_1_1
CAH3128134.1_PF00097_1_1	CAH3150028.1_PF00097_1_1
CAH3128134.1_PF00097_1_1	CAH3128136.1_PF00097_1_1
CAH3128134.1_PF00097_1_1	XP_020603685.1_PF00097_1_1
CAH3128138.1_PF00097_1_1	CAH3128138.1_PF00097_1_1
CAH3128138.1_PF00097_1_1	CAH3128111.1_PF00097_1_1
CAH3128138.1_PF00097_1_1	XP_022804794.1_PF00097_1_1
CAH3128138.1_PF00097_1_1	XP_058971743.1_PF00097_1_1
CAH3128138.1_PF00097_1_1	XP_066025676.1_PF00097_1_1
CAH3128138.1_PF00097_1_1	XP_066026378.1_PF00097_1_1
XP_001623790.1_PF00097_1_1	XP_001623790.1_PF00097_1_1
XP_001623790.1_PF00097_1_1	XP_001623792.1_PF00097_1_1
XP_001623790.1_PF00097_1_1	XP_001640457.1_PF00097_1_1
XP_001623790.1_PF00097_1_1	XP_032221561.1_PF00097_1_1
XP_032222863.1_PF00097_1_1	XP_032222863.1_PF00097_1_1
XP_032222864.1_PF00097_1_1	XP_032222864.1_PF00097_1_1
XP_032228159.1_PF00097_1_1	XP_032228159.1_PF00097_1_1
XP_032228159.1_PF00097_1_1	XP_001624949.1_PF00097_1_1
XP_032228173.1_PF00097_1_1	XP_032228173.1_PF00097_1_1
XP_032228173.1_PF00097_1_1	XP_032228172.1_PF00097_1_1
XP_032235503.1_PF00097_1_1	XP_032235503.1_PF00097_1_1
XP_032235503.1_PF00097_1_1	XP_032235504.1_PF00097_1_1
XP_032235503.1_PF00097_1_1	XP_032235505.1_PF00097_1_1
XP_032235503.1_PF00097_1_1	XP_032235506.1_PF00097_1_1
XP_032235503.1_PF00097_1_1	XP_032235507.1_PF00097_1_1
XP_032235503.1_PF00097_1_1	XP_032235508.1_PF00097_1_1
XP_032235503.1_PF00097_1_1	XP_032235509.1_PF00097_1_1
XP_032235503.1_PF00097_1_1	XP_032235510.1_PF00097_1_1
