transcript_id	locus_id	rank	score	raw_score	strand	transcript_length	locus_length	transcript_coverage	identity	gap_count	gap_bases	transcript_start	transcript_end	locus_start	locus_end
pseudodiploria_host_TRINITY_DN178043_c0_g1_i1_2248_2925	XP_020614060.1_cds-ikb_like-1	1	73.45132743362832	996.0	+	678	1296	1.0	0.8938053097345132	0	0	0	678	537	1215
pseudodiploria_host_TRINITY_DN178043_c0_g1_i1_2248_2925	XP_020604255.1_cds_ikba-like	2	5.088495575221239	69.0	+	678	1107	0.10619469026548672	0.8194444444444444	2	2	452	525	806	879
pseudodiploria_host_TRINITY_DN178043_c0_g1_i1_2248_2925	XP_020614015.1_cds_ikb-like-2	3	4.129793510324483	56.0	+	678	1143	0.10619469026548672	0.8888888888888888	7	20	434	518	807	887
pseudodiploria_host_TRINITY_DN178043_c0_g1_i1_2248_2925	XP_020612557.1_cds_p105-like_fixed	4	2.1386430678466075	29.0	+	678	2432	0.07817109144542773	0.7547169811320755	2	4	250	305	1840	1895
pseudodiploria_host_TRINITY_DN189231_c0_g2_i1_3_467	XP_020614015.1_cds_ikb-like-2	1	78.27956989247312	728.0	+	465	1143	0.9935483870967742	0.9199134199134199	2	3	0	465	675	1137
pseudodiploria_host_TRINITY_DN189231_c0_g2_i1_3_467	XP_020614060.1_cds-ikb_like-1	2	8.387096774193548	78.0	+	465	1296	0.3161290322580645	0.7891156462585034	10	21	166	325	1009	1165
pseudodiploria_host_TRINITY_DN189231_c0_g2_i1_3_467	XP_020612557.1_cds_p105-like_fixed	3	3.225806451612903	30.0	+	465	2432	0.08602150537634409	0.8	1	6	270	310	2168	2214
pseudodiploria_host_TRINITY_DN189231_c0_g2_i1_3_467	XP_020604255.1_cds_ikba-like	4	3.010752688172043	28.0	+	465	1107	0.13763440860215054	0.71875	2	2	147	212	807	872
pseudodiploria_host_TRINITY_DN187230_c1_g2_i2_5_328	XP_020614015.1_cds_ikb-like-2	1	80.70987654320987	523.0	+	324	1143	1.0	0.9228395061728395	0	0	0	324	369	693
pseudodiploria_host_TRINITY_DN187230_c1_g2_i2_5_328	XP_020614060.1_cds-ikb_like-1	2	6.172839506172839	40.0	+	324	1296	0.5092592592592593	0.7212121212121212	9	24	50	227	599	776
pseudodiploria_host_TRINITY_DN187230_c1_g2_i2_5_328	XP_020604255.1_cds_ikba-like	3	4.783950617283951	31.0	+	324	1107	0.17901234567901234	0.8620689655172413	6	21	226	297	356	422
