Cluster Repr	Cluster Member
NW_021163023.1_K21440_8cdccfe6	NW_021163023.1_K21440_8cdccfe6
NW_021163037.1_K12460_cf3be8d4	NW_021163037.1_K12460_cf3be8d4
NW_021163037.1_K12460_cf3be8d4	CACRXK020000016.1_K12460_6646c494
NW_021163169.1_K10645_b95f35e9	NW_021163169.1_K10645_b95f35e9
NW_021163302.1_K04984_653ab5a8	NW_021163302.1_K04984_653ab5a8
XP_028392327.1	XP_028392327.1
XP_028392327.1	XP_028392318.1
XP_028395448.1	XP_028395448.1
XP_028395448.1	XP_028395325.1
XP_028395448.1	XP_028395449.1
XP_028395448.1	XP_028409492.1
XP_028395448.1	NW_021163142.1_K01165_8a86b101
XP_028395448.1	XP_028395450.1
XP_028395448.1	XP_028397129.1
XP_028395448.1	XP_028412462.1
XP_028395448.1	XP_028413381.1
XP_028395641.1	XP_028395641.1
XP_028395980.1	XP_028395980.1
XP_028395980.1	CAB3995746.1
XP_028395980.1	CAH3145351.1
XP_028395980.1	XP_027045039.1
XP_028395980.1	XP_058954919.1
XP_028395980.1	XP_058954919.2
XP_028395980.1	XP_066026567.1
XP_028395980.1	XP_067020303.1
XP_028395980.1	XP_031551028.1
XP_028395980.1	XP_031551029.1
XP_028395980.1	XP_031551030.1
XP_028400265.1	XP_028400265.1
XP_028400265.1	XP_028400263.1
XP_028400265.1	XP_028400264.1
XP_028403074.1	XP_028403074.1
XP_028407581.1	XP_028407581.1
XP_028417539.1	XP_028417539.1
XP_028417539.1	XP_046859209.1
XP_028417540.1	XP_028417540.1
XP_028418769.1	XP_028418769.1
XP_028418769.1	XP_028412448.1
XP_028418769.1	NW_021163610.1_K17593_a46a04b0
XP_028418769.1	NW_021163023.1_K17593_66420e33
XP_028418769.1	XP_028412453.1
XP_028418769.1	XP_028417232.1
XP_028418769.1	XP_028417081.1
NW_022260389.1_K10645_0718e703	NW_022260389.1_K10645_0718e703
NW_022260389.1_K10645_0718e703	NW_022260389.1_K10645_ba5a70bf
NW_022260389.1_K10645_0718e703	BLEZ01000160.1_K10645_294aa3f5
NW_022260389.1_K10645_0718e703	CAH3026592.1
NW_022260389.1_K10645_0718e703	CAH3124894.1
NW_022260389.1_K10645_0718e703	XP_073248991.1
NW_022260389.1_K10645_0718e703	NW_025813487.1_K10645_ecc8b066
NW_022260389.1_K10645_0718e703	NW_021163061.1_K10645_f9374e41
NW_022260389.1_K10645_0718e703	NW_025813487.1_K10645_65c518ea
NW_022260389.1_K10645_0718e703	CACRXK020000063.1_K10645_7a551ed0
NW_022260389.1_K10645_0718e703	XP_046857398.1
NW_022260389.1_K10645_0718e703	XP_046857397.1
NW_022260732.1_K25138_d26198c5	NW_022260732.1_K25138_d26198c5
NW_022260732.1_K25138_d26198c5	NW_022260732.1_K25138_610efd65
NW_022261583.1_K10645_9dd64edb	NW_022261583.1_K10645_9dd64edb
