Protein Accession	Group
XP_044174908.1	Z
XP_001623790.1	Z
XP_068733418.1	B
XP_022790432.1	B
XP_058945172.2	B
XP_058964588.1	B
XP_068717058.1	B
NP_004611.1	B
NP_665802.1	B
XP_046864486.1	B.C
XP_028404860.1	B.C
XP_022787409.1	C
CAH3044931.1	C
CAH3172085.1	C
XP_022787428.1	C
NP_066961.2	D
XP_032235503.1	D
XP_020613347.1	D
CAH3037729.1	D
XP_022801875.1	D
CAH3016141.1	D
CAH3041629.1	D
XP_020630883.1	D
XP_031558388.1	D
XP_066021289.1	D
XP_020627705.1	D
CAH3144307.1	D
XP_031555050.1	D
XP_058940193.1	D
XP_068735296.1	D
XP_068716780.1	D
XP_015778272.1	D
CAH3182277.1	D
XP_028416337.1	D
CAB4029940.1	D
XP_028415914.1	D
XP_028412016.1	D
CAB4023239.1	D
XP_028407740.1	D
XP_046855200.1	D
XP_046855619.1	D
XP_046855622.1	D
CAB3987422.1	D
CAB3996607.1	D
XP_028393379.1	D
NP_001029082.1	D
NP_004610.1	D
NP_665702.1	D
NP_001306136.1	D
XP_001627337.3	E
KAK2573688.1	E
CAH3161893.1	E
XP_058967136.2	E
XP_020903645.1	E
XP_031568439.1	E
XP_046849153.1	E
CAB3998202.1	E
CAB3989562.1	E
XP_032222864.1	E
CAB3989492.1	E
XP_067051967.1	E
KAK2551020.1	E
XP_031570478.1	E
KAK3748647.1	E
XP_020896369.1	E
XP_020896332.1	E
XP_032222863.1	E
XP_027040060.1	E
CAH3044085.1	E
XP_022805569.1	E
CAH3189132.1	E
KAJ7365566.1	E
XP_068682110.1	E
XP_068682806.1	E
XP_031572712.1	E
XP_020902654.1	E
XP_031554759.1	E.F
XP_028405719.1	E.F
XP_028405340.1	F
XP_032228159.1	F
XP_020914879.1	F
XP_020914675.1	F
XP_032228173.1	F
XP_031549451.1	F
XP_028400905.1	F
XP_073258828.1	F
KAK2574620.1	F
KAK2547010.1	F
XP_046848212.1	A
XP_028396300.1	A
NP_004286.2	A
CAB3980005.1	A
KAK3704549.1	A
CAH3026911.1	A
XP_032238393.1	A
XP_020915692.1	A
XP_058947887.1	A
KAK3735480.1	A
KAK2561117.1	A
XP_073248008.1	A
XP_020899977.1	A
XP_020900636.1	A
XP_068669883.1	A
CAH3170498.1	A
XP_073249988.1	A
XP_073249991.1	A
XP_068684553.1	A
CAH3026910.1	A
XP_068682694.1	A
XP_029186973.2	A
XP_067052825.1	A
XP_015778034.1	A
XP_068688042.1	A
CAH3025592.1	A
CAH3037549.1	A
CAH3182186.1	A
CAH3128134.1	A
XP_020612177.1	A
XP_068718087.1	A
XP_020612147.1	A
CAH3128138.1	A
