target name	accession	tlen	query name	accession	qlen	dom score	hmm from	hmm to	ali from	ali to
IkB-like-1_cnidaria	-	448	Oarb_148322_c2_g1_i6.p1	-	258	482.8	190	446	1	255
IkB-like-1_cnidaria	-	448	Oarb_148322_c2_g1_i6.p2	-	164	103	1	166	1	160
IkB-like-1_cnidaria	-	448	a_tenuis_TRINITY_DN25922_c0_g1_i1.p1	-	179	343.2	168	347	3	175
IkB-like-1_cnidaria	-	448	siderastrea_host_TRINITY_DN444826_c1_g4_i2.p1	-	348	503.2	1	366	1	348
IkB-like-1_cnidaria	-	448	orbicella_host_TRINITY_DN213606_c2_g3_i2.p1	-	291	515.5	144	446	3	288
IkB-like-1_cnidaria	-	448	pseudodiploria_host_TRINITY_DN178043_c0_g1_i1.p1	-	247	466.6	190	415	1	226
IkB-like-2_cnidaria	-	385	Oarb_104540_c2_g2_i4.p1	-	190	370.5	196	385	1	189
IkB-like-2_cnidaria	-	385	siderastrea_host_TRINITY_DN442751_c0_g3_i5.p1	-	269	492.6	126	371	3	247
IkB-like-2_cnidaria	-	385	orbicella_host_TRINITY_DN213606_c2_g3_i2.p1	-	291	263.1	144	344	59	253
IkB-like-2_cnidaria	-	385	pseudodiploria_host_TRINITY_DN189231_c0_g2_i1.p1	-	157	285.3	230	384	1	155
IkB-like-2_cnidaria	-	385	pseudodiploria_host_TRINITY_DN187230_c1_g2_i2.p1	-	109	218	128	235	2	109
IkBa-like_cnidaria	-	376	Oarb_139262_c0_g1_i2.p1	-	292	465.7	1	279	1	277
IkBa-like_cnidaria	-	376	a_tenuis_TRINITY_DN335_c0_g1_i28.p1	-	195	355.2	186	374	1	189
IkBa-like_cnidaria	-	376	a_tenuis_TRINITY_DN335_c0_g1_i14.p3	-	114	196.9	145	250	1	106
IkBa-like_cnidaria	-	376	a_tenuis_TRINITY_DN335_c0_g1_i19.p1	-	165	223.6	249	374	34	159
IkBa-like_cnidaria	-	376	a_tenuis_TRINITY_DN335_c0_g1_i2.p1	-	260	388.6	1	250	1	252
IkBa-like_cnidaria	-	376	siderastrea_host_TRINITY_DN451935_c2_g2_i5.p1	-	370	653.5	2	369	2	367
IkBa-like_cnidaria	-	376	orbicella_host_TRINITY_DN221067_c44_g7_i2.p1	-	377	654.8	2	374	2	371
IkBa-like_cnidaria	-	376	pseudodiploria_host_TRINITY_DN190911_c0_g2_i5.p1	-	206	395.4	171	373	1	203
IkBa-like_cnidaria	-	376	pseudodiploria_host_TRINITY_DN190911_c0_g2_i11.p2	-	133	158.3	2	136	2	132
p105-like_cnidaria	-	910	Oarb_154257_c8_g1_i3.p1	-	917	1754.9	1	910	1	916
p105-like_cnidaria	-	910	a_tenuis_TRINITY_DN17808_c1_g1_i1.p1	-	391	819.8	51	440	1	389
p105-like_cnidaria	-	910	a_tenuis_TRINITY_DN42964_c0_g1_i1.p1	-	164	321.2	464	624	4	164
p105-like_cnidaria	-	910	siderastrea_host_TRINITY_DN453364_c1_g2_i2.p1	-	507	969.9	299	798	1	507
p105-like_cnidaria	-	910	siderastrea_host_TRINITY_DN450483_c1_g1_i4.p1	-	301	642.4	1	302	1	301
p105-like_cnidaria	-	910	pseudodiploria_host_TRINITY_DN200187_c2_g4_i3.p1	-	653	1312.2	22	675	1	653
p105-like_cnidaria	-	910	pseudodiploria_host_TRINITY_DN202411_c1_g2_i2.p2	-	297	488.9	622	910	1	296
p105-like_cnidaria	-	910	orbicella_host_TRINITY_DN220613_c2_g1_i3.p1	-	265	535.4	1	262	1	261
p105-like_cnidaria	-	910	orbicella_host_TRINITY_DN206725_c0_g2_i7.p1	-	291	519	426	704	13	291
p105-like_cnidaria	-	910	orbicella_host_TRINITY_DN189929_c2_g1_i5.p1	-	134	301.2	233	366	1	134
p105-like_cnidaria	-	910	Oarb_96189_c0_g1_i1.p1	-	229	464.9	480	708	1	229
p105-like_cnidaria	-	910	Oarb_129275_c3_g2_i1.p1	-	247	430.5	91	344	1	247
