Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
OLP79028.1_with_leader_u20_PF00081_M_to_K04564_1017,Extracellular|Lysosome/Vacuole,Signal peptide,Soluble,0.10869999974966049,0.029500000178813934,0.8532999753952026,0.09480000287294388,0.09390000253915787,0.014499999582767487,0.30480000376701355,0.6032000184059143,0.4228000044822693,0.002899999963119626,0.5509999990463257,0.0820000022649765,0.04190000146627426,0.7797999978065491
BGNK01003376.1_K04564_a3776c6c_with_leader_u31_PF00081_M_to_K04564_198,Plastid,,Peripheral|Soluble,0.08470000326633453,0.028999999165534973,0.47360000014305115,0.13830000162124634,0.4255000054836273,0.8449000120162964,0.11940000206232071,0.05719999969005585,0.06159999966621399,0.08910000324249268,0.7168999910354614,0.1680999994277954,0.08980000019073486,0.5230000019073486
BGPT01000358.1_K04564_070be8c8_with_leader_u34_PF00081_M_to_K04564_203,Plastid,,Peripheral,0.07010000199079514,0.027899999171495438,0.30090001225471497,0.04879999905824661,0.32199999690055847,0.6735000014305115,0.07620000094175339,0.06400000303983688,0.09239999949932098,0.02669999934732914,0.8375999927520752,0.18809999525547028,0.15530000627040863,0.44440001249313354
CAE7445615.1_to_K04564_242,Extracellular,Signal peptide,Peripheral|Soluble,0.22419999539852142,0.0494999997317791,0.7052000164985657,0.12409999966621399,0.15559999644756317,0.05700000002980232,0.21439999341964722,0.507099986076355,0.4424999952316284,0.026900000870227814,0.6017000079154968,0.08540000021457672,0.16899999976158142,0.6894999742507935
CAJNDS010002352.1_K04564_638e9d57_with_leader_u31_PF00081_M_to_K04564_176,Cytoplasm,,Soluble,0.2867000102996826,0.24570000171661377,0.36570000648498535,0.04910000041127205,0.12559999525547028,0.3089999854564667,0.04540000110864639,0.03519999980926514,0.03189999982714653,0.07100000232458115,0.37059998512268066,0.16599999368190765,0.09430000185966492,0.6905999779701233
CAE8627582.1_with_leader_u15_PF00081_M_to_K04564_542,Extracellular|Mitochondrion,Signal peptide,Peripheral|Soluble,0.04769999906420708,0.041600000113248825,0.7937999963760376,0.14669999480247498,0.7069000005722046,0.25519999861717224,0.060100000351667404,0.020500000566244125,0.02969999983906746,0.011800000444054604,0.7501999735832214,0.12409999966621399,0.05719999969005585,0.6661999821662903
CAE8628319.1_to_K04564_235,Extracellular,Signal peptide,Soluble,0.2754000127315521,0.0348999984562397,0.8105000257492065,0.07329999655485153,0.24469999969005585,0.133200004696846,0.09210000187158585,0.32749998569488525,0.19269999861717224,0.00860000029206276,0.5710999965667725,0.10010000318288803,0.05389999970793724,0.739300012588501
CAE8631912.1_with_leader_u15_PF00081_M_to_K04564_263,Extracellular|Mitochondrion,Signal peptide,Peripheral|Soluble,0.0632999986410141,0.05299999937415123,0.7867000102996826,0.15919999778270721,0.6897000074386597,0.387800008058548,0.09189999848604202,0.018799999728798866,0.027899999171495438,0.05469999834895134,0.6431999802589417,0.09809999912977219,0.08810000121593475,0.6406000256538391
CAL1167723.1_with_leader_u21_PF00081_M_to_K04564_350,Plastid,,Soluble,0.29789999127388,0.09290000051259995,0.5379999876022339,0.09319999814033508,0.226500004529953,0.7107999920845032,0.02669999934732914,0.13899999856948853,0.09489999711513519,0.1054999977350235,0.5203999876976013,0.07970000058412552,0.04010000079870224,0.767799973487854
CAMXCT020000001.1_K04564_24b48a7d_with_leader_u26_PF00081_M_to_K04564_208,Plastid,,Peripheral|Soluble,0.1290999948978424,0.21299999952316284,0.4472000002861023,0.065700002014637,0.4309999942779541,0.4927999973297119,0.021800000220537186,0.11819999665021896,0.08630000054836273,0.06830000132322311,0.617900013923645,0.13680000603199005,0.04490000009536743,0.6739000082015991
CAK9047237.1_with_leader_u27_PF00081_M_to_K04564_344,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.12030000239610672,0.051899999380111694,0.0731000006198883,0.07660000026226044,0.8033000230789185,0.008200000040233135,0.008799999952316284,0.057500001043081284,0.03720000013709068,0.0012000000569969416,0.6952999830245972,0.05909999832510948,0.050200000405311584,0.6690999865531921
CAK9091470.1_with_leader_u18_PF00081_M_to_K04564_868,Extracellular|Mitochondrion,,Peripheral|Soluble,0.06610000133514404,0.024900000542402267,0.7031999826431274,0.19089999794960022,0.6305999755859375,0.3643999993801117,0.06350000202655792,0.03350000083446503,0.04740000143647194,0.04899999871850014,0.7717000246047974,0.0689999982714653,0.13079999387264252,0.5892999768257141
CAK9100252.1_to_K04564_230,Extracellular,Signal peptide,Soluble,0.14990000426769257,0.035999998450279236,0.8306000232696533,0.12489999830722809,0.17470000684261322,0.10260000079870224,0.2484000027179718,0.4117000102996826,0.44850000739097595,0.008799999952316284,0.5440999865531921,0.0917000025510788,0.04809999838471413,0.7616999745368958
CAXAMM010020073.1_K04564_521e95f5_with_leader_u27_PF00081_M_to_K04564_197,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.12960000336170197,0.051500000059604645,0.07349999994039536,0.07760000228881836,0.7846999764442444,0.007699999958276749,0.009499999694526196,0.06040000170469284,0.03720000013709068,0.00139999995008111,0.6689000129699707,0.06560000032186508,0.043299999088048935,0.667900025844574
CAXAMM010025685.1_K04564_b43539e3_with_leader_u30_PF00081_M_to_K04564_92,Extracellular,,Peripheral|Soluble,0.4334999918937683,0.375900000333786,0.6765000224113464,0.09589999914169312,0.21879999339580536,0.3431999981403351,0.09679999947547913,0.121799997985363,0.07509999722242355,0.13279999792575836,0.6779000163078308,0.11869999766349792,0.1151999980211258,0.7163000106811523
CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u18_PF00081_M_to_K04564_203,Extracellular|Mitochondrion,,Peripheral|Soluble,0.061000000685453415,0.02290000021457672,0.6753000020980835,0.17180000245571136,0.6251999735832214,0.3596000075340271,0.06549999862909317,0.026200000196695328,0.04659999907016754,0.04610000178217888,0.7135999798774719,0.08460000157356262,0.08290000259876251,0.6676999926567078
CAXAMM010040162.1_K04564_f9608fa6_with_leader_u18_PF00081_M_to_K04564_203,Extracellular|Mitochondrion,,Peripheral|Soluble,0.061000000685453415,0.02290000021457672,0.6753000020980835,0.17180000245571136,0.6251999735832214,0.3596000075340271,0.06549999862909317,0.026200000196695328,0.04659999907016754,0.04610000178217888,0.7135999798774719,0.08460000157356262,0.08290000259876251,0.6676999926567078
CAXAMM010040173.1_K04564_1d3f7085_with_leader_u18_PF00081_M_to_K04564_203,Extracellular|Mitochondrion,,Peripheral|Soluble,0.061000000685453415,0.02290000021457672,0.6753000020980835,0.17180000245571136,0.6251999735832214,0.3596000075340271,0.06549999862909317,0.026200000196695328,0.04659999907016754,0.04610000178217888,0.7135999798774719,0.08460000157356262,0.08290000259876251,0.6676999926567078
CAXAMM010040173.1_K04564_b38f776c_with_leader_u18_PF00081_M_to_K04564_203,Extracellular|Mitochondrion,,Peripheral|Soluble,0.061000000685453415,0.02290000021457672,0.6753000020980835,0.17180000245571136,0.6251999735832214,0.3596000075340271,0.06549999862909317,0.026200000196695328,0.04659999907016754,0.04610000178217888,0.7135999798774719,0.08460000157356262,0.08290000259876251,0.6676999926567078
CAK9032107.1_to_K04564_230,Extracellular,Signal peptide,Soluble,0.14990000426769257,0.035999998450279236,0.8306000232696533,0.12489999830722809,0.17470000684261322,0.10260000079870224,0.2484000027179718,0.4117000102996826,0.44850000739097595,0.008799999952316284,0.5440999865531921,0.0917000025510788,0.04809999838471413,0.7616999745368958
CAK9113181.1_with_leader_u18_PF00081_M_to_K04564_257,Extracellular,,Peripheral|Soluble,0.05900000035762787,0.021700000390410423,0.7067999839782715,0.1738000065088272,0.5975000262260437,0.3686000108718872,0.06769999861717224,0.027300000190734863,0.04639999940991402,0.04569999873638153,0.7156999707221985,0.08190000057220459,0.10450000315904617,0.598800003528595
CAK9113185.1_with_leader_u35_PF00081_M_to_K04564_914,Plastid,,Peripheral|Soluble,0.24079999327659607,0.05119999870657921,0.5436000227928162,0.13500000536441803,0.5864999890327454,0.6478000283241272,0.11150000244379044,0.028300000354647636,0.12290000170469284,0.1964000016450882,0.7246000170707703,0.08860000222921371,0.16750000417232513,0.5627999901771545
CAK9113185.1_with_leader_u21_PF00081_M_to_K04564_914,Extracellular,,Peripheral|Soluble,0.10180000215768814,0.03240000084042549,0.7911999821662903,0.12250000238418579,0.44369998574256897,0.4666000008583069,0.06379999965429306,0.062199998646974564,0.07410000264644623,0.1324000060558319,0.7071999907493591,0.06870000064373016,0.16979999840259552,0.6122999787330627
CAK9113185.1_with_leader_u18_PF00081_M_to_K04564_914,Extracellular,,Peripheral|Soluble,0.0608999989926815,0.01850000023841858,0.704200029373169,0.19329999387264252,0.5810999870300293,0.38850000500679016,0.07400000095367432,0.03319999948143959,0.0544000007212162,0.037700001150369644,0.7416999936103821,0.08219999819993973,0.15530000627040863,0.5733000040054321
CAXAMN010027783.1_K04564_0f8290bd_with_leader_u18_PF00081_M_to_K04564_203,Extracellular|Mitochondrion,,Peripheral|Soluble,0.061000000685453415,0.02290000021457672,0.6753000020980835,0.17180000245571136,0.6251999735832214,0.3596000075340271,0.06549999862909317,0.026200000196695328,0.04659999907016754,0.04610000178217888,0.7135999798774719,0.08460000157356262,0.08290000259876251,0.6676999926567078
CAXAMN010027783.1_K04564_a5ab1868_with_leader_u18_PF00081_M_to_K04564_203,Extracellular|Mitochondrion,,Peripheral|Soluble,0.061000000685453415,0.02290000021457672,0.6753000020980835,0.17180000245571136,0.6251999735832214,0.3596000075340271,0.06549999862909317,0.026200000196695328,0.04659999907016754,0.04610000178217888,0.7135999798774719,0.08460000157356262,0.08290000259876251,0.6676999926567078
CAXAMN010027806.1_K04564_b422a675_with_leader_u18_PF00081_M_to_K04564_203,Extracellular|Mitochondrion,,Peripheral|Soluble,0.061000000685453415,0.02290000021457672,0.6753000020980835,0.17180000245571136,0.6251999735832214,0.3596000075340271,0.06549999862909317,0.026200000196695328,0.04659999907016754,0.04610000178217888,0.7135999798774719,0.08460000157356262,0.08290000259876251,0.6676999926567078
CAXAMN010027806.1_K04564_f0a63ebd_with_leader_u18_PF00081_M_to_K04564_203,Extracellular|Mitochondrion,,Peripheral|Soluble,0.061000000685453415,0.02290000021457672,0.6753000020980835,0.17180000245571136,0.6251999735832214,0.3596000075340271,0.06549999862909317,0.026200000196695328,0.04659999907016754,0.04610000178217888,0.7135999798774719,0.08460000157356262,0.08290000259876251,0.6676999926567078
OZ257276.1_K04564_ace37290_with_leader_u31_PF00081_M_to_K04564_198,Plastid,,Peripheral|Soluble,0.08470000326633453,0.028999999165534973,0.47360000014305115,0.13830000162124634,0.4255000054836273,0.8449000120162964,0.11940000206232071,0.05719999969005585,0.06159999966621399,0.08910000324249268,0.7168999910354614,0.1680999994277954,0.08980000019073486,0.5230000019073486
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1_to_K04564_227,Extracellular|Lysosome/Vacuole,Signal peptide,Soluble,0.18950000405311584,0.05620000138878822,0.7861999869346619,0.0632999986410141,0.05909999832510948,0.011599999852478504,0.21719999611377716,0.6000000238418579,0.4325999915599823,0.0015999999595806003,0.48010000586509705,0.07810000330209732,0.050999999046325684,0.7925999760627747
pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1_with_leader_u16_PF00081_M_to_K04564_250,Extracellular,Signal peptide,Soluble,0.17399999499320984,0.045099999755620956,0.7738999724388123,0.05380000174045563,0.061900001019239426,0.03790000081062317,0.16419999301433563,0.46309998631477356,0.365200012922287,0.008299999870359898,0.5047000050544739,0.0778999999165535,0.04809999838471413,0.781499981880188
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_to_K04564_236,Extracellular,Signal peptide,Peripheral|Soluble,0.1753000020980835,0.04809999838471413,0.7059000134468079,0.12330000102519989,0.10830000042915344,0.03099999949336052,0.17329999804496765,0.4691999852657318,0.4348999857902527,0.004100000020116568,0.6046000123023987,0.0843999981880188,0.049300000071525574,0.7613999843597412
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_with_leader_u20_PF00081_M_to_K04564_236,Extracellular,Signal peptide,Peripheral|Soluble,0.15929999947547913,0.05040000006556511,0.6460999846458435,0.09139999747276306,0.14630000293254852,0.031700000166893005,0.1712999939918518,0.5245000123977661,0.5321999788284302,0.006899999920278788,0.6118999719619751,0.07930000126361847,0.05400000140070915,0.7526999711990356
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_to_K04564_147,Extracellular,Signal peptide,Peripheral|Soluble,0.19990000128746033,0.032499998807907104,0.6773999929428101,0.18140000104904175,0.11879999935626984,0.013100000098347664,0.2168000042438507,0.35409998893737793,0.4846999943256378,0.0027000000700354576,0.603600025177002,0.15559999644756317,0.07819999754428864,0.6732000112533569
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_147,Extracellular,Signal peptide,Peripheral|Soluble,0.17309999465942383,0.0210999995470047,0.7217000126838684,0.09839999675750732,0.12430000305175781,0.023900000378489494,0.2980000078678131,0.39989998936653137,0.527400016784668,0.0020000000949949026,0.6448000073432922,0.13439999520778656,0.06629999727010727,0.680899977684021
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u31_PF00081_M_to_K04564_278,Plastid,Thylakoid luminal transit peptide,Peripheral,0.07569999992847443,0.015399999916553497,0.5935999751091003,0.09889999777078629,0.4099999964237213,0.8543000221252441,0.13660000264644623,0.05000000074505806,0.0763000026345253,0.06870000064373016,0.7900000214576721,0.15150000154972076,0.09200000017881393,0.4887000024318695
cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1_with_leader_u26_PF00081_M_to_K04564_322,Mitochondrion,,Soluble,0.30379998683929443,0.05469999834895134,0.49619999527931213,0.07000000029802322,0.5910000205039978,0.10840000212192535,0.023600000888109207,0.11550000309944153,0.07240000367164612,0.10320000350475311,0.43290001153945923,0.10080000013113022,0.04619999974966049,0.7649000287055969
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i4.p1_to_K04564_209,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.21140000224113464,0.04769999906420708,0.1225999966263771,0.046300001442432404,0.8507999777793884,0.014100000262260437,0.026200000196695328,0.13379999995231628,0.06689999997615814,0.0010000000474974513,0.6887999773025513,0.09920000284910202,0.052000001072883606,0.7185999751091003
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i4.p1_with_leader_u30_PF00081_M_to_K04564_209,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.186599999666214,0.05550000071525574,0.09790000319480896,0.03959999978542328,0.9128999710083008,0.0066999997943639755,0.020600000396370888,0.09889999777078629,0.03759999945759773,0.002199999988079071,0.6629999876022339,0.08990000188350677,0.047600001096725464,0.7289000153541565
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i3.p1_to_K04564_210,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.2207999974489212,0.050700001418590546,0.11940000206232071,0.04450000077486038,0.8452000021934509,0.014499999582767487,0.028200000524520874,0.1354999989271164,0.06539999693632126,0.0012000000569969416,0.6886000037193298,0.09939999878406525,0.05139999836683273,0.7178999781608582
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i3.p1_with_leader_u30_PF00081_M_to_K04564_210,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.19550000131130219,0.05950000137090683,0.09589999914169312,0.03799999877810478,0.9107999801635742,0.0066999997943639755,0.022099999710917473,0.0982000008225441,0.03680000081658363,0.002400000113993883,0.6622999906539917,0.08969999849796295,0.04659999907016754,0.7283999919891357
cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1_to_K04564_230,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.1429000049829483,0.059300001710653305,0.08259999752044678,0.04050000011920929,0.8741999864578247,0.005400000140070915,0.012900000438094139,0.06960000097751617,0.05130000039935112,0.0005000000237487257,0.6926000118255615,0.07270000129938126,0.03610000014305115,0.7218999862670898
cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1_with_leader_u26_PF00081_M_to_K04564_230,Mitochondrion,Mitochondrial transit peptide,Peripheral|Soluble,0.147599995136261,0.07429999858140945,0.06440000236034393,0.03669999912381172,0.9056000113487244,0.002300000051036477,0.008899999782443047,0.04899999871850014,0.02969999983906746,0.0013000000035390258,0.6733999848365784,0.061500001698732376,0.033399999141693115,0.7336999773979187
