target name	accession	tlen	query name	accession	qlen	seq e-value	seq score	seq bias	dom #	dom total	dom c-Evalue	dom i-Evalue	dom score	dom bias	hmm from	hmm to	ali from	ali to	env from	env to	acc	description
XP_031569757.1	-	418	K09258	-	768	3.2e-106	348.5	1.9	1	1	3.9e-106	3.9e-106	348.2	1.9	201	520	45	399	3	408	0.69	-
CAH3198638.1	-	410	K09258	-	768	1.4e-104	343.1	4.3	1	1	1.7e-104	1.7e-104	342.8	4.3	158	510	52	400	9	406	0.67	-
XP_073256375.1	-	447	K09258	-	768	2e-104	342.6	4.4	1	1	2.5e-104	2.5e-104	342.2	4.4	158	510	52	400	9	407	0.67	-
XP_001626962.2	-	530	K09258	-	768	7.7e-102	334.0	11.5	1	1	1.4e-101	1.4e-101	333.2	11.5	173	537	57	512	5	529	0.61	-
XP_032230483.1	-	384	K09258	-	768	5.7e-100	327.8	7.4	1	1	7.5e-100	7.5e-100	327.4	7.4	166	517	37	380	1	382	0.68	-
XP_032230483.2	-	384	K09258	-	768	1.3e-99	326.7	6.7	1	1	1.6e-99	1.6e-99	326.3	6.7	166	517	37	380	1	382	0.67	-
KAJ7378236.1	-	269	K09258	-	768	3e-99	325.5	4.0	1	1	3.6e-99	3.6e-99	325.2	4.0	299	520	20	235	2	253	0.90	-
XP_073256376.1	-	388	K09258	-	768	7.1e-99	324.2	0.9	1	1	9.7e-99	9.7e-99	323.8	0.9	307	535	143	371	3	387	0.72	-
XP_068687143.1	-	419	K09258	-	768	9.4e-99	323.8	10.5	1	1	1.2e-98	1.2e-98	323.5	10.5	187	510	42	378	9	412	0.67	-
CAH3158544.1	-	393	K09258	-	768	1.2e-98	323.4	12.6	1	1	2.5e-98	2.5e-98	322.4	12.7	167	510	55	383	13	389	0.66	-
CAH3027367.1	-	246	K09258	-	768	1.6e-98	323.0	1.4	1	1	2e-98	2e-98	322.8	1.4	312	535	6	229	2	245	0.94	-
XP_068731938.1	-	366	K09258	-	768	1.8e-98	322.9	15.1	1	1	4.5e-98	4.5e-98	321.6	15.1	308	536	121	350	7	365	0.78	-
XP_068731937.1	-	367	K09258	-	768	2.5e-98	322.4	15.7	1	1	7.2e-98	7.2e-98	320.9	15.7	309	536	123	351	10	366	0.79	-
XP_068687146.1	-	360	K09258	-	768	4.4e-98	321.6	16.6	1	1	1.4e-97	1.4e-97	320.0	16.6	309	536	116	344	8	359	0.80	-
XP_068687145.1	-	361	K09258	-	768	6.4e-98	321.0	17.2	1	1	2.2e-97	2.2e-97	319.3	17.2	309	536	117	345	10	360	0.81	-
XP_020614015.1	-	380	K09258	-	768	8.8e-98	320.6	12.4	1	1	1.3e-97	1.3e-97	320.0	12.4	217	545	43	373	2	380	0.72	-
XP_029214164.1	-	355	K09258	-	768	1.2e-97	320.2	4.9	1	2	1.8	1.8	-1.2	0.4	645	674	51	82	3	110	0.32	-
XP_029214164.1	-	355	K09258	-	768	1.2e-97	320.2	4.9	2	2	1.2e-97	1.2e-97	320.2	4.9	311	536	113	339	108	354	0.96	-
KAK2566508.1	-	355	K09258	-	768	1.4e-97	320.0	5.1	1	2	1.7	1.7	-1.1	1.4	628	690	44	98	7	110	0.44	-
KAK2566508.1	-	355	K09258	-	768	1.4e-97	320.0	5.1	2	2	1.4e-97	1.4e-97	320.0	5.1	311	536	113	339	109	354	0.96	-
XP_067031528.1	-	355	K09258	-	768	1.4e-97	319.9	5.1	1	2	2.1	2.1	-1.4	2.5	633	690	38	98	5	109	0.45	-
XP_067031528.1	-	355	K09258	-	768	1.4e-97	319.9	5.1	2	2	1.4e-97	1.4e-97	319.9	5.1	311	536	113	339	108	354	0.96	-
XP_031566534.1	-	389	K09258	-	768	1.7e-97	319.6	15.5	1	1	5.7e-97	5.7e-97	317.9	15.5	303	551	120	372	3	388	0.79	-
XP_029214164.2	-	355	K09258	-	768	6.8e-97	317.7	4.8	1	2	2	2	-1.3	0.6	645	674	51	82	3	109	0.31	-
XP_029214164.2	-	355	K09258	-	768	6.8e-97	317.7	4.8	2	2	6.8e-97	6.8e-97	317.7	4.8	311	536	113	339	109	354	0.96	-
CAH3158546.1	-	368	K09258	-	768	3.5e-96	315.3	7.6	1	1	5.1e-96	5.1e-96	314.8	7.6	307	536	139	368	2	368	0.72	-
CAH3146082.1	-	388	K09258	-	768	2.1e-95	312.8	4.7	1	1	2.7e-95	2.7e-95	312.4	4.7	282	533	114	369	3	387	0.73	-
XP_022801432.1	-	389	K09258	-	768	1.4e-94	310.0	2.9	1	1	1.8e-94	1.8e-94	309.7	2.9	295	533	126	370	5	388	0.81	-
XP_027051378.1	-	384	K09258	-	768	3.6e-94	308.6	5.6	1	1	5.3e-94	5.3e-94	308.1	5.6	282	533	110	365	4	383	0.75	-
XP_027051450.1	-	384	K09258	-	768	3.6e-94	308.6	5.6	1	1	5.3e-94	5.3e-94	308.1	5.6	282	533	110	365	4	383	0.75	-
XP_046853944.1	-	364	K09258	-	768	6.9e-94	307.7	0.4	1	1	8.1e-94	8.1e-94	307.5	0.4	297	528	98	340	42	363	0.91	-
XP_058956196.2	-	388	K09258	-	768	9.9e-94	307.2	6.2	1	1	1.3e-93	1.3e-93	306.8	6.2	297	533	127	369	4	387	0.76	-
XP_058956196.1	-	384	K09258	-	768	9.9e-94	307.2	6.1	1	1	1.2e-93	1.2e-93	306.9	6.1	298	533	124	365	5	383	0.81	-
XP_046852095.1	-	464	K09258	-	768	9.5e-92	300.6	27.3	1	1	1.9e-91	1.9e-91	299.6	27.3	201	548	21	420	2	464	0.63	-
XP_031557780.1	-	383	K09258	-	768	1.4e-90	296.8	7.9	1	1	1.5e-90	1.5e-90	296.6	7.9	272	541	91	380	7	382	0.81	-
XP_032228503.2	-	383	K09258	-	768	3.2e-90	295.6	0.5	1	1	3.7e-90	3.7e-90	295.4	0.5	308	531	131	368	7	376	0.81	-
XP_046853941.1	-	399	K09258	-	768	3.8e-90	295.3	8.7	1	1	4.8e-90	4.8e-90	295.0	8.7	213	528	12	377	2	388	0.73	-
XP_032228503.1	-	383	K09258	-	768	4.8e-90	295.0	0.4	1	1	5.5e-90	5.5e-90	294.8	0.4	308	531	131	368	7	376	0.81	-
XP_028400144.1	-	413	K09258	-	768	3.7e-88	288.8	6.8	1	1	3.7e-88	3.7e-88	288.8	6.8	309	529	142	367	130	393	0.94	-
CAB4012946.1	-	400	K09258	-	768	2.6e-87	286.0	18.2	1	1	1e-86	1e-86	284.0	18.2	308	562	120	378	14	397	0.84	-
CAB4029556.1	-	428	K09258	-	768	1.6e-86	283.4	9.4	1	1	2e-86	2e-86	283.0	9.4	178	528	14	407	1	421	0.61	-
CAB4029555.1	-	334	K09258	-	768	3.4e-86	282.3	2.6	1	1	4.2e-86	4.2e-86	282.0	2.6	309	528	85	313	34	327	0.91	-
XP_028404349.1	-	451	K09258	-	768	4.7e-86	281.8	19.9	1	1	7e-86	7e-86	281.2	19.9	218	502	36	372	5	448	0.73	-
XP_028404342.1	-	452	K09258	-	768	8.6e-86	280.9	20.7	1	1	1.3e-85	1.3e-85	280.4	20.7	218	502	36	373	5	449	0.73	-
XP_020901899.1	-	376	K09258	-	768	2.5e-85	279.4	8.9	1	1	3.2e-85	3.2e-85	279.1	8.9	262	529	77	362	7	373	0.80	-
XP_028400154.1	-	408	K09258	-	768	2.7e-84	276.0	5.3	1	1	3.9e-84	3.9e-84	275.5	5.3	218	528	21	384	2	405	0.68	-
XP_029197502.1	-	381	K09258	-	768	1.7e-83	273.3	0.7	1	1	2.1e-83	2.1e-83	273.1	0.7	309	535	128	364	4	371	0.87	-
XP_029197502.2	-	378	K09258	-	768	1.8e-83	273.3	0.7	1	1	2e-83	2e-83	273.1	0.7	309	535	128	364	6	370	0.89	-
XP_027057621.1	-	379	K09258	-	768	3.3e-83	272.4	2.6	1	1	3.7e-83	3.7e-83	272.2	2.6	309	537	126	364	21	366	0.91	-
XP_022798721.1	-	371	K09258	-	768	4.9e-83	271.8	2.1	1	1	6e-83	6e-83	271.5	2.1	309	540	126	367	12	369	0.89	-
XP_020604255.1	-	368	K09258	-	768	5.9e-83	271.6	2.7	1	1	6.7e-83	6.7e-83	271.4	2.7	308	538	119	362	37	365	0.90	-
XP_058957670.1	-	372	K09258	-	768	7.7e-83	271.2	3.8	1	1	8.6e-83	8.6e-83	271.0	3.8	309	541	127	369	30	371	0.91	-
XP_022798720.1	-	379	K09258	-	768	2.1e-82	269.7	2.3	1	1	2.6e-82	2.6e-82	269.4	2.3	309	537	126	364	12	366	0.89	-
XP_058957670.2	-	371	K09258	-	768	2.4e-82	269.5	1.9	1	1	2.7e-82	2.7e-82	269.4	1.9	309	541	126	368	29	370	0.91	-
XP_028407711.1	-	282	K09258	-	768	5.4e-81	265.1	6.9	1	1	7e-81	7e-81	264.7	6.9	311	528	26	250	16	257	0.95	-
XP_068682682.1	-	370	K09258	-	768	2.9e-80	262.7	1.8	1	1	3.2e-80	3.2e-80	262.5	1.8	309	539	127	367	47	369	0.90	-
KAJ7330771.1	-	369	K09258	-	768	3.6e-80	262.4	1.6	1	1	4.1e-80	4.1e-80	262.2	1.6	309	539	124	364	14	366	0.92	-
XP_028396366.1	-	412	K09258	-	768	3.9e-79	258.9	0.2	1	1	4.3e-79	4.3e-79	258.8	0.2	309	528	154	380	4	389	0.86	-
XP_073248334.1	-	377	K09258	-	768	1.2e-78	257.3	1.1	1	1	1.5e-78	1.5e-78	257.0	1.1	309	532	132	365	5	373	0.83	-
XP_068687147.1	-	348	K09258	-	768	1.7e-77	253.5	15.8	1	2	1.5e-45	1.5e-45	147.9	12.9	309	422	117	231	8	233	0.70	-
XP_068687147.1	-	348	K09258	-	768	1.7e-77	253.5	15.8	2	2	1.2e-32	1.2e-32	105.2	0.0	451	536	247	332	240	347	0.92	-
