protein accession	genome accession	contig accession	sequence accession	locus start 1b	locus end 1b	strand	sequence length	feature type	feature index	feature position 1b	error
KAJ7331273.1	GCA_029204205.1	MU827789.1		1279589	1282963	+	3375	dss	1	51	
KAJ7331273.1	GCA_029204205.1	MU827789.1		1279589	1282963	+	3375	dss	2	2256	
KAJ7331273.1	GCA_029204205.1	MU827789.1		1279589	1282963	+	3375	ass	1	1316	
KAJ7331273.1	GCA_029204205.1	MU827789.1		1279589	1282963	+	3375	ass	2	2877	
KAJ7339334.1	GCA_029204205.1	MU827779.1		202267	190733	-	11535	dss	1	195	
KAJ7339334.1	GCA_029204205.1	MU827779.1		202267	190733	-	11535	ass	1	11320	
KAJ7339336.1	GCA_029204205.1	MU827779.1	KAJ7339336.1	250992	250684	-	309				
KAJ7353873.1	GCA_029204205.1	MU827338.1		230178	227873	-	2306	dss	1	15	
KAJ7353873.1	GCA_029204205.1	MU827338.1		230178	227873	-	2306	dss	2	580	
KAJ7353873.1	GCA_029204205.1	MU827338.1		230178	227873	-	2306	dss	3	1233	
KAJ7353873.1	GCA_029204205.1	MU827338.1		230178	227873	-	2306	ass	1	503	
KAJ7353873.1	GCA_029204205.1	MU827338.1		230178	227873	-	2306	ass	2	1156	
KAJ7353873.1	GCA_029204205.1	MU827338.1		230178	227873	-	2306	ass	3	1569	
KAJ7353876.1	GCA_029204205.1	MU827338.1		254704	250451	-	4254	dss	1	17	
KAJ7353876.1	GCA_029204205.1	MU827338.1		254704	250451	-	4254	dss	2	433	
KAJ7353876.1	GCA_029204205.1	MU827338.1		254704	250451	-	4254	dss	3	1201	
KAJ7353876.1	GCA_029204205.1	MU827338.1		254704	250451	-	4254	dss	4	2637	
KAJ7353876.1	GCA_029204205.1	MU827338.1		254704	250451	-	4254	dss	5	3300	
KAJ7353876.1	GCA_029204205.1	MU827338.1		254704	250451	-	4254	ass	1	382	
KAJ7353876.1	GCA_029204205.1	MU827338.1		254704	250451	-	4254	ass	2	1103	
KAJ7353876.1	GCA_029204205.1	MU827338.1		254704	250451	-	4254	ass	3	2560	
KAJ7353876.1	GCA_029204205.1	MU827338.1		254704	250451	-	4254	ass	4	3223	
KAJ7353876.1	GCA_029204205.1	MU827338.1		254704	250451	-	4254	ass	5	3637	
