threshold bitscore	tp	fp	tn	fn	sensitivity	specificity	balanced accuracy	selected
444.3	1	0	46	53	0.0185185	1	0.509259	
443.8	2	0	46	52	0.037037	1	0.518519	
443.5	3	0	46	51	0.0555556	1	0.527778	
443.1	5	0	46	49	0.0925926	1	0.546296	
443	6	0	46	48	0.111111	1	0.555556	
440.2	7	0	46	47	0.12963	1	0.564815	
437.8	8	0	46	46	0.148148	1	0.574074	
432.6	9	0	46	45	0.166667	1	0.583333	
430.3	10	0	46	44	0.185185	1	0.592593	
425.4	11	0	46	43	0.203704	1	0.601852	
424.8	12	0	46	42	0.222222	1	0.611111	
424.3	13	0	46	41	0.240741	1	0.62037	
424.2	14	0	46	40	0.259259	1	0.62963	
421.1	15	0	46	39	0.277778	1	0.638889	
419.4	16	0	46	38	0.296296	1	0.648148	
419.3	17	0	46	37	0.314815	1	0.657407	
418.8	19	0	46	35	0.351852	1	0.675926	
417.9	20	0	46	34	0.37037	1	0.685185	
417.5	21	0	46	33	0.388889	1	0.694444	
416.9	23	0	46	31	0.425926	1	0.712963	
415.8	24	0	46	30	0.444444	1	0.722222	
409.7	25	0	46	29	0.462963	1	0.731481	
408.2	26	0	46	28	0.481481	1	0.740741	
407.5	27	0	46	27	0.5	1	0.75	
405.2	28	0	46	26	0.518519	1	0.759259	
404.4	29	0	46	25	0.537037	1	0.768519	
404.1	30	0	46	24	0.555556	1	0.777778	
401.7	31	0	46	23	0.574074	1	0.787037	
399.2	33	0	46	21	0.611111	1	0.805556	
399.1	34	0	46	20	0.62963	1	0.814815	
398.2	35	0	46	19	0.648148	1	0.824074	
397.9	36	0	46	18	0.666667	1	0.833333	
397.5	37	0	46	17	0.685185	1	0.842593	
387	38	0	46	16	0.703704	1	0.851852	
385.9	39	0	46	15	0.722222	1	0.861111	
384.5	40	0	46	14	0.740741	1	0.87037	
384.4	42	0	46	12	0.777778	1	0.888889	
383.9	43	0	46	11	0.796296	1	0.898148	
382	44	0	46	10	0.814815	1	0.907407	
381	45	0	46	9	0.833333	1	0.916667	
380.5	47	0	46	7	0.87037	1	0.935185	
379.7	48	0	46	6	0.888889	1	0.944444	
378	49	0	46	5	0.907407	1	0.953704	
377.2	50	0	46	4	0.925926	1	0.962963	
363.7	51	0	46	3	0.944444	1	0.972222	
356.7	52	0	46	2	0.962963	1	0.981481	
353.7	53	0	46	1	0.981481	1	0.990741	
350.7	54	0	46	0	1	1	1	true
329.5	54	1	45	0	1	0.978261	0.98913	
216.8	54	2	44	0	1	0.956522	0.978261	
210.8	54	3	43	0	1	0.934783	0.967391	
205.8	54	4	42	0	1	0.913043	0.956522	
184	54	5	41	0	1	0.891304	0.945652	
179.8	54	6	40	0	1	0.869565	0.934783	
179.5	54	7	39	0	1	0.847826	0.923913	
178.9	54	8	38	0	1	0.826087	0.913043	
173.2	54	9	37	0	1	0.804348	0.902174	
172.4	54	10	36	0	1	0.782609	0.891304	
171.3	54	12	34	0	1	0.73913	0.869565	
171	54	13	33	0	1	0.717391	0.858696	
170.7	54	15	31	0	1	0.673913	0.836957	
170.4	54	16	30	0	1	0.652174	0.826087	
168.9	54	18	28	0	1	0.608696	0.804348	
168.6	54	20	26	0	1	0.565217	0.782609	
168.2	54	21	25	0	1	0.543478	0.771739	
167.4	54	22	24	0	1	0.521739	0.76087	
166.6	54	23	23	0	1	0.5	0.75	
164.8	54	24	22	0	1	0.478261	0.73913	
161	54	25	21	0	1	0.456522	0.728261	
159.8	54	26	20	0	1	0.434783	0.717391	
153.8	54	27	19	0	1	0.413043	0.706522	
152.5	54	29	17	0	1	0.369565	0.684783	
150.9	54	30	16	0	1	0.347826	0.673913	
148.6	54	31	15	0	1	0.326087	0.663043	
144.8	54	33	13	0	1	0.282609	0.641304	
138.4	54	35	11	0	1	0.23913	0.619565	
137.4	54	36	10	0	1	0.217391	0.608696	
136.3	54	37	9	0	1	0.195652	0.597826	
128	54	38	8	0	1	0.173913	0.586957	
121.4	54	39	7	0	1	0.152174	0.576087	
117.3	54	40	6	0	1	0.130435	0.565217	
116.3	54	41	5	0	1	0.108696	0.554348	
116.2	54	42	4	0	1	0.0869565	0.543478	
107.4	54	43	3	0	1	0.0652174	0.532609	
98	54	44	2	0	1	0.0434783	0.521739	
73.3	54	45	1	0	1	0.0217391	0.51087	
36.3	54	46	0	0	1	0	0.5	
# selected threshold bitscore 350.7
# false positives
# false negatives
