# TargetP-2.0	Organism: Non-Plant	Timestamp: 20260806124704
# ID	Prediction	noTP	SP	mTP	CS Position
MPSW01001707.1_K04564_7b9e297c_with_leader_u26_PF00081_M	mTP	0.204987	0.189652	0.605361	CS pos: 25-26. VTR-AK. Pr: 0.3116
RDEB01000110.1_K04564_86e229fd_with_leader_u26_PF00081_M	mTP	0.021538	0.001635	0.976827	CS pos: 26-27. SKA-QH. Pr: 0.1515
BLAZ01000169.1_K04564_9f65b912_with_leader_u27_PF00081_M	mTP	0.018018	0.003006	0.978976	CS pos: 22-23. CAG-VS. Pr: 0.3797
BLEZ01003184.1_K04564_dc8bf6ad_with_leader_u27_PF00081_M	mTP	0.049936	0.003410	0.946654	CS pos: 22-23. CAG-VS. Pr: 0.3971
BLFE01002088.1_K04564_10e43317_with_leader_u27_PF00081_M	mTP	0.016863	0.002057	0.981080	CS pos: 22-23. CAG-VS. Pr: 0.3714
JAJLRJ010000007.1_K04564_fcb962ee_with_leader_u25_PF00081_M	mTP	0.004483	0.005564	0.989953	CS pos: 9-10. VRF-SS. Pr: 0.2627
KAJ7371307.1	mTP	0.010603	0.037688	0.951709	CS pos: 25-26. AAR-AK. Pr: 0.2663
KAJ7390115.1	SP	0.052329	0.946718	0.000953	CS pos: 22-23. IEC-VT. Pr: 0.9383
MU825420.1_K04564_3d91ab54_with_leader_u34_PF00081_M	SP	0.049090	0.950206	0.000703	CS pos: 22-23. IEC-VT. Pr: 0.9382
MU826849.1_K04564_291d850d_with_leader_u26_PF00081_M	mTP	0.010237	0.040722	0.949040	CS pos: 25-26. AAR-AK. Pr: 0.2672
JARQWQ010000030.1_K04564_a7361c5a_with_leader_u27_PF00081_M	mTP	0.032741	0.001762	0.965497	CS pos: 22-23. CAG-VS. Pr: 0.4030
KAK2562129.1	mTP	0.006535	0.000042	0.993423	CS pos: 29-30. CAG-VS. Pr: 0.3944
KAK2562129.1_with_leader_u27_PF00081_M	mTP	0.028622	0.001133	0.970244	CS pos: 22-23. CAG-VS. Pr: 0.4030
JAUJYZ010000740.1_K04564_87e6c451_with_leader_u26_PF00081_anchor_M	mTP	0.024550	0.002001	0.973449	CS pos: 26-27. VRG-KH. Pr: 0.4730
JAUJYZ010000745.1_K04564_47603ed6_with_leader_u31_PF00081_M	SP	0.000440	0.999560	0.000000	CS pos: 19-20. ANC-DT. Pr: 0.8894
KAK3736516.1	SP	0.000612	0.999388	0.000001	CS pos: 19-20. ANC-DT. Pr: 0.8893
KAK3736644.1	mTP	0.029554	0.001738	0.968708	CS pos: 26-27. VRG-KH. Pr: 0.4722
CM106374.1_K04564_529830d2_with_leader_u26_PF00081_M	mTP	0.034828	0.117164	0.848008	CS pos: 26-27. TRA-KH. Pr: 0.2481
CM106378.1_K04564_64fa28d1_with_leader_u33_PF00081_M	SP	0.007015	0.992619	0.000366	CS pos: 21-22. IEC-AT. Pr: 0.9493
CAB3989857.1	SP	0.000868	0.999096	0.000036	CS pos: 18-19. TTG-KS. Pr: 0.5637
CAB3994625.1	mTP	0.008549	0.255324	0.736126	CS pos: 27-28. PTR-AE. Pr: 0.2650
CACRXK020001562.1_K04564_ba438d0e_with_leader_u35_PF00081_M	SP	0.000558	0.999425	0.000017	CS pos: 18-19. TTG-KS. Pr: 0.5637
CACRXK020002501.1_K04564_f2b5b9d1_with_leader_u28_PF00081_M	mTP	0.010183	0.271784	0.718032	CS pos: 27-28. PTR-AE. Pr: 0.2654
CAH3015114.1_with_leader_u26_PF00081_M	mTP	0.027955	0.327473	0.644572	CS pos: 25-26. VAR-AK. Pr: 0.2974
CAH3015114.1_with_leader_u17_PF00081_M	SP	0.203508	0.775203	0.021290	CS pos: 17-18. ARA-KH. Pr: 0.9150
CALNXI010000019.1_K04564_9c58f698_with_leader_u26_PF00081_M	mTP	0.031790	0.338771	0.629439	CS pos: 25-26. VAR-AK. Pr: 0.2974
